,Industry,Sales,Disruption
0,Manufacturing,-32.343627,10.4
1,Other Production,-16.102013,8.86
2,Construction,-40.108311,23.3
3,Wholesale & Retail,-25.346815,18.69
4,Transport & Storage,-21.021598,5.17
5,Accom & Food,-75.760186,14.76
6,Info & Comms,-9.2943496,4.71
7,Finance & Insurance,-22.574732,4.51
8,Real Estate,-19.487374,15.25
9,Prof & Scientific,-25.427976,6.54
10,Admin & Support,-24.545275,10.6
11,Health,-18.412761,10.5
12,Recreational Services,-73.54285,14.16
13,Other Services,-26.01149,13.45
