,Industry,2019,April 2020 - March 2021
0,Other Services,3.934506,6.19651816666667
1,Health,4.11016,6.729008833333334
2,Other Production,6.264915,6.736793416666665
3,Wholesale & Retail,3.941647,7.119035833333334
4,Real Estate,4.349479,7.374896083333334
5,Admin & Support,4.752907,7.506651916666666
6,Manufacturing,5.467417,7.772528833333335
7,Finance & Insurance,5.411969,7.81745925
8,Info & Comms,6.853186,7.949045083333334
9,Prof & Scientific,5.972632,8.3836905
10,Transport & Storage,3.388669,8.415281666666667
11,Construction,7.228037,9.413638833333332
12,Accom & Food,3.242137,10.880171416666668
13,Recreational Services,5.286132,11.592312249999999
