,category,obesity,value
0,1,Obese,27.458031783929
1,1,Severely obese,7.52518092964262
2,2,Obese,26.5602273677171
3,2,Severely obese,6.80431329933963
4,3,Obese,25.1064220183486
5,3,Severely obese,5.99633027522936
6,4,Obese,22.6199511784857
7,4,Severely obese,5.13036164844407
8,5,Obese,20.9617250673854
9,5,Severely obese,4.34716981132075
10,6,Obese,19.174965079079
11,6,Severely obese,3.73541206686793
12,7,Obese,18.2623236534068
13,7,Severely obese,3.4456770060529
14,8,Obese,16.2594796966497
15,8,Severely obese,2.70711337237208
16,9,Obese,14.9565300468138
17,9,Severely obese,2.42428585076908
18,10,Obese,11.9477543538039
19,10,Severely obese,1.58799266727773
