,date,students,value
0,1985-01-01,16-17,27.99422836303711
1,1985-01-01,18-20,23.756547927856445
2,1985-01-01,21-24,13.920682907104492
3,1986-01-01,16-17,30.125587463378906
4,1986-01-01,18-20,23.87094497680664
5,1986-01-01,21-24,13.137052536010742
6,1987-01-01,16-17,30.12230682373047
7,1987-01-01,18-20,28.309444427490234
8,1987-01-01,21-24,9.557669639587402
9,1988-01-01,16-17,37.522064208984375
10,1988-01-01,18-20,29.531875610351562
11,1988-01-01,21-24,14.497468948364258
12,1989-01-01,16-17,38.63059997558594
13,1989-01-01,18-20,35.17572021484375
14,1989-01-01,21-24,16.271894454956055
15,1990-01-01,16-17,37.78770065307617
16,1990-01-01,18-20,36.1274299621582
17,1990-01-01,21-24,19.08806800842285
18,1991-01-01,16-17,38.95915603637695
19,1991-01-01,18-20,35.801727294921875
20,1991-01-01,21-24,18.459186553955078
21,1992-01-01,16-17,36.702606201171875
22,1992-01-01,18-20,33.611148834228516
23,1992-01-01,21-24,19.26790428161621
24,1993-01-01,16-17,32.39097595214844
25,1993-01-01,18-20,29.69590950012207
26,1993-01-01,21-24,18.46784019470215
27,1994-01-01,16-17,34.22502136230469
28,1994-01-01,18-20,30.356178283691406
29,1994-01-01,21-24,20.305356979370117
30,1995-01-01,16-17,33.96016311645508
31,1995-01-01,18-20,30.12468719482422
32,1995-01-01,21-24,20.05185890197754
33,1996-01-01,16-17,37.52356719970703
34,1996-01-01,18-20,35.73169708251953
35,1996-01-01,21-24,30.471729278564453
36,1997-01-01,16-17,39.10667419433594
37,1997-01-01,18-20,38.36518859863281
38,1997-01-01,21-24,27.97744369506836
39,1998-01-01,16-17,39.980587005615234
40,1998-01-01,18-20,37.36112976074219
41,1998-01-01,21-24,28.103906631469727
42,1999-01-01,16-17,39.19440841674805
43,1999-01-01,18-20,39.58365249633789
44,1999-01-01,21-24,30.161962509155273
45,2000-01-01,16-17,39.01719284057617
46,2000-01-01,18-20,40.6610107421875
47,2000-01-01,21-24,31.911935806274414
48,2001-01-01,16-17,36.99676513671875
49,2001-01-01,18-20,43.17721939086914
50,2001-01-01,21-24,29.987712860107422
51,2002-01-01,16-17,38.076202392578125
52,2002-01-01,18-20,39.712650299072266
53,2002-01-01,21-24,31.777780532836914
54,2003-01-01,16-17,38.43065643310547
55,2003-01-01,18-20,41.0250129699707
56,2003-01-01,21-24,31.713844299316406
57,2004-01-01,16-17,34.05232620239258
58,2004-01-01,18-20,42.39424514770508
59,2004-01-01,21-24,35.85658645629883
60,2005-01-01,16-17,34.37019348144531
61,2005-01-01,18-20,39.33210754394531
62,2005-01-01,21-24,34.772281646728516
63,2006-01-01,16-17,30.0717716217041
64,2006-01-01,18-20,38.91572952270508
65,2006-01-01,21-24,34.98544692993164
66,2007-01-01,16-17,28.145139694213867
67,2007-01-01,18-20,37.985984802246094
68,2007-01-01,21-24,37.58095932006836
69,2008-01-01,16-17,28.59940528869629
70,2008-01-01,18-20,38.14232635498047
71,2008-01-01,21-24,33.63850021362305
72,2009-01-01,16-17,26.076810836791992
73,2009-01-01,18-20,33.53327178955078
74,2009-01-01,21-24,28.364559173583984
75,2010-01-01,16-17,21.116928100585938
76,2010-01-01,18-20,33.68991470336914
77,2010-01-01,21-24,28.167537689208984
78,2011-01-01,16-17,20.62561798095703
79,2011-01-01,18-20,28.20802116394043
80,2011-01-01,21-24,29.440616607666016
81,2012-01-01,16-17,20.617582321166992
82,2012-01-01,18-20,30.529399871826172
83,2012-01-01,21-24,26.876895904541016
84,2013-01-01,16-17,19.011566162109375
85,2013-01-01,18-20,29.250141143798828
86,2013-01-01,21-24,30.424108505249023
87,2014-01-01,16-17,18.48406410217285
88,2014-01-01,18-20,29.329845428466797
89,2014-01-01,21-24,28.047958374023438
90,2015-01-01,16-17,20.136032104492188
91,2015-01-01,18-20,31.163007736206055
92,2015-01-01,21-24,31.576007843017578
93,2016-01-01,16-17,22.82792091369629
94,2016-01-01,18-20,31.988868713378906
95,2016-01-01,21-24,32.64616012573242
96,2017-01-01,16-17,22.885339736938477
97,2017-01-01,18-20,29.749393463134766
98,2017-01-01,21-24,32.2791748046875
99,2018-01-01,16-17,22.084335327148438
100,2018-01-01,18-20,30.18983268737793
101,2018-01-01,21-24,32.774742126464844
102,2019-01-01,16-17,22.5312442779541
103,2019-01-01,18-20,29.204919815063477
104,2019-01-01,21-24,37.035606384277344
105,2020-01-01,16-17,22.04265022277832
106,2020-01-01,18-20,35.399810791015625
107,2020-01-01,21-24,34.71869659423828
108,2021-01-01,16-17,13.782514572143555
109,2021-01-01,18-20,25.768617630004883
110,2021-01-01,21-24,34.58707046508789
