qdate,l1_stud_1617,l1_stud_1820,l1_stud_2124,recessions
1/1/1985,28.0,23.8,13.9,
1/1/1986,30.1,23.9,13.1,
1/1/1987,30.1,28.3,9.6,
1/1/1988,37.5,29.5,14.5,
1/1/1989,38.6,35.2,16.3,
1/1/1990,37.8,36.1,19.1,1.0
1/1/1991,39.0,35.8,18.5,1.0
1/1/1992,36.7,33.6,19.3,1.0
1/1/1993,32.4,29.7,18.5,1.0
1/1/1994,34.2,30.4,20.3,
1/1/1995,34.0,30.1,20.1,
1/1/1996,37.5,35.7,30.5,
1/1/1997,39.1,38.4,28.0,
1/1/1998,40.0,37.4,28.1,
1/1/1999,39.2,39.6,30.2,
1/1/2000,39.0,40.7,31.9,
1/1/2001,37.0,43.2,30.0,
1/1/2002,38.1,39.7,31.8,
1/1/2003,38.4,41.0,31.7,
1/1/2004,34.1,42.4,35.9,
1/1/2005,34.4,39.3,34.8,
1/1/2006,30.1,38.9,35.0,
1/1/2007,28.1,38.0,37.6,
1/1/2008,28.6,38.1,33.6,1.0
1/1/2009,26.1,33.5,28.4,1.0
1/1/2010,21.1,33.7,28.2,1.0
1/1/2011,20.6,28.2,29.4,1.0
1/1/2012,20.6,30.5,26.9,
1/1/2013,19.0,29.3,30.4,
1/1/2014,18.5,29.3,28.0,
1/1/2015,20.1,31.2,31.6,
1/1/2016,22.8,32.0,32.6,
1/1/2017,22.9,29.7,32.3,
1/1/2018,22.1,30.2,32.8,
1/1/2019,22.5,29.2,37.0,
1/1/2020,22.0,35.4,34.7,1.0
1/1/2021,13.8,25.8,34.6,1.0
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
