,date,region,value
0,2018Q3,UK,0.7
1,2018Q3,England,0.8
2,2018Q3,Wales,0.2
3,2018Q3,Scotland,0.1
4,2018Q3,Northern Ireland,0.0
5,2018Q4,UK,0.3
6,2018Q4,England,0.5
7,2018Q4,Wales,0.3
8,2018Q4,Scotland,0.0
9,2018Q4,Northern Ireland,-1.1
10,2019Q1,UK,0.6
11,2019Q1,England,0.6
12,2019Q1,Wales,0.8
13,2019Q1,Scotland,0.5
14,2019Q1,Northern Ireland,1.8
15,2019Q2,UK,0.0
16,2019Q2,England,0.1
17,2019Q2,Wales,-0.1
18,2019Q2,Scotland,-0.1
19,2019Q2,Northern Ireland,0.8
20,2019Q3,UK,0.4
21,2019Q3,England,0.5
22,2019Q3,Wales,-0.6
23,2019Q3,Scotland,0.1
24,2019Q3,Northern Ireland,-1.2
25,2019Q4,UK,0.0
26,2019Q4,England,0.1
27,2019Q4,Wales,-1.8
28,2019Q4,Scotland,0.1
29,2019Q4,Northern Ireland,-1.3
30,2020Q1,UK,-2.6
31,2020Q1,England,-2.7
32,2020Q1,Wales,-1.4
33,2020Q1,Scotland,-3.3
34,2020Q1,Northern Ireland,-1.3
35,2020Q2,UK,-18.8
36,2020Q2,England,-19.0
37,2020Q2,Wales,-15.2
38,2020Q2,Scotland,-19.1
39,2020Q2,Northern Ireland,-13.6
40,2020Q3,UK,16.9
41,2020Q3,England,17.2
42,2020Q3,Wales,14.4
43,2020Q3,Scotland,15.8
44,2020Q3,Northern Ireland,15.4
