,date,region,value
0,2017-01-01,England,4.8363352
1,2017-01-01,Northern Ireland,6.0142228
2,2017-01-01,Scotland,4.7021464
3,2017-01-01,Wales,4.3956289
4,2017-02-01,England,4.7621
5,2017-02-01,Northern Ireland,5.3825948
6,2017-02-01,Scotland,4.5447586
7,2017-02-01,Wales,4.9620759
8,2017-03-01,England,4.6987673
9,2017-03-01,Northern Ireland,5.4576812
10,2017-03-01,Scotland,4.3237603
11,2017-03-01,Wales,4.804122
12,2017-04-01,England,4.7051209
13,2017-04-01,Northern Ireland,5.44837
14,2017-04-01,Scotland,4.0133351
15,2017-04-01,Wales,4.8048534
16,2017-05-01,England,4.6322635
17,2017-05-01,Northern Ireland,5.2318879
18,2017-05-01,Scotland,3.7714291
19,2017-05-01,Wales,4.4480099
20,2017-06-01,England,4.5833132
21,2017-06-01,Northern Ireland,5.2149729
22,2017-06-01,Scotland,3.897396
23,2017-06-01,Wales,4.2533418
24,2017-07-01,England,4.4494294
25,2017-07-01,Northern Ireland,5.2025831
26,2017-07-01,Scotland,3.8616435
27,2017-07-01,Wales,4.4091649
28,2017-08-01,England,4.4248529
29,2017-08-01,Northern Ireland,4.7072441
30,2017-08-01,Scotland,4.2197107
31,2017-08-01,Wales,4.3732523
32,2017-09-01,England,4.3609346
33,2017-09-01,Northern Ireland,4.0906201
34,2017-09-01,Scotland,4.2373317
35,2017-09-01,Wales,4.6684541
36,2017-10-01,England,4.3079487
37,2017-10-01,Northern Ireland,4.0604742
38,2017-10-01,Scotland,4.2738018
39,2017-10-01,Wales,5.0196104
40,2017-11-01,England,4.3514364
41,2017-11-01,Northern Ireland,4.1192437
42,2017-11-01,Scotland,4.2167016
43,2017-11-01,Wales,4.9503449
44,2017-12-01,England,4.4142482
45,2017-12-01,Northern Ireland,4.2045263
46,2017-12-01,Scotland,4.5029379
47,2017-12-01,Wales,5.1258146
48,2018-01-01,England,4.4307236
49,2018-01-01,Northern Ireland,3.3772056
50,2018-01-01,Scotland,4.323344
51,2018-01-01,Wales,4.9200141
52,2018-02-01,England,4.3197974
53,2018-02-01,Northern Ireland,3.4986436
54,2018-02-01,Scotland,4.2226867
55,2018-02-01,Wales,4.7554309
56,2018-03-01,England,4.3106237
57,2018-03-01,Northern Ireland,3.1513814
58,2018-03-01,Scotland,4.2948357
59,2018-03-01,Wales,4.4651407
60,2018-04-01,England,4.3035715
61,2018-04-01,Northern Ireland,3.4669153
62,2018-04-01,Scotland,4.2939014
63,2018-04-01,Wales,4.3354792
64,2018-05-01,England,4.2768018
65,2018-05-01,Northern Ireland,3.5477006
66,2018-05-01,Scotland,4.2404241
67,2018-05-01,Wales,4.2839893
68,2018-06-01,England,4.1517928
69,2018-06-01,Northern Ireland,3.8032997
70,2018-06-01,Scotland,4.1629766
71,2018-06-01,Wales,4.0690286
72,2018-07-01,England,4.1580199
73,2018-07-01,Northern Ireland,3.8871771
74,2018-07-01,Scotland,4.1510989
75,2018-07-01,Wales,3.6693397
76,2018-08-01,England,4.159145
77,2018-08-01,Northern Ireland,4.1328841
78,2018-08-01,Scotland,3.9904754
79,2018-08-01,Wales,3.9799392
80,2018-09-01,England,4.221647
81,2018-09-01,Northern Ireland,3.9129364
82,2018-09-01,Scotland,3.8856254
83,2018-09-01,Wales,4.2126149
84,2018-10-01,England,4.1896313
85,2018-10-01,Northern Ireland,3.6864539
86,2018-10-01,Scotland,3.8159865
87,2018-10-01,Wales,4.6228362
88,2018-11-01,England,4.2095397
89,2018-11-01,Northern Ireland,3.6122636
90,2018-11-01,Scotland,3.6902687
91,2018-11-01,Wales,4.2502511
92,2018-12-01,England,4.1707869
93,2018-12-01,Northern Ireland,3.9154988
94,2018-12-01,Scotland,3.5395372
95,2018-12-01,Wales,4.3120902
96,2019-01-01,England,4.0709142
97,2019-01-01,Northern Ireland,3.610315
98,2019-01-01,Scotland,3.4509226
99,2019-01-01,Wales,4.4015524
100,2019-02-01,England,4.0993074
101,2019-02-01,Northern Ireland,3.0661126
102,2019-02-01,Scotland,3.3919987
103,2019-02-01,Wales,4.5943046
104,2019-03-01,England,3.9654459
105,2019-03-01,Northern Ireland,2.9265792
106,2019-03-01,Scotland,3.2801024
