,date,students,value
0,1985-01-01,16-17,52.81599044799805
1,1985-01-01,18-20,14.839300155639648
2,1985-01-01,21-24,4.2910380363464355
3,1986-01-01,16-17,52.80589294433594
4,1986-01-01,18-20,15.169523239135742
5,1986-01-01,21-24,4.504380226135254
6,1987-01-01,16-17,55.45428466796875
7,1987-01-01,18-20,16.12595558166504
8,1987-01-01,21-24,4.746193885803223
9,1988-01-01,16-17,54.7163200378418
10,1988-01-01,18-20,16.10317611694336
11,1988-01-01,21-24,4.821651458740234
12,1989-01-01,16-17,55.67947006225586
13,1989-01-01,18-20,16.16419219970703
14,1989-01-01,21-24,5.131935119628906
15,1990-01-01,16-17,59.98196029663086
16,1990-01-01,18-20,18.45208168029785
17,1990-01-01,21-24,5.196118354797363
18,1991-01-01,16-17,62.401084899902344
19,1991-01-01,18-20,20.899391174316406
20,1991-01-01,21-24,6.304481506347656
21,1992-01-01,16-17,66.14656066894531
22,1992-01-01,18-20,28.38747787475586
23,1992-01-01,21-24,7.564128875732422
24,1993-01-01,16-17,69.82881164550781
25,1993-01-01,18-20,30.083656311035156
26,1993-01-01,21-24,7.708913803100586
27,1994-01-01,16-17,70.58189392089844
28,1994-01-01,18-20,35.103370666503906
29,1994-01-01,21-24,9.056262969970703
30,1995-01-01,16-17,72.67032623291016
31,1995-01-01,18-20,37.112979888916016
32,1995-01-01,21-24,10.624208450317383
33,1996-01-01,16-17,72.60528564453125
34,1996-01-01,18-20,38.736106872558594
35,1996-01-01,21-24,10.437335014343262
36,1997-01-01,16-17,72.54269409179688
37,1997-01-01,18-20,40.17573547363281
38,1997-01-01,21-24,11.684924125671387
39,1998-01-01,16-17,70.88187408447266
40,1998-01-01,18-20,40.773319244384766
41,1998-01-01,21-24,12.167179107666016
42,1999-01-01,16-17,73.11640930175781
43,1999-01-01,18-20,40.775848388671875
44,1999-01-01,21-24,13.410505294799805
45,2000-01-01,16-17,74.53083038330078
46,2000-01-01,18-20,39.97602081298828
47,2000-01-01,21-24,13.142728805541992
48,2001-01-01,16-17,75.322265625
49,2001-01-01,18-20,42.11180114746094
50,2001-01-01,21-24,15.505361557006836
51,2002-01-01,16-17,73.9344711303711
52,2002-01-01,18-20,40.16428756713867
53,2002-01-01,21-24,13.953781127929688
54,2003-01-01,16-17,74.09829711914062
55,2003-01-01,18-20,42.299110412597656
56,2003-01-01,21-24,13.93908977508545
57,2004-01-01,16-17,77.79367065429688
58,2004-01-01,18-20,42.929927825927734
59,2004-01-01,21-24,16.16609001159668
60,2005-01-01,16-17,74.22124481201172
61,2005-01-01,18-20,41.59584426879883
62,2005-01-01,21-24,15.520733833312988
63,2006-01-01,16-17,78.19133758544922
64,2006-01-01,18-20,42.26851272583008
65,2006-01-01,21-24,14.91226863861084
66,2007-01-01,16-17,76.03208923339844
67,2007-01-01,18-20,44.12185287475586
68,2007-01-01,21-24,13.746957778930664
69,2008-01-01,16-17,78.09120178222656
70,2008-01-01,18-20,43.37503433227539
71,2008-01-01,21-24,15.728171348571777
72,2009-01-01,16-17,81.19129180908203
73,2009-01-01,18-20,46.64694595336914
74,2009-01-01,21-24,16.22296142578125
75,2010-01-01,16-17,84.64734649658203
76,2010-01-01,18-20,50.82774353027344
77,2010-01-01,21-24,17.90435028076172
78,2011-01-01,16-17,84.84584045410156
79,2011-01-01,18-20,50.9597053527832
80,2011-01-01,21-24,16.707683563232422
81,2012-01-01,16-17,85.1610336303711
82,2012-01-01,18-20,51.860267639160156
83,2012-01-01,21-24,17.98723793029785
84,2013-01-01,16-17,86.93999481201172
85,2013-01-01,18-20,52.37950134277344
86,2013-01-01,21-24,17.842870712280273
87,2014-01-01,16-17,87.53902435302734
88,2014-01-01,18-20,54.90711212158203
89,2014-01-01,21-24,18.41886329650879
90,2015-01-01,16-17,87.99411010742188
91,2015-01-01,18-20,53.365074157714844
92,2015-01-01,21-24,18.15410804748535
93,2016-01-01,16-17,86.27668762207031
94,2016-01-01,18-20,55.141876220703125
95,2016-01-01,21-24,18.11515998840332
96,2017-01-01,16-17,85.5816421508789
97,2017-01-01,18-20,53.79501724243164
98,2017-01-01,21-24,18.2485408782959
99,2018-01-01,16-17,86.79426574707031
100,2018-01-01,18-20,53.68528366088867
101,2018-01-01,21-24,18.60206413269043
102,2019-01-01,16-17,83.74169158935547
103,2019-01-01,18-20,53.044776916503906
104,2019-01-01,21-24,19.57000732421875
105,2020-01-01,16-17,84.47430419921875
106,2020-01-01,18-20,53.28162384033203
107,2020-01-01,21-24,19.267105102539062
108,2021-01-01,16-17,87.60011291503906
109,2021-01-01,18-20,57.333194732666016
110,2021-01-01,21-24,17.826866149902344
