,Group,Value,Variable
0,Developed economies,0.404055025,Debt repayment
1,Emerging economies / Eastern Europe,0.118843155,Debt repayment
2,Emerging economies / Eastern Europe,0.999884245,"Food &
utilities"
3,Developed economies,0.998759352,"Food &
utilities"
4,Emerging economies / Eastern Europe,0.129638242,Rent
5,Developed economies,0.372890573,Rent
6,Developed economies,0.898718325,"Other expenses
(incl. net savings)"
7,Emerging economies / Eastern Europe,0.69865623,"Other expenses
(incl. net savings)"
8,Developed economies,0.464658831,Any debt
9,Emerging economies / Eastern Europe,0.255606482,Any debt
10,Emerging economies / Eastern Europe,0.132039183,Secured debt
11,Developed economies,0.357872823,Secured debt
12,Developed economies,0.219473451,Unsecured debt  
13,Emerging economies / Eastern Europe,0.155695018,Unsecured debt  
14,Developed economies,0.494991613,Illiquid fin. assets
15,Emerging economies / Eastern Europe,0.2104736,Illiquid fin. assets
16,Developed economies,0.924195359,Liquid fin. assets
17,Emerging economies / Eastern Europe,0.907328423,Liquid fin. assets
18,Emerging economies / Eastern Europe,0.966893205,"Physical assets
(incl. real estate)"
19,Developed economies,0.911565858,"Physical assets
(incl. real estate)"
