,Group,Variable,Value
0,Developed economies,Liquid financial assets,0.072296583
1,Developed economies,Illiquid financial assets,0.223729158
2,Developed economies,Physical assets (incl. real estate),0.703974259
3,Developed economies,Secured debt (incl. mortgages),0.102417603
4,Developed economies,Unsecured debt,0.011557212
5,Developed economies,Net wealth (incl. real estate),0.886025185
6,Developed economies,Food & Utilities,0.11958996
7,Developed economies,Rent,0.044542839
8,Developed economies,Debt repayment,0.084065869
9,Developed economies,"Utilities, transport, etc.",0.12409287
10,Developed economies,Other expenses (incl. net savings),0.627708462
11,Emerging economies / E. Europe,Liquid financial assets,0.052522942
12,Emerging economies / E. Europe,Illiquid financial assets,0.01831301
13,Emerging economies / E. Europe,Physical assets (incl. real estate),0.929164048
14,Emerging economies / E. Europe,Secured debt (incl. mortgages),0.03443752
15,Emerging economies / E. Europe,Unsecured debt,0.012778675
16,Emerging economies / E. Europe,Net wealth (incl. real estate),0.952783805
17,Emerging economies / E. Europe,Food & Utilities,0.227459565
18,Emerging economies / E. Europe,Rent,0.080447654
19,Emerging economies / E. Europe,Debt repayment,0.025721041
20,Emerging economies / E. Europe,"Utilities, transport, etc.",0.267424016
21,Emerging economies / E. Europe,Other expenses (incl. net savings),0.398947724
