,country,through,drawdown,clink
0,China,-1.1280551493628457,-2.088991017338608,no
1,Philippines,0.0,-2.17325227963527,no
2,Bulgaria,-2.5292168149311123,-4.657247514390382,no
3,Romania,-3.4585824081981196,-5.8497011101622505,no
4,India,-6.182776551036392,-6.9948001994444065,no
5,Peru,-1.7323403324874218,-7.274239181569412,yes
7,Malaysia,-5.603271983640077,-7.934560327198365,yes
8,Poland,-8.835798255593472,-11.755783086841108,no
9,Turkey,-10.894270244540962,-12.244897959183666,no
11,Hungary,-8.849557522123892,-12.979351032448374,no
12,Chile,-10.56433408577878,-13.784800601956352,yes
13,Indonesia,-13.349763243153431,-17.48539307174702,yes
14,Colombia,-14.172529423367738,-21.645078571898217,yes
15,Russia,-16.501240694789075,-23.263027295285347,yes
16,Brazil,-21.34244372990353,-24.879421221864945,yes
17,Mexico,-19.70471323111869,-25.36437630134394,yes
18,South Africa,-22.361291948422874,-26.449381886401508,yes
