,advantage,age,value
39,Improved work-life balance,50-69,0.64
38,Improved work-life balance,30-49,0.67
37,Improved work-life balance,16-29,0.62
36,Improved work-life balance,Overall,0.65
35,Fewer distractions,50-69,0.48
34,Fewer distractions,30-49,0.44
33,Fewer distractions,16-29,0.34
32,Fewer distractions,Overall,0.43
31,Quicker to complete work,50-69,0.38
30,Quicker to complete work,30-49,0.4
29,Quicker to complete work,16-29,0.43
28,Quicker to complete work,Overall,0.4
27,Improved wellbeing,50-69,0.34
26,Improved wellbeing,30-49,0.39
25,Improved wellbeing,16-29,0.41
24,Improved wellbeing,Overall,0.38
23,Easier to think of new ideas,50-69,0.13
22,Easier to think of new ideas,30-49,0.14
21,Easier to think of new ideas,16-29,0.14
20,Easier to think of new ideas,Overall,0.14
19,No advantages,50-69,0.14
18,No advantages,30-49,0.11
17,No advantages,16-29,0.12
16,No advantages,Overall,0.13
15,Other,50-69,0.09
14,Other,30-49,0.1
13,Other,16-29,0.12
12,Other,Overall,0.1
11,Easier to work with others,50-69,0.09
10,Easier to work with others,30-49,0.11
9,Easier to work with others,16-29,0.11
8,Easier to work with others,Overall,0.1
7,More job opportunities,50-69,0.02
6,More job opportunities,30-49,0.04
5,More job opportunities,16-29,0.06
4,More job opportunities,Overall,0.04
3,Prefer not to say,50-69,0.04
2,Prefer not to say,30-49,0.04
1,Prefer not to say,16-29,0.03
0,Prefer not to say,Overall,0.04
