local_authorities,y_axis_allcat_rank,x_axis_imd_rank,lad_id,country,levelling_up_categorisation,region,supergroup_name,quadrant,label_2_highest_lowest
Haringey,11,37,E09000014,England,2,London,London Cosmopolitan,quadrant 1,lab
Great Yarmouth,26,24,E07000145,England,1,East,Countryside Living,quadrant 1,lab
Luton,8,52,E06000032,England,1,East,Ethnically Diverse Metropolitan Living,quadrant 1,nolab
Tendring,29,32,E07000076,England,1,East,Countryside Living,quadrant 1,nolab
Barking and Dagenham,58,5,E09000002,England,1,London,Ethnically Diverse Metropolitan Living,quadrant 1,nolab
Brent,19,49,E09000005,England,2,London,Ethnically Diverse Metropolitan Living,quadrant 1,nolab
Torridge,4,67,E07000046,England,1,South West,Countryside Living,quadrant 1,nolab
Newham,66,12,E09000025,England,1,London,Ethnically Diverse Metropolitan Living,quadrant 1,nolab
Waltham Forest,34,45,E09000031,England,2,London,Ethnically Diverse Metropolitan Living,quadrant 1,nolab
Slough,7,73,E06000039,England,3,South East,Ethnically Diverse Metropolitan Living,quadrant 1,nolab
East Lindsey,57,30,E07000137,England,1,East Midlands,Countryside Living,quadrant 1,nolab
Blackpool,88,1,E06000009,England,1,North West,Services and Industrial Legacy,quadrant 1,nolab
Liverpool,86,4,E08000012,England,1,North West,"Business, Education and Heritage Centres",quadrant 1,nolab
Enfield,33,59,E09000010,England,2,London,Ethnically Diverse Metropolitan Living,quadrant 1,nolab
Folkestone and Hythe,20,84,E07000112,England,1,South East,Countryside Living,quadrant 1,nolab
Cornwall,27,83,E06000052,England,2,South West,Countryside Living,quadrant 1,nolab
Coventry,43,81,E08000026,England,2,West Midlands,"Business, Education and Heritage Centres",quadrant 1,nolab
Gravesham,6,119,E07000109,England,1,South East,Urban Settlements,quadrant 1,nolab
North Devon,3,123,E07000043,England,3,South West,Countryside Living,quadrant 1,nolab
Nottingham,119,10,E06000018,England,1,East Midlands,"Business, Education and Heritage Centres",quadrant 1,nolab
Lewisham,95,35,E09000023,England,2,London,Ethnically Diverse Metropolitan Living,quadrant 1,nolab
Lambeth,93,42,E09000022,England,3,London,London Cosmopolitan,quadrant 1,nolab
Kensington and Chelsea,13,122,E09000020,England,2,London,London Cosmopolitan,quadrant 1,nolab
Wellingborough,16,124,E07000156,England,1,East Midlands,Urban Settlements,quadrant 1,nolab
Thurrock,25,116,E06000034,England,2,East,Urban Settlements,quadrant 1,nolab
North Norfolk,52,94,E07000147,England,2,East,Countryside Living,quadrant 1,nolab
Ealing,59,88,E09000009,England,2,London,Ethnically Diverse Metropolitan Living,quadrant 1,nolab
Allerdale,39,109,E07000026,England,2,North West,Countryside Living,quadrant 1,nolab
Westminster,14,134,E09000033,England,3,London,London Cosmopolitan,quadrant 1,nolab
Hackney,146,7,E09000012,England,2,London,London Cosmopolitan,quadrant 1,nolab
Arun,5,149,E07000224,England,2,South East,Countryside Living,quadrant 1,nolab
Fenland,104,51,E07000010,England,2,East,Town and Country Living,quadrant 1,nolab
Dartford,10,145,E07000107,England,3,South East,Urban Settlements,quadrant 1,nolab
Hounslow,61,95,E09000018,England,3,London,Ethnically Diverse Metropolitan Living,quadrant 1,nolab
Greenwich,98,60,E09000011,England,2,London,Ethnically Diverse Metropolitan Living,quadrant 1,nolab
Boston,73,85,E07000136,England,1,East Midlands,Urban Settlements,quadrant 1,nolab
Peterborough,106,53,E06000031,England,1,East,Urban Settlements,quadrant 1,nolab
Hillingdon,9,151,E09000017,England,2,London,Ethnically Diverse Metropolitan Living,quadrant 1,nolab
Torbay,115,48,E06000027,England,1,South West,Countryside Living,quadrant 1,nolab
Stoke on Trent,153,15,E06000021,England,1,West Midlands,Urban Settlements,quadrant 1,nolab
