Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours,Transmission Classification
Afghanistan,Eastern Mediterranean,136643,351.01,7622,19.58,754,5923,15.22,508,1.3,74,Community transmission
Albania,Europe,132597,4607.58,60,2.08,5,2456,85.34,0,0,0,Clusters of cases
Algeria,Africa,146942,335.09,4976,11.35,860,3851,8.78,86,0.2,15,Community transmission
American Samoa,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Andorra,Europe,14155,18320.07,164,212.26,80,127,164.37,0,0,0,Community transmission
Angola,Africa,40055,121.87,755,2.3,97,939,2.86,24,0.07,4,Community transmission
Anguilla,Americas,111,739.9,0,0,0,0,0,0,0,0,Sporadic cases
Antigua and Barbuda,Americas,1266,1292.77,1,1.02,0,42,42.89,0,0,0,Clusters of cases
Argentina,Americas,4662937,10317.2,110187,243.8,14989,99255,219.61,2734,6.05,474,Community transmission
Armenia,Europe,226597,7646.95,936,31.59,138,4549,153.51,19,0.64,2,Community transmission
Aruba,Americas,11177,10468.69,33,30.91,8,107,100.22,0,0,0,Community transmission
Australia,Western Pacific,31323,122.84,491,1.93,99,912,3.58,2,0.01,1,Clusters of cases
Austria,Europe,647379,7273.05,626,7.03,87,10513,118.11,9,0.1,1,Community transmission
Azerbaijan,Europe,337323,3326.93,844,8.32,69,4987,49.19,9,0.09,3,Clusters of cases
Bahamas,Americas,13220,3361.78,278,70.69,0,254,64.59,2,0.51,0,Clusters of cases
Bahrain,Eastern Mediterranean,267400,15714.85,715,42.02,76,1378,80.98,12,0.71,0,Community transmission
Bangladesh,South-East Asia,1047155,635.84,80749,49.03,12198,16842,10.23,1450,0.88,203,Community transmission
Barbados,Americas,4186,1456.63,95,33.06,10,48,16.7,1,0.35,0,Community transmission
Belarus,Europe,428595,4535.72,6631,70.17,689,3266,34.56,72,0.76,9,Community transmission
Belgium,Europe,1097029,9520.8,6035,52.38,0,25205,218.75,10,0.09,0,Community transmission
Belize,Americas,13561,3410.47,170,42.75,43,331,83.24,1,0.25,1,Community transmission
Benin,Africa,8227,67.86,28,0.23,0,105,0.87,1,0.01,0,Community transmission
Bermuda,Americas,2521,4048.3,1,1.61,0,33,52.99,0,0,0,Sporadic cases
Bhutan,South-East Asia,2324,301.19,114,14.77,34,1,0.13,0,0,0,Clusters of cases
Bolivia,Americas,455436,3901.61,9074,77.73,1195,17250,147.78,265,2.27,31,Community transmission
Bonaire,Americas,1634,7812.57,8,38.25,1,17,81.28,0,0,0,Community transmission
Bosnia and Herzegovina,Europe,205181,6253.96,110,3.35,11,9662,294.5,11,0.34,6,Community transmission
Botswana,Africa,80153,3408.41,6176,262.63,4765,1253,53.28,65,2.76,51,Community transmission
Brazil,Americas,19106971,8989,314460,147.94,17031,534233,251.33,9121,4.29,745,Community transmission
British Virgin Islands,Americas,1147,3793.37,354,1170.75,0,3,9.92,2,6.61,0,Community transmission
Brunei Darussalam,Western Pacific,282,64.46,16,3.66,5,3,0.69,0,0,0,Sporadic cases
Bulgaria,Europe,422545,6078.49,394,5.67,83,18144,261.01,19,0.27,4,Clusters of cases
Burkina Faso,Africa,13520,64.68,26,0.12,11,168,0.8,0,0,0,Community transmission
Burundi,Africa,5706,47.99,171,1.44,20,8,0.07,0,0,0,Community transmission
Cabo Verde,Africa,33026,5940.07,281,50.54,20,290,52.16,2,0.36,1,Community transmission
Cambodia,Western Pacific,62700,375.02,6578,39.34,830,953,5.7,174,1.04,28,Sporadic cases
Cameroon,Africa,80858,304.6,0,0,0,1324,4.99,0,0,0,Community transmission
Canada,Americas,1421108,3765.31,3469,9.19,577,26438,70.05,70,0.19,2,Community transmission
Cayman Islands,Americas,619,941.87,5,7.61,3,2,3.04,0,0,0,Sporadic cases
Central African Republic,Africa,7142,147.87,1,0.02,0,98,2.03,0,0,0,Community transmission
Chad,Africa,4954,30.16,2,0.01,0,174,1.06,0,0,0,Community transmission
Chile,Americas,1590887,8322.19,16422,85.91,1264,34016,177.94,728,3.81,36,Community transmission
China,Western Pacific,119428,8.12,392,0.03,54,5595,0.38,41,0,6,Clusters of cases
Colombia,Americas,4530610,8903.99,154749,304.13,18650,113335,222.74,3869,7.6,509,Community transmission
Comoros,Africa,4066,467.57,38,4.37,0,146,16.79,0,0,0,Community transmission
Congo,Africa,12790,231.78,0,0,0,167,3.03,0,0,0,Community transmission
Cook Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Costa Rica,Americas,383500,7528.29,9176,180.13,785,4812,94.46,86,1.69,18,Community transmission
C?te d'Ivoire,Africa,48869,185.26,289,1.1,93,319,1.21,4,0.02,1,Community transmission
Croatia,Europe,360924,8893.77,582,14.34,83,8231,202.83,10,0.25,2,Community transmission
Cuba,Americas,250527,2211.84,39614,349.74,5613,1608,14.2,221,1.95,29,Community transmission
Cura?ao,Americas,12395,7553.64,46,28.03,6,126,76.79,0,0,0,Community transmission
Cyprus,Europe,85104,9583.73,6295,708.89,832,380,42.79,0,0,0,Clusters of cases
Czechia,Europe,1669745,15613.94,1496,13.99,249,30333,283.65,2,0.02,2,Community transmission
"Korea, Democratic People's Republic of",South-East Asia,0,0,0,0,0,0,0,0,0,0,No cases
"Congo, Democratic Republic of the",Africa,44332,49.5,1715,1.91,193,984,1.1,22,0.02,4,Community transmission
Denmark,Europe,300071,5153.41,4417,75.86,848,2539,43.6,2,0.03,0,Community transmission
Djibouti,Eastern Mediterranean,11621,1176.21,12,1.21,0,155,15.69,0,0,0,Clusters of cases
Dominica,Americas,199,276.42,2,2.78,0,0,0,0,0,0,Clusters of cases
Dominican Republic,Americas,335079,3088.88,4835,44.57,535,3897,35.92,31,0.29,4,Community transmission
Ecuador,Americas,470882,2668.94,6931,39.28,2468,21832,123.74,124,0.7,2,Community transmission
Egypt,Eastern Mediterranean,283320,276.86,899,0.88,108,16412,16.04,106,0.1,9,Clusters of cases
El Salvador,Americas,81644,1258.73,1409,21.72,0,2457,37.88,43,0.66,4,Community transmission
Equatorial Guinea,Africa,8815,628.3,56,3.99,25,122,8.7,0,0,0,Community transmission
Eritrea,Africa,6304,177.76,177,4.99,20,29,0.82,4,0.11,0,Community transmission
Estonia,Europe,131562,9899.5,305,22.95,54,1270,95.56,0,0,0,Clusters of cases
Eswatini,Africa,20080,1730.79,996,85.85,162,695,59.91,17,1.47,3,Community transmission
Ethiopia,Africa,277137,241.07,634,0.55,66,4343,3.78,11,0.01,0,Community transmission
Falkland Islands (Malvinas),Americas,60,1722.65,0,0,0,0,0,0,0,0,No cases
Faeroe Islands,Europe,880,1800.88,96,196.46,12,1,2.05,0,0,0,Sporadic cases
Fiji,Western Pacific,12032,1342.19,4883,544.71,647,59,6.58,20,2.23,1,Sporadic cases
Finland,Europe,98505,1782.8,1714,31.02,290,976,17.66,3,0.05,0,Clusters of cases
France,Europe,5700017,8763.95,24315,37.39,1120,110400,169.74,141,0.22,24,Community transmission
French Guiana,Americas,28421,9515.47,425,142.29,0,161,53.9,7,2.34,0,Community transmission
French Polynesia,Western Pacific,19042,6778.73,22,7.83,8,144,51.26,0,0,0,Sporadic cases
Gabon,Africa,25198,1132.12,92,4.13,34,162,7.28,1,0.04,0,Community transmission
Gambia,Africa,6328,261.85,212,8.77,0,185,7.66,3,0.12,0,Community transmission
Georgia,Europe,379674,9517.61,8381,210.09,1863,5479,137.35,96,2.41,11,Community transmission
Germany,Europe,3737135,4493.55,5571,6.7,646,91259,109.73,197,0.24,26,Community transmission
Ghana,Africa,97585,314.05,1183,3.81,0,801,2.58,5,0.02,0,Community transmission
Gibraltar,Europe,4430,13148.91,64,189.96,17,94,279.01,0,0,0,Clusters of cases
Global,,187296646,2402.920985,3179679,40.79366908,401973,4046470,51.91415803,57613,0.739145573,8102,
Greece,Europe,440872,4113.16,13909,129.77,2063,12802,119.44,59,0.55,10,Community transmission
Greenland,Europe,55,96.88,4,7.05,0,0,0,0,0,0,No cases
Grenada,Americas,162,143.97,0,0,0,1,0.89,0,0,0,Sporadic cases
Guadeloupe,Americas,17809,4450.87,125,31.24,0,274,68.48,4,1,0,Community transmission
Guam,Western Pacific,8199,4857.95,71,42.07,13,142,84.14,2,1.19,1,Clusters of cases
Guatemala,Americas,322120,1797.99,16801,93.78,2963,9756,54.46,208,1.16,35,Community transmission
Guernsey,Europe,857,1329.34,9,13.96,3,17,26.37,0,0,0,Community transmission
Guinea,Africa,24134,183.77,263,2,17,179,1.36,6,0.05,2,Community transmission
Guinea-Bissau,Africa,3947,200.56,66,3.35,0,70,3.56,1,0.05,0,Community transmission
Guyana,Americas,21002,2670.13,613,77.94,49,497,63.19,19,2.42,5,Community transmission
Haiti,Americas,19374,169.91,202,1.77,0,487,4.27,20,0.18,0,Community transmission
Holy See,Europe,26,3213.84,0,0,0,0,0,0,0,0,Sporadic cases
Honduras,Americas,274977,2776.25,5977,60.35,499,7288,73.58,159,1.61,29,Community transmission
Hungary,Europe,808556,8276.31,262,2.68,17,30010,307.18,12,0.12,3,Community transmission
Iceland,Europe,6675,1833.12,11,3.02,0,30,8.24,0,0,0,Community transmission
India,South-East Asia,30907282,2239.65,287350,20.82,32906,410784,29.77,7503,0.54,2020,Clusters of cases
Indonesia,South-East Asia,2615529,956.24,270511,98.9,47899,68219,24.94,6351,2.32,864,Community transmission
"Iran, Islamic Republic of",Eastern Mediterranean,3417029,4068.23,130106,154.9,22750,86207,102.64,1112,1.32,166,Community transmission
Iraq,Eastern Mediterranean,1447557,3598.87,59234,147.27,9046,17630,43.83,254,0.63,38,Community transmission
Ireland,Europe,278464,5609.17,3872,77.99,572,5006,100.84,6,0.12,0,Community transmission
Isle of Man,Europe,1684,1980.43,46,54.1,0,29,34.1,0,0,0,No cases
