,x,y,e,c,e1,e2
0,> 225,0.01,0.017,red,-0.024,0.044000000000000004
1,225,0.001,0.02,red,-0.039,0.041
2,150,-0.012,0.018,red,-0.048,0.023999999999999997
3,75,0.0,0.0,red,0.0,0.0
4, 75,-0.032,0.02,red,-0.07200000000000001,0.008
5, 150,-0.058,0.019,red,-0.096,-0.020000000000000004
6, 225,-0.066,0.024,red,-0.114,-0.018000000000000002
7,225 <,-0.056,0.027,red,-0.11,-0.0020000000000000018
0,> 225,-0.015,0.028,green,-0.07100000000000001,0.041
1,225,0.002,0.024,green,-0.046,0.05
2,150,0.007,0.02,green,-0.033,0.047
3,75,0.0,0.0,green,0.0,0.0
4, 75,0.001,0.022,green,-0.043,0.045
5, 150,-0.008,0.023,green,-0.054,0.038
6, 225,-0.003,0.024,green,-0.051000000000000004,0.045
7,225 <,-0.011,0.03,green,-0.071,0.049
8,> 225,-0.004,0.024,blue,-0.052000000000000005,0.044
9,225,0.019,0.017,blue,-0.015000000000000003,0.053000000000000005
10,150,-0.012,0.015,blue,-0.041999999999999996,0.018
11,75,0.0,0.0,blue,0.0,0.0
12, 75,-0.006,0.014,blue,-0.034,0.022
13, 150,-0.007,0.015,blue,-0.037,0.023
14, 225,0.01,0.017,blue,-0.024,0.044000000000000004
15,225 <,0.01,0.023,blue,-0.036,0.056
