,x,y,e,c,e1,e2
0,> 225,0.01,0.017,red,-0.024,0.044000000000000004
1,225,0.001,0.02,red,-0.039,0.041
2,150,-0.012,0.018,red,-0.048,0.023999999999999997
3,75,0.0,0.0,red,0.0,0.0
4, 75,-0.032,0.02,red,-0.07200000000000001,0.008
5, 150,-0.058,0.019,red,-0.096,-0.020000000000000004
6, 225,-0.066,0.024,red,-0.114,-0.018000000000000002
7,225 <,-0.056,0.027,red,-0.11,-0.0020000000000000018
0,> 225,0.037,0.075,blue,-0.11299999999999999,0.187
1,225,0.056,0.094,blue,-0.132,0.244
2,150,-0.015,0.066,blue,-0.14700000000000002,0.117
3,75,0.0,0.0,blue,0.0,0.0
4, 75,0.016,0.055,blue,-0.094,0.126
5, 150,0.016,0.058,blue,-0.1,0.132
6, 225,0.049,0.063,blue,-0.077,0.175
7,225 <,0.035,0.066,blue,-0.097,0.167
