date,GPRD_MA30,GPRD_MA7,GPRD
2020-01-01,73.96268,94.54971,114.53027
2020-01-02,76.54057,111.55159,163.18066
2020-01-03,77.64495,107.10634,80.79433
2020-01-04,81.87315,131.25647,229.99174
2020-01-05,85.55964,154.53506,199.2522
2020-01-06,93.55135,172.15544,251.98611
2020-01-07,106.08412,207.59871,413.45569
2020-01-08,109.34383,217.03802,180.60542
2020-01-09,119.94897,250.07793,394.46002
2020-01-10,122.27807,262.4361,167.30139
2020-01-11,123.02714,246.74609,120.16177
2020-01-12,125.56403,243.3862,175.73303
2020-01-13,129.04462,229.20615,152.72569
2020-01-14,131.82518,188.96614,131.77567
2020-01-15,133.77856,185.0985,153.53194
2020-01-16,135.89915,149.59673,145.94757
2020-01-17,136.25577,144.2426,129.82249
2020-01-18,135.24934,132.62222,38.81915
2020-01-19,136.70946,120.84776,93.31177
2020-01-20,138.92134,116.04641,119.1163
2020-01-21,142.05176,114.26829,119.3288
2020-01-22,143.4912,103.47674,77.99106
2020-01-23,144.65306,95.92329,93.07343
2020-01-24,144.87254,84.80034,51.96185
2020-01-25,144.50447,83.98698,33.12568
2020-01-26,141.5517,73.9893,23.32794
2020-01-27,141.92076,67.26015,72.01234
2020-01-28,144.03047,64.44083,99.59354
2020-01-29,141.30959,60.01598,47.01709
2020-01-30,142.06677,73.58669,188.06836
2020-01-31,140.71503,76.73184,73.97794
2020-02-01,138.24393,84.72067,89.04752
2020-02-02,136.92245,87.26667,41.14991
2020-02-03,132.83998,92.33886,107.51765
2020-02-04,130.98518,98.6267,143.60843
2020-02-05,124.86389,101.67388,68.34734
2020-02-06,114.10307,87.75427,90.63113
2020-02-07,110.71505,88.46666,78.96466
2020-02-08,98.60539,80.19851,31.17044
2020-02-09,94.0778,78.81614,31.47333
2020-02-10,90.89765,66.99328,24.75761
2020-02-11,88.04858,59.37217,90.2607
2020-02-12,85.02549,58.47014,62.0331
2020-02-13,82.59473,53.93037,58.85273
2020-02-14,80.44981,55.39035,89.18452
2020-02-15,77.38358,58.64605,53.96038
2020-02-16,75.50387,64.64005,73.4313
2020-02-17,77.0315,73.19585,84.64824
2020-02-18,76.70203,72.2197,83.42763
2020-02-19,74.55659,71.17971,54.75318
2020-02-20,74.28928,78.67352,111.3094
2020-02-21,75.1537,80.77912,103.9237
2020-02-22,74.62913,84.11852,77.33621
2020-02-23,74.16044,79.0428,37.90123
2020-02-24,75.75351,78.50986,80.91769
2020-02-25,78.82429,83.08469,115.45142
2020-02-26,79.84393,89.92019,102.60165
2020-02-27,78.65638,83.15696,63.96682
2020-02-28,78.9271,76.18768,55.13877
2020-02-29,75.66869,78.04198,90.31627
2020-03-01,74.99196,80.2955,53.67587
2020-03-02,75.56484,83.91211,106.23395
2020-03-03,78.29445,84.99594,123.03823
2020-03-04,79.54136,91.04211,144.92484
2020-03-05,77.39391,93.21612,79.18489
2020-03-06,76.82656,92.67159,51.32703
2020-03-07,75.94769,88.94997,64.26498
2020-03-08,75.48534,90.58115,65.09412
2020-03-09,76.87312,85.8054,72.80369
2020-03-10,78.2122,78.46363,71.64587
2020-03-11,80.41968,70.75749,90.98188
2020-03-12,79.90559,70.13651,74.83803
2020-03-13,80.1067,72.52786,68.06646
2020-03-14,80.37661,72.91143,66.94996
2020-03-15,78.47322,68.19555,32.08298
2020-03-16,77.82303,62.71712,34.45464
2020-03-17,78.67845,66.63827,99.0939
2020-03-18,78.77724,66.15685,87.61199
2020-03-19,78.96857,68.2039,89.16737
2020-03-20,79.07024,66.73772,57.80319
2020-03-21,77.35798,65.73654,59.9417
2020-03-22,76.55455,72.55624,79.82091
2020-03-23,78.0164,84.94722,121.1915
2020-03-24,83.12012,98.07852,191.01302
2020-03-25,82.20142,93.18492,53.35679
2020-03-26,80.24324,88.54757,56.70586
2020-03-27,78.56082,87.73698,52.1291
2020-03-28,78.69083,88.8692,67.86724
2020-03-29,82.11092,100.00069,157.74132
2020-03-30,82.55096,97.47587,103.51774
2020-03-31,83.73713,82.93983,89.2608
2020-04-01,82.38251,84.68821,65.5954
2020-04-02,79.86772,83.38657,47.59436
2020-04-03,77.85609,88.02187,84.57619
2020-04-04,77.76643,89.25441,76.49503
2020-04-05,79.22684,80.31122,95.13902
2020-04-06,80.39558,79.7126,99.32736
2020-04-07,81.77677,82.17959,106.52974
2020-04-08,81.95709,83.98216,78.2134
2020-04-09,81.59923,85.88439,60.91001
2020-04-10,81.41602,86.01431,85.48562
2020-04-11,80.35233,81.21894,42.92744
2020-04-12,79.50638,73.7259,42.68773
2020-04-13,80.23402,72.21899,88.77903
2020-04-14,82.20364,70.02498,91.17159
2020-04-15,84.03944,71.64147,89.52886
2020-04-16,82.35148,69.8622,48.45511
2020-04-17,81.88143,68.15147,73.51052
2020-04-18,80.37008,68.27994,43.82669
2020-04-19,79.69238,67.5349,37.47248
2020-04-20,78.55698,58.54924,25.87943
