Entity,Year,Rate
Automobile,1915-01-01,0.1
Automobile,1916-01-01,0.12
Automobile,1917-01-01,0.17
Automobile,1918-01-01,0.19
Automobile,1919-01-01,0.23
Automobile,1920-01-01,0.28
Automobile,1921-01-01,0.31
Automobile,1922-01-01,0.34
Automobile,1923-01-01,0.39
Automobile,1924-01-01,0.44
Automobile,1925-01-01,0.49
Automobile,1926-01-01,0.54
Automobile,1927-01-01,0.56
Automobile,1928-01-01,0.58
Automobile,1929-01-01,0.585
Automobile,1930-01-01,0.59
Automobile,1931-01-01,0.56
Automobile,1932-01-01,0.53
Automobile,1933-01-01,0.5
Automobile,1934-01-01,0.51
Automobile,1935-01-01,0.52
Automobile,1936-01-01,0.54
Automobile,1937-01-01,0.55
Automobile,1938-01-01,0.54
Automobile,1939-01-01,0.54
Automobile,1940-01-01,0.55
Automobile,1941-01-01,0.57
Automobile,1942-01-01,0.53
Automobile,1943-01-01,0.49
Automobile,1944-01-01,0.47
Automobile,1945-01-01,0.46
Automobile,1946-01-01,0.48
Automobile,1947-01-01,0.51
Automobile,1948-01-01,0.53
Automobile,1949-01-01,0.55
Automobile,1950-01-01,0.58
Automobile,1951-01-01,0.6
Automobile,1952-01-01,0.6
Automobile,1953-01-01,0.62
Automobile,1954-01-01,0.65
Automobile,1955-01-01,0.68
Automobile,1956-01-01,0.72
Automobile,1957-01-01,0.74
Automobile,1958-01-01,0.71
Automobile,1959-01-01,0.73
Automobile,1960-01-01,0.75
Automobile,1961-01-01,0.76
Automobile,1962-01-01,0.75
Automobile,1963-01-01,0.79
Automobile,1964-01-01,0.79
Automobile,1965-01-01,0.79
Automobile,1966-01-01,0.79
Automobile,1967-01-01,0.78
Automobile,1968-01-01,0.785
Automobile,1969-01-01,0.79
Automobile,1970-01-01,0.8
Automobile,1971-01-01,0.8
Automobile,1972-01-01,0.81
Automobile,1973-01-01,0.82
Automobile,1974-01-01,0.83
Automobile,1975-01-01,0.83
Automobile,1976-01-01,0.84
Automobile,1977-01-01,0.85
Automobile,1978-01-01,0.85
Automobile,1979-01-01,0.85
Automobile,1980-01-01,0.86
Automobile,1981-01-01,0.86
Automobile,1982-01-01,0.86
Automobile,1983-01-01,0.865
Automobile,1984-01-01,0.87
Automobile,1985-01-01,0.88
Automobile,1986-01-01,0.88
Automobile,1987-01-01,0.89
Automobile,1988-01-01,0.895
Automobile,1989-01-01,0.9
Automobile,1990-01-01,0.91
Automobile,1991-01-01,0.91
Automobile,1992-01-01,0.91
Automobile,1993-01-01,0.92
Automobile,1994-01-01,0.91
Automobile,1995-01-01,0.91
Automobile,1996-01-01,0.92
Automobile,1997-01-01,0.92
Automobile,1998-01-01,0.92
Automobile,1999-01-01,0.91
Automobile,2000-01-01,0.92
Automobile,2001-01-01,0.92
Automobile,2002-01-01,0.91
Automobile,2003-01-01,0.91
Automobile,2004-01-01,0.91
Automobile,2005-01-01,0.91
Cellular phone,1994-01-01,0.1
Cellular phone,1995-01-01,0.12
Cellular phone,1996-01-01,0.16
Cellular phone,1997-01-01,0.21
Cellular phone,1998-01-01,0.363
Cellular phone,1999-01-01,0.34
Cellular phone,2000-01-01,0.42
Cellular phone,2001-01-01,0.49
Cellular phone,2002-01-01,0.56
Cellular phone,2003-01-01,0.628
Cellular phone,2004-01-01,0.63
Cellular phone,2005-01-01,0.713
Cellular phone,2006-01-01,0.67
Cellular phone,2007-01-01,0.73
Cellular phone,2008-01-01,0.75
Cellular phone,2009-01-01,0.84
Cellular phone,2010-01-01,0.872
Cellular phone,2011-01-01,0.89
Cellular phone,2012-01-01,0.87
Cellular phone,2013-01-01,0.9
Cellular phone,2014-01-01,0.91
Cellular phone,2015-01-01,0.92
Cellular phone,2016-01-01,0.93
Cellular phone,2017-01-01,0.94
Cellular phone,2018-01-01,0.95
Cellular phone,2019-01-01,0.96
Colour TV,1966-01-01,0.1
Colour TV,1967-01-01,0.15
Colour TV,1968-01-01,0.21
Colour TV,1969-01-01,0.25
Colour TV,1970-01-01,0.31
Colour TV,1971-01-01,0.39
Colour TV,1972-01-01,0.43
Colour TV,1973-01-01,0.48
Colour TV,1974-01-01,0.57
Colour TV,1975-01-01,0.64
Colour TV,1976-01-01,0.69
Colour TV,1977-01-01,0.74
Colour TV,1978-01-01,0.75
Colour TV,1979-01-01,0.78
Colour TV,1980-01-01,0.79
Colour TV,1981-01-01,0.8
Colour TV,1982-01-01,0.85
Colour TV,1983-01-01,0.88
Colour TV,1984-01-01,0.89
Colour TV,1985-01-01,0.9
Colour TV,1986-01-01,0.905
Colour TV,1987-01-01,0.91
Colour TV,1988-01-01,0.93
Colour TV,1989-01-01,0.94
Colour TV,1990-01-01,0.96
Colour TV,1991-01-01,0.96
Colour TV,1992-01-01,0.95
Colour TV,1993-01-01,0.95
Colour TV,1994-01-01,0.96
Colour TV,1995-01-01,0.94
Colour TV,1996-01-01,0.96
Colour TV,1997-01-01,0.95
Colour TV,1998-01-01,0.94
Colour TV,1999-01-01,0.95
Colour TV,2000-01-01,0.94
Colour TV,2001-01-01,0.94
Colour TV,2002-01-01,0.96
Colour TV,2003-01-01,0.95
Colour TV,2004-01-01,0.97
Colour TV,2005-01-01,0.96
Computer,1992-01-01,0.207
Computer,1998-01-01,0.42
Computer,2003-01-01,0.631
Computer,2005-01-01,0.671
Computer,2010-01-01,0.752
Computer,2011-01-01,0.767
Computer,2012-01-01,0.789
Computer,2013-01-01,0.838
Computer,2014-01-01,0.851
Computer,2015-01-01,0.868
Computer,2016-01-01,0.893
Electricity,1908-01-01,0.1
Electricity,1909-01-01,0.1067
Electricity,1910-01-01,0.1233
Electricity,1911-01-01,0.14
Electricity,1912-01-01,0.16
Electricity,1913-01-01,0.18
Electricity,1914-01-01,0.19
Electricity,1915-01-01,0.2
Electricity,1916-01-01,0.22
Electricity,1917-01-01,0.24
Electricity,1918-01-01,0.27
Electricity,1919-01-01,0.3
Electricity,1920-01-01,0.335
Electricity,1921-01-01,0.37
Electricity,1922-01-01,0.4
Electricity,1923-01-01,0.43
Electricity,1924-01-01,0.49
Electricity,1925-01-01,0.52
Electricity,1926-01-01,0.55
Electricity,1927-01-01,0.6
Electricity,1928-01-01,0.64
Electricity,1929-01-01,0.68
Electricity,1930-01-01,0.68
Electricity,1931-01-01,0.68
Electricity,1932-01-01,0.67
Electricity,1933-01-01,0.67
Electricity,1934-01-01,0.67
Electricity,1935-01-01,0.685
Electricity,1936-01-01,0.7
Electricity,1937-01-01,0.73
Electricity,1938-01-01,0.75
Electricity,1939-01-01,0.765
Electricity,1940-01-01,0.78
Electricity,1941-01-01,0.795
Electricity,1942-01-01,0.81
Electricity,1943-01-01,0.81
Electricity,1944-01-01,0.83
Electricity,1945-01-01,0.85
Electricity,1946-01-01,0.855
Electricity,1947-01-01,0.86
Electricity,1948-01-01,0.89
Electricity,1949-01-01,0.93
Electricity,1950-01-01,0.94
Electricity,1951-01-01,0.95
Electricity,1952-01-01,0.96
Electricity,1953-01-01,0.97
Electricity,1954-01-01,0.9767
Electricity,1955-01-01,0.9833
Electricity,1956-01-01,0.99
Electricity,1957-01-01,0.99
Electricity,1958-01-01,0.99
Electricity,1959-01-01,0.99
Electricity,1960-01-01,0.99
Electricity,1961-01-01,0.99
