date,"Budget revenues, RUB tln (lhs)",Expenditures,"Share of total expenditures, % (rhs)",lhs_label
2010-01-01,3.83,10.12,0.38,3.8tn
2011-01-01,5.64,10.93,0.52,5.6tn
2012-01-01,6.45,12.89,0.5,6.5tn
2013-01-01,6.53,13.34,0.49,6.5tn
2014-01-01,7.43,14.83,0.5,7.4tn
2015-01-01,5.86,15.62,0.38,5.9tn
2016-01-01,4.84,16.42,0.3,4.8tn
2017-01-01,5.97,16.42,0.36,6.0tn
2018-01-01,9.02,16.71,0.54,9.0tn
2019-01-01,7.92,18.21,0.44,7.9tn
2020-01-01,5.24,22.82,0.23,5.2tn
2021-01-01,9.06,24.76,0.37,9.1tn
2022-01-01,11.59,31.12,0.37,11.6tn
2023-01-01,8.82,32.35,0.27,8.8tn
2024-01-01,11.13,40.18,0.28,11.1tn
