pre_tax,tax,earning,amount
30000,5774.55,before_childcare,26477.05
30000,5774.55,after_childcare,14317.05
30100,5817.55,before_childcare,26534.05
30100,5817.55,after_childcare,14374.05
30200,5860.55,before_childcare,26591.05
30200,5860.55,after_childcare,14431.05
30300,5903.55,before_childcare,26648.05
30300,5903.55,after_childcare,14488.05
30400,5946.55,before_childcare,26705.05
30400,5946.55,after_childcare,14545.05
30500,5989.55,before_childcare,26762.05
30500,5989.55,after_childcare,14602.05
30600,6032.55,before_childcare,26819.05
30600,6032.55,after_childcare,14659.05
30700,6075.55,before_childcare,26876.05
30700,6075.55,after_childcare,14716.05
30800,6118.55,before_childcare,26933.05
30800,6118.55,after_childcare,14773.05
30900,6161.55,before_childcare,26990.05
30900,6161.55,after_childcare,14830.05
31000,6204.55,before_childcare,27047.05
31000,6204.55,after_childcare,14887.05
31100,6247.55,before_childcare,27104.05
31100,6247.55,after_childcare,14944.05
31200,6290.55,before_childcare,27161.05
31200,6290.55,after_childcare,15001.05
31300,6333.55,before_childcare,27218.05
31300,6333.55,after_childcare,15058.05
31400,6376.55,before_childcare,27275.05
31400,6376.55,after_childcare,15115.05
31500,6419.55,before_childcare,27332.05
31500,6419.55,after_childcare,15172.05
31600,6462.55,before_childcare,27389.05
31600,6462.55,after_childcare,15229.05
31700,6505.55,before_childcare,27446.05
31700,6505.55,after_childcare,15286.05
31800,6548.55,before_childcare,27503.05
31800,6548.55,after_childcare,15343.05
31900,6591.55,before_childcare,27560.05
31900,6591.55,after_childcare,15400.05
32000,6634.55,before_childcare,27617.05
32000,6634.55,after_childcare,15457.05
32100,6677.55,before_childcare,27674.05
32100,6677.55,after_childcare,15514.05
32200,6720.55,before_childcare,27731.05
32200,6720.55,after_childcare,15571.05
32300,6763.55,before_childcare,27788.05
32300,6763.55,after_childcare,15628.05
32400,6806.55,before_childcare,27845.05
32400,6806.55,after_childcare,15685.05
32500,6849.55,before_childcare,27902.05
32500,6849.55,after_childcare,15742.05
32600,6892.55,before_childcare,27959.05
32600,6892.55,after_childcare,15799.05
32700,6935.55,before_childcare,28016.05
32700,6935.55,after_childcare,15856.05
32800,6978.55,before_childcare,28073.05
32800,6978.55,after_childcare,15913.05
32900,7021.549999999999,before_childcare,28130.05
32900,7021.549999999999,after_childcare,15970.05
33000,7064.549999999999,before_childcare,28187.05
33000,7064.549999999999,after_childcare,16027.05
33100,7107.549999999999,before_childcare,28244.05
33100,7107.549999999999,after_childcare,16084.05
33200,7150.549999999999,before_childcare,28301.05
33200,7150.549999999999,after_childcare,16141.05
33300,7193.549999999999,before_childcare,28358.05
33300,7193.549999999999,after_childcare,16198.05
33400,7236.549999999999,before_childcare,28415.05
33400,7236.549999999999,after_childcare,16255.05
33500,7279.549999999999,before_childcare,28472.05
33500,7279.549999999999,after_childcare,16312.05
33600,7322.549999999999,before_childcare,28529.05
33600,7322.549999999999,after_childcare,16369.05
33700,7365.549999999999,before_childcare,28586.05
33700,7365.549999999999,after_childcare,16426.05
33800,7408.549999999999,before_childcare,28643.05
33800,7408.549999999999,after_childcare,16483.05
33900,7451.549999999999,before_childcare,28700.05
33900,7451.549999999999,after_childcare,16540.05
34000,7494.549999999999,before_childcare,28757.05
34000,7494.549999999999,after_childcare,16597.05
34100,7537.549999999999,before_childcare,28814.05
34100,7537.549999999999,after_childcare,16654.05
34200,7580.549999999999,before_childcare,28871.05
34200,7580.549999999999,after_childcare,16711.05
34300,7623.549999999999,before_childcare,28928.05
34300,7623.549999999999,after_childcare,16768.05
34400,7666.549999999999,before_childcare,28985.05
34400,7666.549999999999,after_childcare,16825.05
34500,7709.549999999999,before_childcare,29042.05
34500,7709.549999999999,after_childcare,16882.05
34600,7752.549999999999,before_childcare,29099.05
34600,7752.549999999999,after_childcare,16939.05
34700,7795.549999999999,before_childcare,29156.05
34700,7795.549999999999,after_childcare,16996.05
34800,7838.549999999999,before_childcare,29213.05
34800,7838.549999999999,after_childcare,17053.05
34900,7881.549999999999,before_childcare,29270.05
34900,7881.549999999999,after_childcare,17110.05
35000,7924.549999999999,before_childcare,29327.05
35000,7924.549999999999,after_childcare,17167.05
35100,7967.549999999999,before_childcare,29384.05
35100,7967.549999999999,after_childcare,17224.05
35200,8010.549999999999,before_childcare,29441.05
35200,8010.549999999999,after_childcare,17281.05
35300,8053.549999999999,before_childcare,29498.05
35300,8053.549999999999,after_childcare,17338.05
35400,8096.549999999999,before_childcare,29555.05
35400,8096.549999999999,after_childcare,17395.05
35500,8139.549999999999,before_childcare,29612.05
35500,8139.549999999999,after_childcare,17452.05
35600,8182.55,before_childcare,29669.05
35600,8182.55,after_childcare,17509.05
35700,8225.55,before_childcare,29726.05
35700,8225.55,after_childcare,17566.05
35800,8268.55,before_childcare,29783.05
35800,8268.55,after_childcare,17623.05
35900,8311.55,before_childcare,29840.05
35900,8311.55,after_childcare,17680.05
36000,8354.55,before_childcare,29897.05
36000,8354.55,after_childcare,17737.05
36100,8397.55,before_childcare,29954.05
36100,8397.55,after_childcare,17794.05
36200,8440.55,before_childcare,30011.05
36200,8440.55,after_childcare,17851.05
36300,8483.55,before_childcare,30068.05
36300,8483.55,after_childcare,17908.05
36400,8526.55,before_childcare,30125.05
36400,8526.55,after_childcare,17965.05
36500,8569.55,before_childcare,30182.05
36500,8569.55,after_childcare,18022.05
36600,8612.55,before_childcare,30239.05
36600,8612.55,after_childcare,18079.05
36700,8655.55,before_childcare,30296.05
36700,8655.55,after_childcare,18136.05
36800,8698.55,before_childcare,30353.05
36800,8698.55,after_childcare,18193.05
36900,8741.55,before_childcare,30410.05
36900,8741.55,after_childcare,18250.05
37000,8784.55,before_childcare,30467.05
37000,8784.55,after_childcare,18307.05
37100,8827.55,before_childcare,30524.05
37100,8827.55,after_childcare,18364.05
37200,8870.55,before_childcare,30581.05
37200,8870.55,after_childcare,18421.05
37300,8913.55,before_childcare,30638.05
37300,8913.55,after_childcare,18478.05
37400,8956.55,before_childcare,30695.05
37400,8956.55,after_childcare,18535.05
37500,8999.55,before_childcare,30752.05
37500,8999.55,after_childcare,18592.05
37600,9042.55,before_childcare,30809.05
37600,9042.55,after_childcare,18649.05
37700,9085.55,before_childcare,30866.05
37700,9085.55,after_childcare,18706.05
37800,9128.55,before_childcare,30923.05
37800,9128.55,after_childcare,18763.05
37900,9171.55,before_childcare,30980.05
37900,9171.55,after_childcare,18820.05
38000,9214.55,before_childcare,31037.05
38000,9214.55,after_childcare,18877.05
38100,9257.55,before_childcare,31094.05
38100,9257.55,after_childcare,18934.05
38200,9300.55,before_childcare,31151.05
38200,9300.55,after_childcare,18991.05
38300,9343.55,before_childcare,31208.05
38300,9343.55,after_childcare,19048.05
38400,9386.55,before_childcare,31265.05
38400,9386.55,after_childcare,19105.05
38500,9429.55,before_childcare,31322.05
38500,9429.55,after_childcare,19162.05
38600,9472.55,before_childcare,31379.05
38600,9472.55,after_childcare,19219.05
38700,9515.55,before_childcare,31436.05
38700,9515.55,after_childcare,19276.05
38800,9558.55,before_childcare,31493.05
38800,9558.55,after_childcare,19333.05
38900,9601.55,before_childcare,31550.05
38900,9601.55,after_childcare,19390.05
39000,9644.55,before_childcare,31607.05
39000,9644.55,after_childcare,19447.05
39100,9687.55,before_childcare,31664.05
39100,9687.55,after_childcare,19504.05
39200,9730.55,before_childcare,31721.05
39200,9730.55,after_childcare,19561.05
39300,9773.55,before_childcare,31778.05
39300,9773.55,after_childcare,19618.05
39400,9816.55,before_childcare,31835.05
39400,9816.55,after_childcare,19675.05
39500,9859.55,before_childcare,31892.05
39500,9859.55,after_childcare,19732.05
39600,9902.55,before_childcare,31949.05
39600,9902.55,after_childcare,19789.05
39700,9945.55,before_childcare,32006.05
39700,9945.55,after_childcare,19846.05
39800,9988.55,before_childcare,32063.05
39800,9988.55,after_childcare,19903.05
39900,10031.55,before_childcare,32120.05
39900,10031.55,after_childcare,19960.05
40000,10074.55,before_childcare,32177.05
40000,10074.55,after_childcare,20017.05
40100,10117.55,before_childcare,32234.05
40100,10117.55,after_childcare,20074.05
40200,10160.55,before_childcare,32291.05
