,weekx,week3,looknew,m_looknew,min_looknew,max_looknew
0,2020-01-01,5/1/20,5.722040176391602,5.78057336807251,4.0264973640441895,7.038651943206787
1,2020-01-08,2,5.393181324005127,6.187642574310303,5.740975379943848,6.679516792297363
2,2020-01-15,3,6.4490580558776855,6.244230270385742,5.234304428100586,7.303278923034668
3,2020-01-22,4,5.6891045570373535,5.9980998039245605,5.785892009735107,7.140300273895264
4,2020-01-29,2/2/20,5.198729038238525,5.995999813079834,5.666402816772461,7.255370140075684
5,2020-02-05,6,5.946093559265137,6.186352729797363,5.500463485717773,6.337332725524902
6,2020-02-12,7,5.538815498352051,5.95461368560791,5.847036361694336,7.408490180969238
7,2020-02-19,23/2/20,5.3208394050598145,6.236264705657959,5.910351276397705,6.886567115783691
8,2020-02-26,9,4.922140598297119,5.641491889953613,5.396514415740967,5.910261631011963
9,2020-03-04,10,5.503097057342529,5.202106475830078,4.909146785736084,6.839993476867676
10,2020-03-11,11,4.454187870025635,6.621895790100098,4.804501533508301,6.881343364715576
11,2020-03-18,22/3/20,4.553042888641357,5.728529453277588,5.134232044219971,6.703396320343018
12,2020-03-25,13,3.9520881175994873,5.931099891662598,5.371888160705566,6.389071941375732
13,2020-04-01,14,4.6587934494018555,5.8550825119018555,4.153244495391846,6.109434127807617
14,2020-04-08,15,4.1265106201171875,4.999955177307129,4.490418434143066,7.406187057495117
15,2020-04-15,16,3.7139241695404053,5.263858795166016,5.124302864074707,6.100313186645508
16,2020-04-22,17,2.9924120903015137,5.746740818023682,5.393110752105713,6.286177635192871
17,2020-04-29,3/5/20,3.4391582012176514,5.912998199462891,5.399046897888184,5.950016498565674
18,2020-05-06,19,4.093508243560791,5.763863563537598,5.1011528968811035,6.357052803039551
19,2020-05-13,20,4.261739730834961,6.225754737854004,5.645063877105713,6.2681660652160645
20,2020-05-20,21,4.008113384246826,5.600539684295654,5.135584354400635,6.2371721267700195
21,2020-05-27,31/5/20,3.6432583332061768,5.6537909507751465,5.176583290100098,5.850435256958008
22,2020-06-03,23,3.8081982135772705,5.975894927978516,4.176097869873047,6.3993072509765625
23,2020-06-10,24,3.844287157058716,5.4763922691345215,4.536386013031006,5.937163352966309
24,2020-06-17,25,4.167560577392578,5.944931983947754,4.735474109649658,6.825665473937988
25,2020-06-24,26,3.171126127243042,5.182319641113281,4.470385551452637,5.809515953063965
26,2020-07-01,27,4.502966403961182,5.870208740234375,5.650698184967041,6.249624729156494
27,2020-07-08,12/7/20,4.073922634124756,5.704955577850342,5.029637336730957,6.258208274841309
28,2020-07-15,29,4.32140588760376,5.770575046539307,4.798743724822998,7.257070541381836
29,2020-07-22,30,3.8640174865722656,5.8598151206970215,5.323729515075684,6.26596212387085
30,2020-07-29,31,5.055790901184082,5.516026020050049,4.946831703186035,6.923513889312744
31,2020-08-05,9/8/20,4.160289287567139,6.275542736053467,5.532924652099609,7.109772205352783
32,2020-08-12,33,3.5833775997161865,5.422966957092285,4.193531513214111,7.318694114685059
33,2020-08-19,34,4.197361469268799,5.639986515045166,4.585764408111572,6.780892372131348
34,2020-08-26,35,3.4730546474456787,5.254473686218262,4.621236801147461,5.639133453369141
35,2020-09-02,36,4.1944756507873535,5.351053237915039,4.611477375030518,5.450552940368652
36,2020-09-09,37,4.232355117797852,6.236320972442627,4.850162982940674,7.378133296966553
37,2020-09-16,20/9/20,5.4555864334106445,5.774730682373047,5.158061504364014,6.615852355957031
