,Year,DG,PG,LtoG,EG
0,1970,1.961045e-09,4.7435953e-09,1.9435848e-07,1.0216406e-05
1,1971,2.0575548e-09,4.496626e-09,2.4813087e-07,1.015108e-05
2,1972,1.9276676e-09,4.467461e-09,2.876317e-07,1.015861e-05
3,1973,1.8338766e-09,4.142909e-09,3.1246836e-07,1.0174173e-05
4,1974,1.9942976e-09,4.1520543e-09,3.6821834e-07,1.0277869e-05
5,1975,2.027798e-09,4.6317843e-09,4.182873e-07,1.0443338e-05
6,1976,1.8862194e-09,5.4097784e-09,4.3629854e-07,1.0580271e-05
7,1977,1.9276898e-09,5.588893e-09,4.2101564e-07,1.0811696e-05
8,1978,2.5496363e-09,6.0505148e-09,3.9294878e-07,1.1086257e-05
9,1979,2.4483087e-09,6.9448904e-09,3.6370682e-07,1.1262232e-05
10,1980,2.893665e-09,8.331827e-09,3.284727e-07,1.1473507e-05
11,1981,4.2111425e-09,9.199527e-09,2.9769046e-07,1.1624922e-05
12,1982,4.1836534e-09,8.981292e-09,2.665431e-07,1.1691096e-05
13,1983,4.3310897e-09,9.447752e-09,2.3746891e-07,1.1905339e-05
14,1984,4.9457527e-09,1.1128177e-08,2.0391515e-07,1.1869306e-05
15,1985,4.25685e-09,1.3138509e-08,1.8721724e-07,1.1917157e-05
16,1986,4.521001e-09,1.5067217e-08,1.6859124e-07,1.2051871e-05
17,1987,4.877112e-09,1.713167e-08,1.6454575e-07,1.2171739e-05
18,1988,4.1377364e-09,2.075515e-08,1.6150004e-07,1.2281442e-05
19,1989,4.1123074e-09,2.3947287e-08,1.6504714e-07,1.2581988e-05
20,1990,3.8885974e-09,2.5842569e-08,1.6976637e-07,1.2779615e-05
21,1991,3.6396643e-09,2.7709122e-08,1.8346977e-07,1.3194828e-05
22,1992,3.6247543e-09,2.8845994e-08,1.9350816e-07,1.3458805e-05
23,1993,3.6915737e-09,2.9676158e-08,2.0185828e-07,1.3700718e-05
24,1994,3.1117091e-09,3.098356e-08,2.010271e-07,1.3891625e-05
25,1995,2.5048343e-09,2.9900775e-08,2.0504567e-07,1.4002165e-05
26,1996,2.3350366e-09,3.003356e-08,2.042973e-07,1.386633e-05
27,1997,2.2773163e-09,3.0482042e-08,2.068385e-07,1.3672893e-05
28,1998,2.0743025e-09,2.930408e-08,2.006494e-07,1.3426123e-05
29,1999,2.0348594e-09,2.958141e-08,2.011834e-07,1.3310888e-05
30,2000,1.8251177e-09,2.857163e-08,1.9716406e-07,1.3102307e-05
31,2001,1.7464502e-09,2.7849877e-08,1.9558676e-07,1.2895455e-05
32,2002,1.5961074e-09,2.7353314e-08,1.9443101e-07,1.2883868e-05
33,2003,1.6970461e-09,2.593419e-08,1.907755e-07,1.2732041e-05
34,2004,2.1018947e-09,2.4674863e-08,1.905801e-07,1.2766158e-05
35,2005,2.1814894e-09,2.3222333e-08,1.9108467e-07,1.2479934e-05
36,2006,3.6623755e-09,2.0183334e-08,1.8591611e-07,1.2037873e-05
37,2007,5.7301808e-09,1.8495065e-08,1.9135955e-07,1.1641144e-05
38,2008,9.368673e-09,1.6678806e-08,1.982091e-07,1.1102066e-05
39,2009,1.5035537e-08,1.7506066e-08,2.0572249e-07,1.0473036e-05
40,2010,2.4208738e-08,1.6502755e-08,2.2308164e-07,1.016236e-05
41,2011,3.555168e-08,1.6474825e-08,2.3143146e-07,9.642813e-06
42,2012,4.4432262e-08,1.6776616e-08,2.41365e-07,9.528827e-06
43,2013,6.163947e-08,1.9553848e-08,2.5806625e-07,9.635206e-06
44,2014,7.955985e-08,2.3525136e-08,2.6498174e-07,9.486393e-06
45,2015,9.879123e-08,2.7860509e-08,2.6721224e-07,9.439022e-06
46,2016,1.184639e-07,2.9453536e-08,2.6794828e-07,9.550461e-06
47,2017,1.09007e-07,2.743934e-08,2.2578413e-07,8.131217e-06
48,2018,1.1328789e-07,2.8594991e-08,2.1936565e-07,7.955451e-06
49,2019,1.2300485e-07,3.1338622e-08,2.1200904e-07,7.5392404e-06
50,2020,1.2065328e-07,3.1953405e-08,1.8886054e-07,6.7145425e-06
