,reduction,default
0,0.4144464,2.814376
1,0.5093378,2.812911
2,0.5649717,2.81202
3,0.7352941,2.809425
4,0.7765315,2.808694
5,1.438849,2.798961
6,1.515148,2.797843
7,1.6,2.796583
8,1.769912,2.79426
9,1.785714,2.794049
10,1.818182,2.793616
11,1.916667,2.792313
12,2.040816,2.790748
13,2.302861,2.787493
14,2.325581,2.787211
15,2.5,2.785063
16,2.5,2.785063
17,2.631579,2.783461
18,2.654867,2.783179
19,2.857143,2.780752
20,2.857143,2.780752
21,2.857143,2.780752
22,2.857143,2.780752
23,2.857143,2.780752
24,2.857143,2.780752
25,2.877698,2.780508
26,3.2,2.776726
27,3.225806,2.776427
28,3.225806,2.776427
29,3.225806,2.776427
30,3.225806,2.776427
31,3.225806,2.776427
32,3.225806,2.776427
33,3.272727,2.775886
34,3.333333,2.775189
35,3.333333,2.775189
36,3.333333,2.775189
37,3.466666,2.773669
38,3.571429,2.772486
39,3.571429,2.772486
40,3.636364,2.771758
41,3.68488,2.771363
42,3.703704,2.771349
43,3.703704,2.771824
44,3.722398,2.771623
45,3.783784,2.771157
46,4.0,2.768884
47,4.000002,2.769211
48,4.090909,2.768303
49,4.166667,2.767531
50,4.166667,2.767531
51,4.166667,2.767531
52,4.166667,2.768081
53,4.186047,2.768351
54,4.329372,2.767011
55,4.347826,2.767374
56,4.440155,2.766503
57,4.458599,2.766329
58,4.458599,2.766702
59,4.458599,2.766702
60,4.513889,2.76619
61,4.545455,2.765898
62,4.651163,2.764926
63,4.692082,2.764551
64,5.0,2.762636
65,5.0,2.762948
66,5.094208,2.762199
67,5.142857,2.761781
68,5.263158,2.76075
69,5.263158,2.760892
70,5.309734,2.760954
71,5.31579,2.761208
72,5.362776,2.760938
73,5.405406,2.760587
74,5.405406,2.760587
75,5.413766,2.76074
76,5.478261,2.760315
77,5.509642,2.760814
78,5.555556,2.76089
79,5.681818,2.759909
80,5.681818,2.760154
81,5.714286,2.760726
82,5.817174,2.759959
83,5.882353,2.759624
84,6.060606,2.758982
85,6.10652,2.75888
86,6.19469,2.759004
87,6.25,2.758621
88,6.25,2.758621
89,6.25,2.75935
90,6.481482,2.757787
91,6.519743,2.757529
92,6.621392,2.757313
93,6.624606,2.757761
94,6.666667,2.758704
95,6.666667,2.758847
96,6.666667,2.758847
97,6.666667,2.758847
98,6.666667,2.759447
99,6.666667,2.760295
100,6.976745,2.758488
101,6.976745,2.758488
102,7.142858,2.757519
103,7.142858,2.757519
104,7.142858,2.757519
105,7.5,2.755429
106,7.5,2.755429
107,7.623888,2.754701
108,7.692308,2.754297
109,7.692308,2.754297
110,7.692308,2.754297
111,7.692308,2.754297
112,7.697948,2.754264
113,7.894736,2.753097
114,7.924529,2.752919
115,7.924529,2.752919
116,8.0,2.75373
117,8.172636,2.75274
118,8.272728,2.753836
119,8.333334,2.75365
120,8.41424,2.75321
121,8.508692,2.754416
122,8.660714,2.755636
123,8.710802,2.755426
124,8.883827,2.754602
125,8.888889,2.754578
126,8.888889,2.754578
127,8.888889,2.754578
128,8.888889,2.755324
129,9.0,2.75437
130,9.090909,2.75349
131,9.090909,2.753698
132,9.090909,2.756203
133,9.090909,2.756773
134,9.090909,2.757348
135,9.090909,2.758482
136,9.090913,2.757998
137,9.166667,2.758008
138,9.385114,2.757364
139,9.404659,2.758042
140,9.404659,2.75744
141,10.0,2.757225
142,10.14493,2.756439
143,10.24306,2.755945
144,10.36749,2.756222
145,10.60606,2.754729
146,10.71429,2.754646
147,10.8707,2.754
148,11.11111,2.754901
149,11.11111,2.756302
150,11.11111,2.758489
151,11.36364,2.757482
152,11.76471,2.756647
153,11.81703,2.757719
154,12.0,2.75875
155,12.0,2.761249
156,12.0,2.761241
157,12.03704,2.762596
158,12.30769,2.764657
159,12.31127,2.764216
160,12.31579,2.763907
161,12.31579,2.763533
162,12.31579,2.763157
163,12.5,2.762438
164,12.5,2.762183
165,12.5,2.762032
166,12.97862,2.760836
167,13.0,2.76315
168,13.06667,2.76485
169,13.07692,2.764696
170,13.12303,2.764464
171,13.12303,2.764335
172,13.16726,2.768412
173,13.19444,2.769481
174,13.25,2.769337
175,13.33333,2.769015
176,13.33333,2.771096
177,13.35656,2.771717
178,13.4349,2.772257
179,13.46154,2.772019
180,13.63636,2.77185
181,13.63636,2.775321
182,13.66906,2.776192
183,13.66906,2.77694
184,13.82114,2.777966
185,13.85435,2.788635
186,14.11765,2.789817
187,14.11765,2.789943
188,14.16667,2.790069
189,14.28572,2.790454
190,14.28572,2.790564
191,14.28572,2.790321
192,14.28572,2.790076
193,14.28572,2.789831
194,14.28572,2.792947
195,14.28572,2.792623
196,14.39561,2.792862
197,14.8,2.803079
198,14.89362,2.804141
199,15.0,2.80889
200,15.0,2.809565
201,15.0,2.810597
202,15.0,2.810436
203,15.0,2.813784
204,15.0,2.815722
205,15.0,2.815425
206,15.11194,2.816978
207,15.22843,2.820539
208,15.24927,2.824956
209,15.25424,2.828063
210,15.38462,2.829057
211,15.38462,2.835271
212,15.38462,2.835056
213,15.38462,2.83709
214,15.38462,2.838105
215,15.38462,2.838544
216,15.42857,2.84291
217,15.42857,2.842779
218,15.48507,2.849204
219,15.58442,2.855285
220,15.69149,2.861072
221,15.73333,2.863768
222,15.77778,2.864024
223,15.95238,2.878825
224,15.95238,2.881325
225,15.96639,2.881499
226,15.96639,2.880731
227,16.26087,2.887212
228,16.26087,2.887359
229,16.26087,2.901476
230,16.42857,2.904372
231,16.44444,2.903902
232,16.66666,2.908319
233,16.66667,2.908449
234,16.66667,2.90858
235,16.66667,2.9118
236,16.66667,2.915724
237,16.66667,2.915596
238,16.66667,2.917803
239,16.66667,2.918572
240,16.66667,2.922233
241,16.66667,2.922301
242,16.66667,2.925059
243,16.75532,2.926581
244,16.75532,2.925768
245,16.75532,2.934285
246,16.95743,2.942208
247,17.14286,2.955718
248,17.24138,2.958524
249,17.27273,2.962857
250,17.375,2.967045
251,17.58242,2.973279
252,17.64706,2.984374
253,17.64706,2.987512
254,17.64706,2.993373
255,17.77778,3.011296
256,17.78386,3.022725
257,17.8,3.029278
258,17.85714,3.047741
259,17.98107,3.053207
260,17.99544,3.057291
261,18.18182,3.065845
262,18.18182,3.066165
263,18.18182,3.065068
264,18.18182,3.063716
265,18.19149,3.069666
266,18.21705,3.072967
267,18.23899,3.077786
268,18.25095,3.081218
269,18.33333,3.086865
270,18.45745,3.100433
271,18.46154,3.13139
272,18.51852,3.137635
273,18.51852,3.147896
274,18.51852,3.146448
275,18.51852,3.16054
276,18.51852,3.18814
277,18.55556,3.190186
278,18.60465,3.19329
279,18.75,3.204877
280,18.75,3.202635
281,18.75,3.200239
282,18.75,3.197816
283,18.75,3.195365
284,18.75,3.192885
285,18.75,3.191678
286,18.78173,3.193307
287,18.78173,3.191519
288,18.78571,3.188929
289,18.84,3.190879
290,18.95833,3.199445
291,18.99288,3.20014
292,19.2,3.216758
293,19.2,3.2157
294,19.2,3.212963
295,19.21642,3.212393
296,19.21642,3.21207
297,19.27711,3.217439
298,19.29167,3.216562
299,19.35484,3.220519
300,19.56242,3.238981
301,19.69274,3.24861
302,19.69274,3.24641
303,19.69274,3.245707
304,19.70803,3.244329
305,19.90385,3.261079
306,20.0,3.268029
307,20.0,3.265562
308,20.0,3.262953
309,20.0,3.261678
310,20.0,3.259963
311,20.0,3.257787
312,20.0,3.255593
313,20.0,3.253883
314,20.0,3.252155
315,20.0,3.250408
316,20.0,3.247819
317,20.0,3.2452
318,20.0,3.242552
319,20.0,3.240555
320,20.0,3.237738
321,20.0,3.234895
322,20.0,3.232019
323,20.0,3.22911
324,20.0,3.226167
325,20.0,3.22319
326,20.0,3.220904
327,20.0,3.217755
328,20.0,3.215434
329,20.0,3.212727
330,20.0,3.210349
331,20.0,3.207226
332,20.0,3.206393
333,20.0,3.203623
334,20.06369,3.208985
335,20.14925,3.21483
336,20.36708,3.236147
337,20.36708,3.233585
338,20.45455,3.240617
339,20.45455,3.237745
340,20.59448,3.249726
341,20.60526,3.247962
342,20.60526,3.244838
343,20.60526,3.241614
344,20.60526,3.239526
345,20.83333,3.262217
346,21.03004,3.281655
347,21.05263,3.281211
348,21.2766,3.303742
349,21.2766,3.301222
350,21.2766,3.299029
351,21.42857,3.313626
352,21.42857,3.311257
353,21.42857,3.308859
354,21.42857,3.305912
355,21.42857,3.303638
356,21.42857,3.301016
357,21.73913,3.333957
358,21.85185,3.345319
359,21.875,3.34642
360,21.875,3.343568
361,21.875,3.342055
362,21.92308,3.345104
363,22.07792,3.360096
364,22.18182,3.369744
365,22.22222,3.371981
366,22.22222,3.369792
367,22.22222,3.366718
368,22.29654,3.372427
369,22.3301,3.376032
370,22.58064,3.404303
371,22.72727,3.419062
372,22.72727,3.417747
373,22.80702,3.424895
374,23.07692,3.455221
375,23.07692,3.452461
376,23.125,3.455517
377,23.33333,3.478279
378,23.40425,3.484849
379,23.63636,3.511109
380,23.63636,3.508788
381,23.63637,3.509108
382,23.86364,3.537947
383,23.86364,3.535349
384,23.86364,3.533362
385,24.0,3.548055
386,24.13793,3.563668
387,24.50199,3.608456
388,24.54546,3.611692
389,24.54546,3.610961
390,24.54546,3.609053
391,24.73118,3.631307
392,25.0,3.664515
393,25.0,3.66241
394,25.0,3.659936
395,25.0,3.657431
396,25.0,3.655825
397,25.0,3.653236
398,25.0,3.65091
399,25.0,3.649537
400,25.0,3.648146
401,25.0,3.64555
402,25.0,3.643342
403,25.0,3.641918
404,25.0,3.640219
405,25.0,3.637873
406,25.0,3.635707
407,25.0,3.634235
408,25.0,3.631257
409,25.30121,3.669624
410,25.30121,3.669244
411,25.68182,3.719439
412,25.71429,3.721698
413,25.71429,3.719241
414,26.08696,3.768952
415,26.50603,3.827173
416,26.51163,3.82652
417,26.51163,3.824307
418,26.51163,3.82307
419,26.51163,3.821818
420,26.51163,3.82055
421,26.66091,3.840804
422,26.66667,3.840367
423,26.66667,3.837962
424,26.74419,3.846823
425,27.27273,3.922135
426,27.27273,3.919852
427,27.27273,3.917514
428,27.27273,3.915839
429,27.27273,3.913655
430,27.27273,3.911815
431,27.27273,3.909367
432,27.27273,3.906844
433,27.27273,3.904955
434,27.77778,3.97968
435,27.77778,3.978517
