Site	si	year	Province	ProYear	Cultivar	cu	Release_Year	Replicate	Yield	ly	plant_date	Flower_Date	Harvest_date	prec	fr	BinExp0_4	BinExp5_9	BinExp10_14	BinExp15_19	BinExp20_24	BinExp25_29	BinExp30_inf
"ALPHA"	1.0	2005.0	"Western Cape"	22.0	"BAVIAANS"	1.0	2001	1	3.3000000000000003	1.1939225	2005-05-01	2005-08-19	2005-09-18	145.12752	0.0	1.4554186	17.101469	50.124016	61.233204	9.851977	0.23391554	0.0
"ALPHA"	1.0	2005.0	"Western Cape"	22.0	"BAVIAANS"	1.0	2001	2	3.29	1.1908876	2005-05-01	2005-08-19	2005-09-18	145.12752	0.0	1.4554186	17.101469	50.124016	61.233204	9.851977	0.23391554	0.0
"ALPHA"	1.0	2005.0	"Western Cape"	22.0	"BAVIAANS"	1.0	2001	3	3.72	1.3137237	2005-05-01	2005-08-19	2005-09-18	145.12752	0.0	1.4554186	17.101469	50.124016	61.233204	9.851977	0.23391554	0.0
"ALPHA"	1.0	2005.0	"Western Cape"	22.0	"BAVIAANS"	1.0	2001	4	3.41	1.2267123	2005-05-01	2005-08-19	2005-09-18	145.12752	0.0	1.4554186	17.101469	50.124016	61.233204	9.851977	0.23391554	0.0
"ALPHA"	1.0	2005.0	"Western Cape"	22.0	"BAVIAANS"	1.0	2001	1	1.94	0.66268796	2005-05-15	2005-08-30	2005-09-29	145.82751	0.0	1.4554186	17.34225	49.766495	60.81868	7.3832407	0.23391554	0.0
"ALPHA"	1.0	2005.0	"Western Cape"	22.0	"BAVIAANS"	1.0	2001	2	1.94	0.66268796	2005-05-15	2005-08-30	2005-09-29	145.82751	0.0	1.4554186	17.34225	49.766495	60.81868	7.3832407	0.23391554	0.0
"ALPHA"	1.0	2005.0	"Western Cape"	22.0	"BAVIAANS"	1.0	2001	3	2.36	0.8586616	2005-05-15	2005-08-30	2005-09-29	145.82751	0.0	1.4554186	17.34225	49.766495	60.81868	7.3832407	0.23391554	0.0
"ALPHA"	1.0	2005.0	"Western Cape"	22.0	"BAVIAANS"	1.0	2001	4	1.68	0.5187938	2005-05-15	2005-08-30	2005-09-29	145.82751	0.0	1.4554186	17.34225	49.766495	60.81868	7.3832407	0.23391554	0.0
"ALPHA"	1.0	2005.0	"Western Cape"	22.0	"BIEDOU"	3.0	2003	1	3.38	1.2178757	2005-05-01	2005-08-18	2005-09-17	145.12752	0.0	1.4554186	17.101469	49.72357	60.705883	9.77974	0.23391554	0.0
"ALPHA"	1.0	2005.0	"Western Cape"	22.0	"BIEDOU"	3.0	2003	2	3.33	1.2029723	2005-05-01	2005-08-18	2005-09-17	145.12752	0.0	1.4554186	17.101469	49.72357	60.705883	9.77974	0.23391554	0.0
"ALPHA"	1.0	2005.0	"Western Cape"	22.0	"BIEDOU"	3.0	2003	3	3.45	1.2383742	2005-05-01	2005-08-18	2005-09-17	145.12752	0.0	1.4554186	17.101469	49.72357	60.705883	9.77974	0.23391554	0.0
"ALPHA"	1.0	2005.0	"Western Cape"	22.0	"BIEDOU"	3.0	2003	4	3.46	1.2412686	2005-05-01	2005-08-18	2005-09-17	145.12752	0.0	1.4554186	17.101469	49.72357	60.705883	9.77974	0.23391554	0.0
"ALPHA"	1.0	2005.0	"Western Cape"	22.0	"BIEDOU"	3.0	2003	1	2.17	0.77472717	2005-05-15	2005-08-29	2005-09-28	145.52751	0.0	1.4554186	16.995808	49.421043	60.510582	7.3832407	0.23391554	0.0
"ALPHA"	1.0	2005.0	"Western Cape"	22.0	"BIEDOU"	3.0	2003	2	1.56	0.44468582	2005-05-15	2005-08-29	2005-09-28	145.52751	0.0	1.4554186	16.995808	49.421043	60.510582	7.3832407	0.23391554	0.0
"ALPHA"	1.0	2005.0	"Western Cape"	22.0	"BIEDOU"	3.0	2003	3	2.33	0.8458683	2005-05-15	2005-08-29	2005-09-28	145.52751	0.0	1.4554186	16.995808	49.421043	60.510582	7.3832407	0.23391554	0.0
"ALPHA"	1.0	2005.0	"Western Cape"	22.0	"BIEDOU"	3.0	2003	4	2.05	0.7178398	2005-05-15	2005-08-29	2005-09-28	145.52751	0.0	1.4554186	16.995808	49.421043	60.510582	7.3832407	0.23391554	0.0
"ALPHA"	1.0	2005.0	"Western Cape"	22.0	"KARIEGA"	8.0	1994	1	2.0100000000000002	0.6981347	2005-05-01	2005-08-23	2005-09-22	145.92752	0.0	1.4554186	17.101469	50.70809	64.570564	9.930539	0.23391554	0.0
"ALPHA"	1.0	2005.0	"Western Cape"	22.0	"KARIEGA"	8.0	1994	2	3.45	1.2383742	2005-05-01	2005-08-23	2005-09-22	145.92752	0.0	1.4554186	17.101469	50.70809	64.570564	9.930539	0.23391554	0.0
"ALPHA"	1.0	2005.0	"Western Cape"	22.0	"KARIEGA"	8.0	1994	3	3.2	1.1631508	2005-05-01	2005-08-23	2005-09-22	145.92752	0.0	1.4554186	17.101469	50.70809	64.570564	9.930539	0.23391554	0.0
"ALPHA"	1.0	2005.0	"Western Cape"	22.0	"KARIEGA"	8.0	1994	4	3.0500000000000003	1.1151416	2005-05-01	2005-08-23	2005-09-22	145.92752	0.0	1.4554186	17.101469	50.70809	64.570564	9.930539	0.23391554	0.0
"ALPHA"	1.0	2005.0	"Western Cape"	22.0	"KARIEGA"	8.0	1994	1	1.73	0.5481214	2005-05-15	2005-09-03	2005-10-03	145.82751	0.0	1.4554186	17.626348	50.916138	62.900455	7.8677263	0.23391554	0.0
