Africa Temperature Anomalies, January-December
Units: Degrees Celsius
Base Period: 1910-2000
Missing: -999
Year,Value
1910,-0.35
1911,-0.56
1912,-0.19
1913,-0.08
1914,0.00
1915,-0.02
1916,-0.41
1917,-0.47
1918,-0.64
1919,-0.11
1920,-0.40
1921,-0.46
1922,-0.18
1923,-0.37
1924,-0.07
1925,-0.27
1926,0.03
1927,-0.09
1928,-0.07
1929,-0.30
1930,-0.19
1931,0.29
1932,-0.13
1933,-0.03
1934,-0.11
1935,-0.18
1936,-0.10
1937,0.04
1938,-0.07
1939,-0.13
1940,0.12
1941,0.40
1942,0.21
1943,-0.26
1944,0.00
1945,-0.10
1946,-0.04
1947,0.14
1948,-0.26
1949,-0.01
1950,-0.32
1951,-0.15
1952,-0.02
1953,-0.20
1954,-0.30
1955,-0.13
1956,-0.39
1957,-0.17
1958,0.19
1959,-0.09
1960,0.06
1961,-0.20
1962,-0.03
1963,0.04
1964,-0.28
1965,-0.28
1966,0.11
1967,-0.33
1968,-0.23
1969,0.32
1970,0.13
1971,-0.24
1972,-0.02
1973,0.26
1974,-0.30
1975,-0.26
1976,-0.27
1977,0.13
1978,0.07
1979,0.34
1980,0.32
1981,0.10
1982,0.05
1983,0.41
1984,0.22
1985,0.22
1986,0.20
1987,0.77
1988,0.41
1989,0.04
1990,0.55
1991,0.28
1992,0.12
1993,0.41
1994,0.28
1995,0.54
1996,0.49
1997,0.48
1998,0.93
1999,0.67
2000,0.46
2001,0.68
2002,0.85
2003,0.93
2004,0.83
2005,1.04
2006,0.80
2007,0.80
2008,0.71
2009,0.97
2010,1.44
2011,0.80
2012,0.83
2013,0.93
2014,0.99
2015,1.17
2016,1.43
2017,1.11
2018,1.13
2019,1.29
2020,1.19
