"Category","Early years","Primary school","Secondary school","Further education (16 – 18)","Higher education","Primary school","Secondary school","Further education (16 – 18)","Higher education"
"1989 – 90",,2420.33,4052.12,5925.76,,,,,
"1990 – 91",,2406.46,3989.26,5751,9509.92,,,,
"1991 – 92",,2522.22,3979.9,5465.04,8894.64,,,,
"1992 – 93",,2622.03,4083.27,5337.95,8376.43,,,,
"1993 – 94",,2606.1,4057.67,5401.49,7974.6,,,,
"1994 – 95",,2677.29,3937.47,5242.63,7585.03,,,,
"1995 – 96",,2650.64,3773.37,4909.01,7212.93,,,,
"1996 – 97",,2602.89,3786.19,4750.14,6993.82,,,,
"1997 – 98",,2614.42,3826.55,4686.59,6972.61,,,,
"1998 – 99",,2782,3879.28,4635.25,6977.38,,,,
"1999 – 00",,3062.95,4077.59,4873.89,6983.39,,,,
"2000 – 01",,3398.87,4411.98,5076.84,7149.36,,,,
"2001 – 02",1676.79,3728.51,4762.49,5462.04,7258.78,,,,
"2002 – 03",1183.07,4217.99,5426.29,5522.05,7469.44,,,,
"2003 – 04",1790.4,4491.02,5829.25,5965.28,7566.69,,,,
"2004 – 05",1888.2,4608.3,6076.83,5771.57,7636.12,,,,
"2005 – 06",1942.67,4867.25,6376.2,6825.88,7589.19,,,,
"2006 – 07",2050.37,5008.59,6551.42,6817.36,9745.81,,,,
"2007 – 08",2030.78,5204.11,6833.34,6856.68,9869.31,,,,
"2008 – 09",2129.44,5310.19,6998.76,6713.44,9646.98,,,,
"2009 – 10",2129.56,5409.43,7126.86,6850.25,9341.48,,,,
"2010 – 11",2419.33,5398.85,7036.42,7420.75,9103.44,,,,
"2011 – 12",2833.04,5414.32,7334.33,7698.82,8841.84,,,,
"2012 – 13",3142.37,5446.17,7255.23,7144,11029.43,,,,
"2013 – 14",2925.57,5551.05,7292.06,6956.57,10833.08,,,,
"2014 – 15",2964.91,5675.26,7252.11,6814.43,10805.15,,,,
"2015 – 16",2982.07,5820.72,7188.16,6794.44,10882.85,,,,
"2016 – 17",3119.89,5770.41,6969.07,6712.4,10747.72,,,,
"2017 – 18",3929.8,5688.42,6755.32,6613.1,10761.28,,,,
"2018 – 19",4280.02,5701.8,6595,6599.56,10403.25,,,,
"2019 – 20",4150.46,5771.32,6551.49,6401.55,10143.31,,,,
"2020 – 21",4247.13,5870.95,6664.59,6199.91,9830.58,,,,
"2021 – 22",4430.46,5972.3,6779.64,6641.16,9581.99,5972.3,6779.64,6641.16,9581.99
"2022 – 23",,,,,,6063.96,6883.69,6816.12,9314.5
"2023 – 24",,,,,,6348.52,7206.72,6894.17,9191.28
"2024 – 25",,,,,,6506.61,7386.18,7076.77,9157.9
