,Quarter Ending,duration,value,order
0,30-Jun-16,0 - 6 weeks,59989.0,0 - 6 weeks
1,30-Jun-16,> 6 - 9 weeks,19437.0,> 6 - 9 weeks
2,30-Jun-16,> 9 - 13 weeks,0.0,> 9 - 13 weeks
3,30-Jun-16,> 9 - 12 weeks,16879.0,> 9 - 12 weeks
4,30-Jun-16,> 12-15 weeks,11209.0,> 12-15 weeks
5,30-Jun-16,> 15-18 weeks,13221.0,> 15-18 weeks
6,30-Jun-16,>18-26 weeks,26378.0,>18-26 weeks
7,30-Jun-16,>26-39 weeks,28410.0,>26-39 weeks
8,30-Jun-16,>39-52 weeks,19900.0,>39-52 weeks
9,30-Jun-16,>52-65 weeks,12669.0,>52-65 weeks
10,30-Jun-16,>65-78 weeks,8067.0,>65-78 weeks
11,30-Jun-16,>78-91 weeks,4440.0,>78-91 weeks
12,30-Jun-16,>91-104 weeks,2941.0,>91-104 weeks
13,30-Jun-16,>104 weeks,2053.0,>104 weeks
14,30-Jun-16,>18 weeks,0.0,>18 weeks
15,30-Jun-16,>18-52 weeks,74688.0,>18-52 weeks
16,30-Jun-16,> 13 - 26 weeks,0.0,> 13 - 26 weeks
17,30-Jun-16,>52 weeks,30170.0,2
18,30-Jun-16,> 26 weeks,0.0,> 26 weeks
19,30-Jun-16,Total Waiting,225593.0,Total Waiting
20,30-Jun-16,<9 weeks,105868.0,0
21,30-Jun-16,>9-52 weeks,89555.0,1
22,30-Jun-17,0 - 6 weeks,57156.0,0 - 6 weeks
23,30-Jun-17,> 6 - 9 weeks,18006.0,> 6 - 9 weeks
24,30-Jun-17,> 9 - 13 weeks,0.0,> 9 - 13 weeks
25,30-Jun-17,> 9 - 12 weeks,13077.0,> 9 - 12 weeks
26,30-Jun-17,> 12-15 weeks,13571.0,> 12-15 weeks
27,30-Jun-17,> 15-18 weeks,12693.0,> 15-18 weeks
28,30-Jun-17,>18-26 weeks,26845.0,>18-26 weeks
29,30-Jun-17,>26-39 weeks,33490.0,>26-39 weeks
30,30-Jun-17,>39-52 weeks,25539.0,>39-52 weeks
31,30-Jun-17,>52-65 weeks,22019.0,>52-65 weeks
32,30-Jun-17,>65-78 weeks,14370.0,>65-78 weeks
33,30-Jun-17,>78-91 weeks,8876.0,>78-91 weeks
34,30-Jun-17,>91-104 weeks,6182.0,>91-104 weeks
35,30-Jun-17,>104 weeks,12627.0,>104 weeks
36,30-Jun-17,>18 weeks,0.0,>18 weeks
37,30-Jun-17,>18-52 weeks,85874.0,>18-52 weeks
38,30-Jun-17,> 13 - 26 weeks,0.0,> 13 - 26 weeks
39,30-Jun-17,>52 weeks,64074.0,2
40,30-Jun-17,> 26 weeks,0.0,> 26 weeks
41,30-Jun-17,Total Waiting,264451.0,Total Waiting
42,30-Jun-17,<9 weeks,100548.0,0
43,30-Jun-17,>9-52 weeks,99829.0,1
44,30-Jun-18,0 - 6 weeks,56113.0,0 - 6 weeks
45,30-Jun-18,> 6 - 9 weeks,17690.0,> 6 - 9 weeks
46,30-Jun-18,> 9 - 13 weeks,0.0,> 9 - 13 weeks
47,30-Jun-18,> 9 - 12 weeks,15129.0,> 9 - 12 weeks
