Quarter Ending,HSC Trust,Specialty,Programme of Care,0 - 6 weeks,> 6 - 9 weeks,> 9 - 13 weeks,> 9 - 12 weeks,> 12-15 weeks,> 15-18 weeks,>18 weeks,> 13 - 26 weeks1,> 26 weeks,Total Waiting ,,,,,,,,,,,
30-Jun-2010,Belfast,T & O Surgery,Acute Services,549,52,26,--,--,--,--,0,0,627,,,,,,,,,,,
30-Jun-2010,Belfast,Ophthalmology,Acute Services,72,24,24,--,--,--,--,1,0,121,,,,,,,,,,,
30-Jun-2010,Belfast,Dermatology,Acute Services,90,5,0,--,--,--,--,0,0,95,,,,,,,,,,,
30-Jun-2010,Northern,T & O Surgery,Acute Services,798,97,0,--,--,--,--,0,0,895,,,,,,,,,,,
30-Jun-2010,Northern,ENT,Acute Services,357,149,94,--,--,--,--,3,0,603,,,,,,,,,,,
30-Jun-2010,Northern,Ophthalmology,Acute Services,34,3,0,--,--,--,--,0,0,37,,,,,,,,,,,
30-Jun-2010,Northern,Dermatology,Acute Services,161,17,9,--,--,--,--,0,0,187,,,,,,,,,,,
30-Jun-2010,South Eastern,T & O Surgery,Acute Services,642,66,1,--,--,--,--,0,1,710,,,,,,,,,,,
30-Jun-2010,South Eastern,ENT,Acute Services,135,8,0,--,--,--,--,0,0,143,,,,,,,,,,,
30-Jun-2010,South Eastern,Ophthalmology,Acute Services,30,0,0,--,--,--,--,0,0,30,,,,,,,,,,,
30-Jun-2010,South Eastern,Dermatology,Acute Services,94,2,0,--,--,--,--,109,0,205,,,,,,,,,,,
30-Jun-2010,Southern,T & O Surgery,Acute Services,648,173,0,--,--,--,--,0,0,821,,,,,,,,,,,
30-Jun-2010,Southern,Dermatology,Acute Services,141,61,0,--,--,--,--,0,0,202,,,,,,,,,,,
30-Jun-2010,Southern,Urology,Acute Services,94,73,90,--,--,--,--,192,0,449,,,,,,,,,,,
30-Jun-2010,Western,T & O Surgery,Acute Services,906,161,2,--,--,--,--,0,0,"1,069",,,,,,,,,,,
30-Jun-2010,Western,ENT,Acute Services,129,1,0,--,--,--,--,0,0,130,,,,,,,,,,,
30-Jun-2010,Western,Ophthalmology,Acute Services,20,0,0,--,--,--,--,0,0,20,,,,,,,,,,,
30-Sep-2010,Belfast,T & O Surgery,Acute Services,541,134,1,--,--,--,--,0,0,676,,,,,,,,,,,
