,code,continent,country,internal_conf_icrg_g_21_20 (in %),log_totaldeathspermil2021_2020,internal_conf_icrg_21minus20,general_internalconf_g
2,AGO,Africa,Angola,0.9200000166893005,3.954315900802612,0.03999996185302734,0
3,ALB,Europe,Albania,-7.949999809265137,7.020869731903076,-0.2899999618530273,1
5,ARE,Asia,United Arab Emirates,-12.78999996185303,5.378005981445313,-0.4499998092651367,1
6,ARG,South America,Argentina,7.449999809265137,7.851337909698486,0.2899999618530273,0
7,ARM,Asia,Armenia,3.059999942779541,7.895760059356689,0.130000114440918,0
9,AUS,Oceania,Australia,7.25,4.470037460327148,0.1999998092651367,1
10,AUT,Europe,Austria,2.380000114440918,7.325557231903076,0.07999992370605469,1
11,AZE,Asia,Azerbaijan,2.380000114440918,6.706299781799316,0.07999992370605469,1
13,BEL,Europe,Belgium,2.779999971389771,7.797923564910889,0.07999992370605469,1
15,BFA,Africa,Burkina Faso,-4.170000076293945,2.693951368331909,-0.2899999618530273,1
16,BGD,Asia,Bangladesh,-2.940000057220459,5.128714561462402,-0.1700000762939453,1
17,BGR,Europe,Bulgaria,13.51000022888184,8.40925407409668,0.4200000762939453,1
18,BHR,Asia,Bahrain,-20.48999977111816,6.681293487548828,-1.039999961853027,1
19,BHS,North America,"Bahamas, The",-3.230000019073486,7.499113082885742,-0.07999992370605469,0
21,BLR,Europe,Belarus,-6.860000133514404,6.381325244903564,-0.2899999618530273,1
24,BOL,South America,Bolivia,-7.0,7.416468620300293,-0.2899999618530273,0
25,BRA,South America,Brazil,13.10000038146973,7.97045373916626,0.4600000381469727,1
27,BRN,Asia,Brunei Darussalam,0.0,5.402451992034912,0.0,1
29,BWA,Africa,Botswana,0.0,6.927077293395996,0.0,1
31,CAN,North America,Canada,0.0,6.682070732116699,0.0,1
32,CHE,Europe,Switzerland,4.170000076293945,7.245483875274658,0.03999996185302734,1
33,CHL,South America,Chile,-6.900000095367432,7.61870813369751,-0.25,1
34,CHN,Asia,China,-3.029999971389771,1.166270971298218,-0.130000114440918,1
35,CIV,Africa,Cote d'Ivoire,-10.5600004196167,3.272985219955444,-0.630000114440918,1
36,CMR,Africa,Cameroon,4.400000095367432,4.219360828399658,0.2899999618530273,1
37,COD,Africa,"Congo, Dem. Rep.",4.260000228881836,2.568021535873413,0.25,0
38,COG,Africa,"Congo, Rep.",-1.029999971389771,4.172539234161377,-0.03999996185302734,1
39,COL,South America,Colombia,6.079999923706055,7.837818622589111,0.369999885559082,1
42,CRI,North America,Costa Rica,-5.449999809265137,7.265995979309082,-0.119999885559082,1
43,CUB,North America,Cuba,3.230000019073486,6.600305557250977,0.09000015258789062,0
46,CYP,Europe,Cyprus,11.67000007629395,6.568148136138916,0.2899999618530273,1
47,CZE,Europe,Czech Republic,-1.539999961853027,8.122314453125,-0.03999996185302734,1
48,DEU,Europe,Germany,-6.019999980926514,7.197615146636963,-0.2100000381469727,1
51,DNK,Europe,Denmark,2.329999923706055,6.331483840942383,0.09000015258789062,1
52,DOM,North America,Dominican Republic,-4.0,5.960283279418945,-0.07999992370605469,1
53,DZA,Africa,Algeria,2.990000009536743,4.946345806121826,0.1700000762939453,1
54,ECU,South America,Ecuador,-3.880000114440918,7.540531158447266,-0.1599998474121094,1
55,EGY,Africa,"Egypt, Arab Rep.",0.0,5.340610504150391,0.0,1
57,ESP,Europe,Spain,-7.289999961853027,7.55621862411499,-0.2899999618530273,1
58,EST,Europe,Estonia,6.25,7.284759044647217,0.130000114440918,1
59,ETH,Africa,Ethiopia,25.54999923706055,4.074991703033447,1.460000038146973,0
60,FIN,Europe,Finland,5.409999847412109,5.641517162322998,0.1700000762939453,1
62,FRA,Europe,France,15.22000026702881,7.515491485595703,0.5900001525878906,1
65,GAB,Africa,Gabon,-13.78999996185303,4.839293003082275,-0.5,1
66,GBR,Europe,United Kingdom,2.079999923706055,7.687387466430664,0.07999992370605469,1
68,GHA,Africa,Ghana,5.260000228881836,3.708927154541016,0.1599998474121094,1
70,GIN,Africa,Guinea,-5.510000228881836,3.366260766983032,-0.2899999618530273,1
71,GMB,Africa,"Gambia, The",1.159999966621399,4.926673889160156,0.05000019073486328,1
72,GNB,Africa,Guinea-Bissau,-4.420000076293945,4.303118705749512,-0.2100000381469727,0
74,GRC,Europe,Greece,9.720000267028809,7.6032395362854,0.2899999618530273,1
77,GTM,North America,Guatemala,17.32999992370605,6.782849311828613,0.5399999618530273,1
78,GUY,South America,Guyana,4.71999979019165,7.195652484893799,0.2100000381469727,0
79,HKG,Asia,"Hong Kong SAR, China",-14.60999965667725,3.339322090148926,-0.5399999618530273,1
80,HND,North America,Honduras,-10.26000022888184,6.943865299224854,-0.3299999237060547,1
81,HRV,Europe,Croatia,-12.5,8.03001594543457,-0.369999885559082,1
82,HTI,North America,Haiti,7.840000152587891,4.195245265960693,0.3299999237060547,1
83,HUN,Europe,Hungary,11.67000007629395,8.310759544372559,0.2899999618530273,1
84,IDN,Asia,Indonesia,-8.199999809265137,6.25651741027832,-0.4099998474121094,1
86,IND,Asia,India,-4.760000228881836,5.845137119293213,-0.25,1
87,IRL,Europe,Ireland,8.329999923706055,7.078729152679443,0.25,1
88,IRN,Asia,"Iran, Islamic Rep.",-0.9399999976158142,7.344576835632324,-0.03999996185302734,0
89,IRQ,Asia,Iraq,6.820000171661377,6.374428272247314,0.380000114440918,1
90,ISL,Europe,Iceland,0.0,4.60846471786499,0.0,1
91,ISR,Asia,Israel,0.8899999856948853,6.788070678710938,0.03999996185302734,1
92,ITA,Europe,Italy,0.0,7.730214595794678,0.0,1
93,JAM,North America,Jamaica,0.0,6.723459720611572,0.0,1
94,JOR,Asia,Jordan,0.0,7.11651611328125,0.0,1
95,JPN,Asia,Japan,0.0,4.982852935791016,0.0,1
96,KAZ,Asia,Kazakhstan,-4.599999904632568,6.865609645843506,-0.1700000762939453,1
97,KEN,Africa,Kenya,1.570000052452087,4.583026885986328,0.09000015258789062,1
102,KOR,Asia,"Korea, Rep.",0.0,4.697202205657959,0.0,1
103,KWT,Asia,Kuwait,-3.0,6.345934391021729,-0.130000114440918,1
105,LBN,Asia,Lebanon,-1.279999971389771,7.20573902130127,-0.07999992370605469,1
106,LBR,Africa,Liberia,-21.8799991607666,4.014579772949219,-1.159999847412109,0
107,LBY,Africa,Libya,-14.97000026702881,6.71001148223877,-0.9200000762939453,0
110,LKA,Asia,Sri Lanka,-5.829999923706055,6.546469688415527,-0.25,1
112,LTU,Europe,Lithuania,-1.330000042915344,7.917987823486328,-0.05000019073486328,1
113,LUX,Europe,Luxembourg,16.67000007629395,7.273349285125732,0.25,1
114,LVA,Europe,Latvia,3.329999923706055,7.802969455718994,0.07999992370605469,1
116,MAR,Africa,Morocco,-0.7599999904632568,5.985496997833252,-0.03999996185302734,1
118,MDA,Europe,Moldova,0.0,7.845184803009033,0.0,1
119,MDG,Africa,Madagascar,-2.170000076293945,3.58712363243103,-0.07999992370605469,1
121,MEX,North America,Mexico,-2.609999895095825,7.740081787109375,-0.119999885559082,1
124,MLI,Africa,Mali,-1.269999980926514,3.454738140106201,-0.07999992370605469,1
125,MLT,Europe,Malta,-3.230000019073486,6.826870441436768,-0.07999992370605469,1
126,MMR,Asia,Myanmar,12.59000015258789,5.862408638000488,0.75,0
128,MNG,Asia,Mongolia,25.0,6.427216529846191,0.5399999618530273,1
129,MOZ,Africa,Mozambique,10.78999996185303,4.133084297180176,0.630000114440918,0
132,MWI,Africa,Malawi,-15.56999969482422,4.790154933929443,-0.7899999618530273,1
133,MYS,Asia,Malaysia,5.409999847412109,6.867630958557129,0.1700000762939453,1
134,NAM,Africa,Namibia,5.260000228881836,7.247180461883545,0.119999885559082,0
136,NER,Africa,Niger,-1.350000023841858,2.392425775527954,-0.09000015258789062,0
137,NGA,Africa,Nigeria,-1.279999971389771,2.662355184555054,-0.07999992370605469,0
138,NIC,North America,Nicaragua,-3.230000019073486,3.477540969848633,-0.07999992370605469,1
139,NLD,Europe,Netherlands,6.940000057220459,7.108890533447266,0.2100000381469727,1
140,NOR,Europe,Norway,0.0,5.47545862197876,0.0,1
143,NZL,Oceania,New Zealand,22.21999931335449,2.297572612762451,0.3300000429153442,1
144,OMN,Asia,Oman,-3.450000047683716,6.669497966766357,-0.130000114440918,1
145,PAK,Asia,Pakistan,9.489999771118164,4.855773448944092,0.5399999618530273,1
146,PAN,North America,Panama,1.639999985694885,7.435603141784668,0.03999996185302734,1
