,a,b,c
0,2007-Q1,Seed,24.536729420450413
1,2007-Q1,Early stage venture,35.127353266888115
2,2007-Q1, Late stage venture,9.789590254706546
3,2007-Q2,Seed,6.109265411591044
4,2007-Q2,Early stage venture,17.85160575858247
5,2007-Q2, Late stage venture,5.182724252491727
6,2007-Q3,Seed,14.747139165743867
7,2007-Q3,Early stage venture,22.458471760797366
8,2007-Q3, Late stage venture,6.334440753045378
9,2007-Q4,Seed,14.747139165743867
10,2007-Q4,Early stage venture,20.155038759689916
11,2007-Q4, Late stage venture,5.758582502768547
12,2008-Q1,Seed,34.90217792543378
13,2008-Q1,Early stage venture,34.55149501661129
14,2008-Q1, Late stage venture,8.637873757954921
15,2008-Q2,Seed,18.586194167589596
16,2008-Q2,Early stage venture,24.953857511997015
17,2008-Q2, Late stage venture,8.637873754152821
18,2008-Q3,Seed,17.050572166851317
19,2008-Q3,Early stage venture,20.730897009966746
20,2008-Q3, Late stage venture,5.758582502768547
21,2008-Q4,Seed,11.867847914359594
22,2008-Q4,Early stage venture,11.517165005537095
23,2008-Q4, Late stage venture,5.758582502768551
24,2009-Q1,Seed,37.781469176818064
25,2009-Q1,Early stage venture,11.517165005537088
26,2009-Q1, Late stage venture,5.758582502768554
27,2009-Q2,Seed,22.905131044666007
28,2009-Q2,Early stage venture,13.43669250645992
29,2009-Q2, Late stage venture,4.318936877076403
30,2009-Q3,Seed,26.26430417128097
31,2009-Q3,Early stage venture,14.396456256921361
32,2009-Q3, Late stage venture,5.278700627537873
33,2009-Q4,Seed,19.92986341823559
34,2009-Q4,Early stage venture,23.61018826135102
35,2009-Q4, Late stage venture,5.75858250276854
36,2010-Q1,Seed,52.17792543373943
37,2010-Q1,Early stage venture,23.03433001107419
38,2010-Q1, Late stage venture,8.157991878922132
39,2010-Q2,Seed,37.781469176818064
40,2010-Q2,Early stage venture,20.155038759689923
41,2010-Q2, Late stage venture,9.117755629383502
42,2010-Q3,Seed,37.781469176818064
43,2010-Q3,Early stage venture,26.873385012919925
44,2010-Q3, Late stage venture,1.9195275002620065
45,2010-Q4,Seed,40.66076042820233
46,2010-Q4,Early stage venture,19.579180509413106
47,2010-Q4, Late stage venture,0.7600590623845633
48,2011-Q1,Seed,72.33296419342936
49,2011-Q1,Early stage venture,20.1550387596899
50,2011-Q1, Late stage venture,0.5119970468807367
51,2011-Q2,Seed,68.30195644149134
52,2011-Q2,Early stage venture,18.427464008859374
53,2011-Q2, Late stage venture,5.758582502768547
54,2011-Q3,Seed,83.27427094868962
55,2011-Q3,Early stage venture,28.792912513842737
56,2011-Q3, Late stage venture,6.334440753045371
57,2011-Q4,Seed,92.48800295311926
