Region,Country,y1,y2,y3
Yorkshire and the Humber,England,7.141403865717191,11.094988809272548,8.586594632809831
West Midlands,England,8.056968463886063,11.182782539652386,8.749799218289875
Wales,Wales,3.4833942731011214,10.507524348560501,7.897478083026288
South West,England,9.380014865043025,11.33213699098598,8.915260618977626
South East,England,15.573199398259373,11.956019737921572,9.411207275235308
Scotland,Scotland,6.195487405877275,10.928420384798507,8.399877717461703
Northern Ireland,Northern Ireland,2.5276790900889528,10.337986863262902,7.615956834954842
North West,England,9.368258700108981,11.311791111026668,8.935606498936934
North East,England,2.743649067867055,10.431126548034179,7.698687535298719
London,England,18.980347202466174,12.18568522839603,9.419796990260574
East of England,England,10.003897611978621,11.429790306172675,9.027836549007144
East Midlands,England,6.6163834421152785,11.017483984959938,8.523300177724195
