,Year,t
0,1850,-0.43
1,1851,-0.24
2,1852,-0.24
3,1853,-0.27999999999999997
4,1854,-0.3
5,1855,-0.31
6,1856,-0.32999999999999996
7,1857,-0.48
8,1858,-0.39999999999999997
9,1859,-0.29
10,1860,-0.39999999999999997
11,1861,-0.43999999999999995
12,1862,-0.55
13,1863,-0.35
14,1864,-0.48
15,1865,-0.33999999999999997
16,1866,-0.35
17,1867,-0.37
18,1868,-0.36
19,1869,-0.32999999999999996
20,1870,-0.33999999999999997
21,1871,-0.38
22,1872,-0.33999999999999997
23,1873,-0.35
24,1874,-0.38
25,1875,-0.38999999999999996
26,1876,-0.43
27,1877,-0.10999999999999999
28,1878,-0.019999999999999962
29,1879,-0.31
30,1880,-0.32999999999999996
31,1881,-0.24
32,1882,-0.31
33,1883,-0.36
34,1884,-0.5
35,1885,-0.48
36,1886,-0.43
37,1887,-0.51
38,1888,-0.38999999999999996
39,1889,-0.26
40,1890,-0.52
41,1891,-0.41
42,1892,-0.52
43,1893,-0.5
44,1894,-0.49
45,1895,-0.45999999999999996
46,1896,-0.29
47,1897,-0.26999999999999996
48,1898,-0.5
49,1899,-0.37
50,1900,-0.24
51,1901,-0.3
52,1902,-0.44999999999999996
53,1903,-0.54
54,1904,-0.61
55,1905,-0.42
56,1906,-0.32999999999999996
57,1907,-0.51
58,1908,-0.52
59,1909,-0.55
60,1910,-0.54
61,1911,-0.55
62,1912,-0.49
63,1913,-0.48
64,1914,-0.26999999999999996
65,1915,-0.19999999999999998
66,1916,-0.43
67,1917,-0.55
68,1918,-0.43
69,1919,-0.33999999999999997
70,1920,-0.31
71,1921,-0.24999999999999997
72,1922,-0.35
73,1923,-0.32999999999999996
74,1924,-0.31999999999999995
75,1925,-0.29
76,1926,-0.12999999999999998
77,1927,-0.24
78,1928,-0.21999999999999997
79,1929,-0.39999999999999997
80,1930,-0.18999999999999997
81,1931,-0.10999999999999999
82,1932,-0.15999999999999998
83,1933,-0.32999999999999996
84,1934,-0.17999999999999997
85,1935,-0.21999999999999997
86,1936,-0.17999999999999997
87,1937,-0.02999999999999997
88,1938,-0.019999999999999962
89,1939,-0.04999999999999999
90,1940,0.07
91,1941,0.030000000000000027
92,1942,-0.009999999999999953
93,1943,0.0
94,1944,0.13
95,1945,0.030000000000000027
96,1946,-0.12999999999999998
97,1947,-0.09999999999999998
98,1948,-0.12999999999999998
99,1949,-0.14999999999999997
100,1950,-0.24
101,1951,-0.06999999999999995
102,1952,0.010000000000000009
103,1953,0.07
104,1954,-0.12999999999999998
105,1955,-0.20999999999999996
106,1956,-0.26999999999999996
107,1957,-0.04999999999999999
108,1958,-0.02999999999999997
109,1959,-0.06
110,1960,-0.12999999999999998
111,1961,-0.02999999999999997
112,1962,-0.06999999999999995
113,1963,-0.04999999999999999
114,1964,-0.31999999999999995
115,1965,-0.20999999999999996
116,1966,-0.15999999999999998
117,1967,-0.12999999999999998
118,1968,-0.17999999999999997
119,1969,-0.03999999999999998
120,1970,-0.08999999999999997
121,1971,-0.21999999999999997
122,1972,-0.09999999999999998
123,1973,0.040000000000000036
124,1974,-0.17999999999999997
125,1975,-0.11999999999999997
126,1976,-0.22999999999999998
127,1977,0.09000000000000002
128,1978,0.0
129,1979,0.08000000000000002
130,1980,0.19000000000000006
131,1981,0.24
132,1982,0.020000000000000018
133,1983,0.21000000000000008
134,1984,0.040000000000000036
135,1985,0.040000000000000036
136,1986,0.09000000000000002
137,1987,0.22999999999999998
138,1988,0.27
139,1989,0.17000000000000004
140,1990,0.35
141,1991,0.33000000000000007
142,1992,0.12
143,1993,0.16000000000000003
144,1994,0.21999999999999997
145,1995,0.37
146,1996,0.27
147,1997,0.41000000000000003
148,1998,0.5700000000000001
149,1999,0.31000000000000005
150,2000,0.32000000000000006
151,2001,0.48
152,2002,0.53
153,2003,0.53
154,2004,0.4600000000000001
155,2005,0.6
156,2006,0.56
157,2007,0.5800000000000001
158,2008,0.4600000000000001
159,2009,0.59
160,2010,0.67
161,2011,0.53
162,2012,0.5700000000000001
163,2013,0.61
164,2014,0.66
165,2015,0.82
166,2016,0.92
167,2017,0.84
168,2018,0.7500000000000001
169,2019,0.88
170,2020,0.91
171,2021,0.7500000000000001
172,2022,0.7899999999999999
173,2023,1.0899999999999999
174,2024,1.17
