,Year,t
0,1990,9705.981267365953
1,1991,9669.677060465103
2,1992,9665.89025997131
3,1993,9675.232259517934
4,1994,9799.764965222435
5,1995,9957.172695324161
6,1996,10179.565344275325
7,1997,10424.11245832852
8,1998,10532.457767112901
9,1999,10754.89530200409
10,2000,11114.642436184346
11,2001,11221.662909758235
12,2002,11374.402566666202
13,2003,11644.923452783632
14,2004,12081.549998791776
15,2005,12470.712171310674
16,2006,12941.839713181518
17,2007,13436.966848559998
18,2008,13631.417667706832
19,2009,13368.479671300473
20,2010,13877.425361639156
21,2011,14241.793507168666
22,2012,14516.157507522792
23,2013,14801.332172906106
24,2014,15120.730322445825
25,2015,15442.98601187909
26,2016,15762.038310804879
27,2017,16170.19377692809
28,2018,16573.992655675596
29,2019,16864.89457603522
30,2020,16204.169106776857
31,2021,17055.357429151783
32,2022,17485.934316316358
