,Year,t
0,1990,56232.0260800298
1,1991,55025.01130805349
2,1992,54397.88076109329
3,1993,53836.80885279348
4,1994,54087.51955184839
5,1995,53985.64530644211
6,1996,54001.0531544987
7,1997,55089.32728547733
8,1998,56590.11737607016
9,1999,57257.31821892619
10,2000,59190.415344883826
11,2001,59743.81592784615
12,2002,59250.16446979397
13,2003,58793.14829850862
14,2004,59967.913041166816
15,2005,61223.39323735211
16,2006,63318.79488654057
17,2007,65213.18053670672
18,2008,66197.86747388111
19,2009,63873.952372012005
20,2010,65262.34097760472
21,2011,65710.91506700285
22,2012,65783.58910772545
23,2013,66196.94731256945
24,2014,66930.86862711259
25,2015,67261.59400938566
26,2016,67907.39387735435
27,2017,68193.50549440944
28,2018,69629.33661011346
29,2019,69923.9312089954
30,2020,67765.88142902593
31,2021,70097.36875288289
32,2022,70999.6879113108
