,Country,t
0,ABW,33155.243239260184
1,AFE,4343.646773874382
2,AFG,8807.727477069577
3,AFW,8545.679517593207
4,AGO,10172.523712168511
5,ALB,8596.917405037408
6,AND,0.17309579074945752
7,ARB,3427.3920322366644
8,ARE,3341.2689554068834
9,ARG,5780.219192526579
10,ARM,5554.866413294757
11,ASM,1.0
12,ATG,3668.2066280206536
13,AUS,3299.8701410275335
14,AUT,7838.262118712025
15,AZE,4038.651715323679
16,BDI,12184.074359080772
17,BEL,6621.704450771309
18,BEN,5048.260508008413
19,BFA,8258.22314483581
20,BGD,10949.575057410735
21,BGR,4565.976586199242
22,BHR,2183.856560483498
23,BHS,4266.690036935667
24,BIH,2310.9592638551258
25,BLR,3293.08659398748
26,BLZ,4424.262768887361
27,BMU,76117.80474387266
28,BOL,4988.703681502122
29,BRA,7263.626418274858
30,BRB,3535.52703325486
31,BRN,2838.113107919112
32,BTN,7870.614924763533
33,BWA,5984.28933449285
34,CAF,19144.655184545332
35,CAN,3395.873548119222
36,CEB,5401.584592486796
37,CHE,16765.13129147083
38,CHI,1.0
39,CHL,5226.339232214487
40,CHN,2101.124241886581
41,CIV,12531.553078136996
42,CMR,9780.36337211384
43,COD,32041.682855284984
44,COG,2697.8134933195834
45,COL,8605.712348396582
46,COM,7915.199360363746
47,CPV,5847.456728732768
48,CRI,14542.978862289294
49,CSS,3410.306133120632
50,CUB,0.46451787666784494
51,CUW,19607.431875924365
52,CYM,67530.69380004944
53,CYP,7212.088727319199
54,CZE,4653.166920664898
55,DEU,7145.244712830343
56,DJI,12117.090021661963
57,DMA,4535.4024083092845
58,DNK,11834.53180080301
59,DOM,8061.039056238479
60,DZA,2916.653918726003
61,EAP,2416.8258775790587
62,EAR,4428.5304363905
63,EAS,2829.459646093187
64,ECA,3024.927860442961
65,ECS,5478.673320231885
66,ECU,5290.715479057478
67,EGY,6113.64094325396
68,EMU,8056.688283694576
69,ERI,5.033788221970555
70,ESP,8409.03011862471
71,EST,6721.726840047176
72,ETH,14590.493686111697
73,EUU,7594.312683542836
74,FCS,5621.386688143405
75,FIN,7210.071718198157
76,FJI,9817.349894594996
77,FRA,10681.975630094295
78,FRO,1.0
79,FSM,3603.8443990278956
80,GAB,5958.705015453531
81,GBR,9071.882408737936
82,GEO,5069.982107127011
83,GHA,8730.52934934757
84,GIB,1.0
85,GIN,7577.903106254213
86,GMB,8599.434759060614
87,GNB,11051.091326811007
88,GNQ,5551.677989487067
89,GRC,5685.439366295893
90,GRD,5021.030955911896
91,GRL,1.0
92,GTM,8385.690945187338
93,GUM,1.0
94,GUY,5307.16527440687
95,HIC,5445.735361095411
96,HKG,55892.11097470936
97,HND,5760.202494747984
98,HPC,9300.20353138092
99,HRV,6979.522060452894
100,HTI,10466.193088836944
101,HUN,6801.929874327298
102,IBD,3030.7976311929324
103,IBT,3211.138990569348
104,IDA,7387.320296956406
105,IDB,6120.505680503257
106,IDN,5558.675898712841
107,IDX,8758.730635407497
108,IMN,1.0
109,IND,3916.038887424463
110,INX,1.0
111,IRL,13497.899388950142
112,IRN,2043.2740860552753
113,IRQ,2302.89145164283
114,ISL,13082.164707716734
115,ISR,6253.635155099163
116,ITA,8260.4240934331
117,JAM,4450.5473670496685
118,JOR,4785.3978198626355
119,JPN,4979.094711075382
120,KAZ,2244.829547300906
121,KEN,12022.488131708358
122,KGZ,3424.8412173507672
123,KHM,3759.006648868415
124,KIR,4216.311806948094
125,KNA,5506.9027822413345
126,KOR,3857.747754914465
127,KWT,2074.796356163989
128,LAC,6769.405153402691
129,LAO,2963.0187173476143
130,LBN,3636.7527568697674
131,LBR,5968.920471158664
132,LBY,2337.4913576822855
133,LCA,4183.248793334393
134,LCN,6745.196508382076
135,LDC,9381.312149727182
136,LIC,7157.463419248674
137,LIE,0.2729370870788677
138,LKA,12982.500366587848
139,LMC,4232.679589554721
140,LMY,3143.6068820732307
141,LSO,2227.9531800588074
142,LTE,2595.0662528058115
143,LTU,8882.957067391353
144,LUX,8970.998980560384
145,LVA,8385.012009730588
146,MAC,55158.712729193634
147,MAF,1.0
148,MAR,4149.51092810356
149,MCO,1.0
150,MDA,3625.9047065991626
151,MDG,14765.22806312828
152,MDV,4747.878698646432
153,MEA,3095.2079616258143
154,MEX,6027.424834508157
155,MHL,2253.9524139954137
156,MIC,3112.193960301478
157,MKD,4811.7439340660085
158,MLI,10859.906694256855
159,MLT,13121.807340168076
160,MMR,7801.998554200599
161,MNA,3076.2844550976106
162,MNE,4488.925122871148
163,MNG,1814.2471079103952
164,MNP,1.0
165,MOZ,5536.825183570322
166,MRT,6214.915816082705
167,MUS,6880.964098735496
168,MWI,17600.059037952607
169,MYS,3498.370691211921
170,NAC,4486.592935887285
171,NAM,5693.647863842201
172,NCL,1.0
173,NER,13446.319273653266
174,NGA,9051.15299192837
175,NIC,7711.824836101461
176,NLD,7264.21930871181
177,NOR,9483.331126864969
178,NPL,7385.261208522656
179,NRU,3216.4427907625363
180,NZL,6825.760704157128
181,OED,5514.468346247126
182,OMN,2116.7679984317006
183,OSS,3736.273143695795
184,PAK,6175.466349575497
185,PAN,11923.358419546868
186,PER,7999.153161643309
187,PHL,6533.911483310812
188,PLW,1812.2555099146332
189,PNG,6642.967019278221
190,POL,4417.583438987266
191,PRE,7000.417019780202
192,PRI,32437.96514791344
193,PRK,0.49330374238136293
194,PRT,8457.623977222871
195,PRY,11635.002270413188
196,PSE,5402.538772756502
197,PSS,7349.287756181314
198,PST,5456.253957270688
199,PYF,1.0
200,QAT,2805.7967001886154
201,ROU,8152.683388905902
202,RUS,2366.9758581988362
203,RWA,19658.935220052634
204,SAS,4438.245279714255
205,SAU,3138.16565957144
206,SDN,8280.302949710456
207,SEN,5208.431608923935
208,SGP,12347.340558041604
209,SLB,7642.95116341525
210,SLE,12463.739513306306
211,SLV,8186.903914446557
212,SMR,56364.21416319121
213,SOM,28231.584396375758
214,SRB,2719.8837880988945
215,SSA,5534.779000220929
216,SSD,6.086088827681183
217,SSF,5533.838728414817
218,SST,3723.278498096957
219,STP,6289.103774559836
220,SUR,3577.3407784760025
221,SVK,5820.631374924398
222,SVN,6251.0151207006365
223,SWE,15828.385466974316
224,SWZ,8528.459844193996
225,SXM,30850.916579702127
226,SYC,4348.168793835922
227,SYR,0.8231790874434309
228,TCA,18474.86599487687
229,TCD,15804.047154682125
230,TEA,2423.8342701961365
231,TEC,3276.241310664011
232,TGO,7215.700566789065
233,THA,4540.761232345117
234,TJK,3735.876507076559
235,TKM,1401.1704742588597
236,TLA,6678.30428112594
237,TLS,14152.543143379384
238,TMN,3057.721284974153
239,TON,5665.597263131247
240,TSA,4438.245279714255
241,TSS,5533.838728414818
242,TTO,2302.9478932107636
