Year,HadCRUT5 (degC),HadCRUT5 uncertainty
1850,-0.08,0.172
1851,0.11,0.179
1852,0.11,0.180
1853,0.07,0.160
1854,0.05,0.141
1855,0.04,0.142
1856,0.02,0.148
1857,-0.13,0.149
1858,-0.05,0.148
1859,0.06,0.143
1860,-0.05,0.149
1861,-0.09,0.168
1862,-0.20,0.167
1863,-0.00,0.190
1864,-0.13,0.183
1865,0.01,0.192
1866,-0.00,0.181
1867,-0.02,0.196
1868,-0.01,0.178
1869,0.02,0.160
1870,0.01,0.141
1871,-0.03,0.146
1872,0.01,0.135
1873,-0.00,0.131
1874,-0.03,0.134
1875,-0.04,0.138
1876,-0.08,0.139
1877,0.24,0.129
1878,0.33,0.120
1879,0.04,0.130
1880,0.02,0.124
1881,0.11,0.126
1882,0.04,0.125
1883,-0.01,0.114
1884,-0.15,0.110
1885,-0.13,0.112
1886,-0.08,0.102
1887,-0.16,0.118
1888,-0.04,0.114
1889,0.09,0.122
1890,-0.17,0.126
1891,-0.06,0.136
1892,-0.17,0.137
1893,-0.15,0.137
1894,-0.14,0.142
1895,-0.11,0.133
1896,0.06,0.133
1897,0.08,0.139
1898,-0.15,0.132
1899,-0.02,0.131
1900,0.11,0.132
1901,0.05,0.135
1902,-0.10,0.134
1903,-0.19,0.125
1904,-0.26,0.127
1905,-0.07,0.123
1906,0.02,0.126
1907,-0.16,0.116
1908,-0.17,0.116
1909,-0.20,0.108
1910,-0.19,0.115
1911,-0.20,0.112
1912,-0.14,0.103
1913,-0.13,0.110
1914,0.08,0.108
1915,0.15,0.118
1916,-0.08,0.125
1917,-0.20,0.134
1918,-0.08,0.142
1919,0.01,0.138
1920,0.04,0.133
1921,0.10,0.124
1922,0.00,0.111
1923,0.02,0.108
1924,0.03,0.109
1925,0.06,0.113
1926,0.22,0.108
1927,0.11,0.103
1928,0.13,0.111
1929,-0.05,0.110
1930,0.16,0.114
1931,0.24,0.109
1932,0.19,0.106
1933,0.02,0.105
1934,0.17,0.100
1935,0.13,0.097
1936,0.17,0.094
1937,0.32,0.101
1938,0.33,0.098
1939,0.30,0.106
1940,0.42,0.118
1941,0.38,0.200
1942,0.34,0.197
1943,0.35,0.206
1944,0.48,0.199
1945,0.38,0.200
1946,0.22,0.147
1947,0.25,0.141
1948,0.22,0.134
1949,0.20,0.110
1950,0.11,0.106
1951,0.28,0.089
1952,0.36,0.098
1953,0.42,0.098
1954,0.22,0.092
1955,0.14,0.087
1956,0.08,0.076
1957,0.30,0.065
1958,0.32,0.065
1959,0.29,0.062
1960,0.22,0.059
1961,0.32,0.051
1962,0.28,0.053
1963,0.30,0.054
1964,0.03,0.044
1965,0.14,0.049
1966,0.19,0.050
1967,0.22,0.043
1968,0.17,0.045
1969,0.31,0.041
1970,0.26,0.041
1971,0.13,0.039
1972,0.25,0.038
1973,0.39,0.036
1974,0.17,0.038
1975,0.23,0.041
1976,0.12,0.040
1977,0.44,0.043
1978,0.35,0.040
1979,0.43,0.028
1980,0.54,0.033
1981,0.59,0.031
1982,0.37,0.039
1983,0.56,0.036
1984,0.39,0.036
1985,0.39,0.034
1986,0.44,0.031
1987,0.58,0.031
1988,0.62,0.035
1989,0.52,0.035
1990,0.70,0.036
1991,0.68,0.035
1992,0.47,0.034
1993,0.51,0.037
1994,0.57,0.035
1995,0.72,0.033
1996,0.62,0.034
1997,0.76,0.032
1998,0.92,0.034
1999,0.66,0.032
2000,0.67,0.033
2001,0.83,0.031
2002,0.88,0.031
2003,0.88,0.033
2004,0.81,0.033
2005,0.95,0.031
2006,0.91,0.031
2007,0.93,0.030
2008,0.81,0.033
2009,0.94,0.032
2010,1.02,0.031
2011,0.88,0.032
2012,0.92,0.033
2013,0.96,0.035
2014,1.01,0.034
2015,1.17,0.034
2016,1.27,0.031
2017,1.19,0.030
2018,1.10,0.032
2019,1.23,0.034
2020,1.26,0.035
2021,1.10,0.036
2022,1.14,0.036
2023,1.44,0.039
2024,1.52,0.095
