,year,oecd,value
0,2050,OECD,286.816
1,2050,non-OECD,623.8824
2,2049,OECD,284.6088
3,2049,non-OECD,614.4289
4,2048,OECD,282.6116
5,2048,non-OECD,605.4031
6,2047,OECD,280.5958
7,2047,non-OECD,595.7719
8,2046,OECD,278.4691
9,2046,non-OECD,586.5982
10,2045,OECD,276.486
11,2045,non-OECD,577.2179
12,2044,OECD,274.6428
13,2044,non-OECD,567.0924
14,2043,OECD,273.0057
15,2043,non-OECD,556.894
16,2042,OECD,271.3875
17,2042,non-OECD,546.804
18,2041,OECD,269.7337
19,2041,non-OECD,536.8521
20,2040,OECD,268.1732
21,2040,non-OECD,526.7052
22,2039,OECD,266.5788
23,2039,non-OECD,518.5304
24,2038,OECD,265.0725
25,2038,non-OECD,510.4209
26,2037,OECD,263.8339
27,2037,non-OECD,501.9892
28,2036,OECD,262.6472
29,2036,non-OECD,493.6997
30,2035,OECD,261.3745
31,2035,non-OECD,485.7819
32,2034,OECD,260.1996
33,2034,non-OECD,477.771
34,2033,OECD,259.2723
35,2033,non-OECD,470.2897
36,2032,OECD,258.4918
37,2032,non-OECD,462.684
38,2031,OECD,257.9954
39,2031,non-OECD,455.4815
40,2030,OECD,257.2477
41,2030,non-OECD,447.9256
42,2029,OECD,256.369
43,2029,non-OECD,440.6043
44,2028,OECD,255.2374
45,2028,non-OECD,433.2966
46,2027,OECD,254.2294
47,2027,non-OECD,426.1523
48,2026,OECD,253.3604
49,2026,non-OECD,418.9836
50,2025,OECD,252.8175
51,2025,non-OECD,412.0994
52,2024,OECD,252.4176
53,2024,non-OECD,406.1304
54,2023,OECD,251.8939
55,2023,non-OECD,400.6029
56,2022,OECD,251.5003
57,2022,non-OECD,395.3838
58,2021,OECD,251.0728
59,2021,non-OECD,390.3047
60,2020,OECD,250.3128
61,2020,non-OECD,384.7196
62,2019,OECD,249.7916
63,2019,non-OECD,377.1849
64,2018,OECD,249.4171
65,2018,non-OECD,370.571
66,2017,OECD,246.5396
67,2017,non-OECD,362.9966
68,2016,OECD,240.3993
69,2016,non-OECD,350.5848
70,2015,OECD,239.1221
71,2015,non-OECD,347.132
72,2014,OECD,238.7762
73,2014,non-OECD,343.9578
74,2013,OECD,239.9006
75,2013,non-OECD,336.7234
76,2012,OECD,237.3892
77,2012,non-OECD,328.6067
78,2011,OECD,239.8771
79,2011,non-OECD,313.1417
80,2010,OECD,241.9063
81,2010,non-OECD,295.5912
