,yearq,uk,dg
0,2009 Q1,76.32,74.36284470706376
1,2009 Q2,73.206,72.90887395769496
2,2009 Q3,74.047,72.65073856448203
3,2009 Q4,72.917,72.35122107893598
4,2010 Q1,75.936,71.00632174913969
5,2010 Q2,75.577,72.85799435049485
6,2010 Q3,78.355,72.78477213211626
7,2010 Q4,80.277,74.11213431103269
8,2011 Q1,76.536,74.2208428750247
9,2011 Q2,75.777,75.31901811527757
10,2011 Q3,77.63,76.0644349229949
11,2011 Q4,78.834,77.89258725815667
12,2012 Q1,79.787,79.0138281740224
13,2012 Q2,76.275,79.37516261192764
14,2012 Q3,75.588,77.91876164304043
15,2012 Q4,79.483,79.02901341438341
16,2013 Q1,76.378,79.08521833099994
17,2013 Q2,80.289,81.18365712862642
18,2013 Q3,82.244,81.70421407590611
19,2013 Q4,82.874,82.4390934372627
20,2014 Q1,84.993,83.95780978847313
21,2014 Q2,84.58,84.69887652443039
22,2014 Q3,86.321,87.38683533238353
23,2014 Q4,87.264,87.81488998518545
24,2015 Q1,90.986,88.65813161521764
25,2015 Q2,91.126,89.88223374134131
26,2015 Q3,90.44,90.59247175874879
27,2015 Q4,93.017,92.28646996305136
28,2016 Q1,94.551,92.73853618972672
29,2016 Q2,95.674,94.99185802572761
30,2016 Q3,97.398,95.26224257181171
31,2016 Q4,95.826,96.72770597166593
32,2017 Q1,97.75,95.26391495192314
33,2017 Q2,99.356,102.129354810453
34,2017 Q3,99.163,99.24709700232982
35,2017 Q4,100.638,100.32093621542721
36,2018 Q1,98.919,101.12359394334287
37,2018 Q2,98.831,104.64001026099918
38,2018 Q3,99.335,101.55253741547163
39,2018 Q4,98.882,104.83228205492782
40,2019 Q1,101.096,103.60485542350484
41,2019 Q2,99.966,108.72403143856903
42,2019 Q3,101.637,105.75821978594671
43,2019 Q4,100.666,112.60133069042651
44,2020 Q1,96.825,109.65102521190109
45,2020 Q2,78.812,94.38999417510719
46,2020 Q3,91.209,104.33019155042413
47,2020 Q4,94.156,108.18175703263373
48,2021 Q1,92.834,107.31550390642872
49,2021 Q2,95.283,109.88581349519832
50,2021 Q3,95.912,107.37231512599274
51,2021 Q4,97.053,112.87800812188242
52,2022 Q1,100.411,112.05657019324426
53,2022 Q2,98.989,111.21373635256211
