,yearq,country,value
0,2016 Q1,UK,100.35028623133225
1,2016 Q1,Germany,99.9241843013061
2,2016 Q1,France,100.47425214383597
3,2016 Q1,Italy,99.64036861337807
4,2016 Q1,US,98.9542913515291
5,2016 Q1,Canada,101.70459076609578
6,2016 Q1,Japan,99.45326618677048
7,2016 Q2,UK,100.31086783189845
8,2016 Q2,Germany,98.99596553227445
9,2016 Q2,France,99.52010199730884
10,2016 Q2,Italy,98.76075251734164
11,2016 Q2,US,99.49029924366984
12,2016 Q2,Canada,100.39528984946611
13,2016 Q2,Japan,99.66253188613153
14,2016 Q3,UK,101.93239744497103
15,2016 Q3,Germany,100.7506106114824
16,2016 Q3,France,99.63584210384023
17,2016 Q3,Italy,100.99984262772976
18,2016 Q3,US,100.38803025320617
19,2016 Q3,Canada,101.1446860832025
20,2016 Q3,Japan,100.06126942701357
21,2016 Q4,UK,97.40644849179829
22,2016 Q4,Germany,100.32923955493705
23,2016 Q4,France,100.36980375501497
24,2016 Q4,Italy,100.5990362415505
25,2016 Q4,US,101.16737915159486
26,2016 Q4,Canada,96.75543330123563
27,2016 Q4,Japan,100.82293250008438
28,2017 Q1,UK,100.05106474472107
29,2017 Q1,Germany,101.96054095900988
30,2017 Q1,France,103.58036151917882
31,2017 Q1,Italy,103.93871470733798
32,2017 Q1,US,102.51233146991122
33,2017 Q1,Canada,100.35005945416435
34,2017 Q1,Japan,101.16778040488164
35,2017 Q2,UK,101.52208774177365
36,2017 Q2,Germany,103.01461323967989
37,2017 Q2,France,105.01723259782472
38,2017 Q2,Italy,104.98250653316549
39,2017 Q2,US,103.51857941466622
40,2017 Q2,Canada,102.24354663432295
41,2017 Q2,Japan,102.02063252245257
42,2017 Q3,UK,100.71401055338059
43,2017 Q3,Germany,104.96949239838504
44,2017 Q3,France,106.80132399606481
45,2017 Q3,Italy,105.36272839791918
46,2017 Q3,US,104.07431765866491
47,2017 Q3,Canada,103.23813922153728
48,2017 Q3,Japan,102.87382788611323
49,2017 Q4,UK,102.06498660670292
50,2017 Q4,Germany,106.41588298248492
51,2017 Q4,France,107.89944354339931
52,2017 Q4,Italy,107.61380224893651
53,2017 Q4,US,106.26438671489642
54,2017 Q4,Canada,106.2309630622406
55,2017 Q4,Japan,103.51684222750694
56,2018 Q1,UK,101.19957356458795
57,2018 Q1,Germany,105.3280674608307
58,2018 Q1,France,107.24180720576422
59,2018 Q1,Italy,111.13476217213154
60,2018 Q1,US,107.67839526471556
61,2018 Q1,Canada,107.81878799204421
62,2018 Q1,Japan,104.52999026897336
63,2018 Q2,UK,98.76817501769348
64,2018 Q2,Germany,106.78429626276326
65,2018 Q2,France,108.94262218589026
66,2018 Q2,Italy,109.69317765630745
67,2018 Q2,US,109.29957250904307
68,2018 Q2,Canada,109.5642051412676
69,2018 Q2,Japan,106.09507802269658
70,2018 Q3,UK,98.9975184325811
71,2018 Q3,Germany,108.16119770787842
72,2018 Q3,France,109.7288080314755
73,2018 Q3,Italy,110.75021411924048
74,2018 Q3,US,109.73035185794147
75,2018 Q3,Canada,107.41695163799496
76,2018 Q3,Japan,103.04956988404574
77,2018 Q4,UK,99.42932908092418
78,2018 Q4,Germany,109.22935033418774
79,2018 Q4,France,110.34279518197741
80,2018 Q4,Italy,109.90384195077499
81,2018 Q4,US,109.9835580401184
82,2018 Q4,Canada,107.73689717107682
83,2018 Q4,Japan,105.28318660516459
84,2019 Q1,UK,99.9238508192756
85,2019 Q1,Germany,110.51736143835849
86,2019 Q1,France,111.30538747417009
87,2019 Q1,Italy,111.91809539008912
88,2019 Q1,US,110.21045708648471
89,2019 Q1,Canada,112.66605804011935
90,2019 Q1,Japan,105.17918303998187
91,2019 Q2,UK,100.19977961531225
92,2019 Q2,Germany,109.31862130237798
93,2019 Q2,France,113.15440624924489
94,2019 Q2,Italy,109.60042644891199
95,2019 Q2,US,111.89082538638606
96,2019 Q2,Canada,110.31788635982207
97,2019 Q2,Japan,104.67564102637444
98,2019 Q3,UK,101.35724716232318
99,2019 Q3,Germany,110.15840734695945
100,2019 Q3,France,114.05633220136151
101,2019 Q3,Italy,112.3320870451119
102,2019 Q3,US,113.02203222624136
103,2019 Q3,Canada,112.52322521285068
104,2019 Q3,Japan,106.90548204050647
105,2019 Q4,UK,102.12769769671127
106,2019 Q4,Germany,109.51739450110685
107,2019 Q4,France,114.10291053691684
108,2019 Q4,Italy,110.13235725923884
109,2019 Q4,US,112.65044393291682
110,2019 Q4,Canada,110.73829098141626
111,2019 Q4,Japan,99.32374799558585
112,2020 Q1,UK,99.40066115406323
113,2020 Q1,Germany,104.4584515996293
114,2020 Q1,France,103.0159019032752
115,2020 Q1,Italy,101.98703564315892
116,2020 Q1,US,111.78888523512003
117,2020 Q1,Canada,110.8392261793528
118,2020 Q1,Japan,103.95333683825729
119,2020 Q2,UK,78.77050428675093
120,2020 Q2,Germany,90.53858613555677
121,2020 Q2,France,90.61336146313621
122,2020 Q2,Italy,83.75856508894111
123,2020 Q2,US,102.64057875698785
124,2020 Q2,Canada,92.50710890884052
125,2020 Q2,Japan,96.68452881179074
126,2020 Q3,UK,87.44792739847523
127,2020 Q3,Germany,102.42270223044214
128,2020 Q3,France,110.07040254283531
129,2020 Q3,Italy,106.27751517468111
130,2020 Q3,US,109.41795462019073
131,2020 Q3,Canada,98.77604169766337
132,2020 Q3,Japan,96.48132712668126
133,2020 Q4,UK,89.88649292708492
134,2020 Q4,Germany,104.78564314201229
135,2020 Q4,France,113.10222874807243
136,2020 Q4,Italy,105.87904520771798
137,2020 Q4,US,113.7520552449852
138,2020 Q4,Canada,100.40719258507183
139,2020 Q4,Japan,98.02330297703054
140,2021 Q1,UK,85.2476640118972
141,2021 Q1,Germany,102.81462693482834
142,2021 Q1,France,114.49726438934324
143,2021 Q1,Italy,111.4953231228209
144,2021 Q1,US,116.42222952975996
145,2021 Q1,Canada,101.09993179732497
146,2021 Q1,Japan,99.49857467061247
147,2021 Q2,UK,90.66590218861704
148,2021 Q2,Germany,103.89448646323704
149,2021 Q2,France,116.990032994237
150,2021 Q2,Italy,112.73928779789586
151,2021 Q2,US,118.08286747780335
152,2021 Q2,Canada,105.2039950341787
153,2021 Q2,Japan,100.8815131660619
154,2021 Q3,UK,92.68878277774294
155,2021 Q3,Germany,102.67498404831731
156,2021 Q3,France,118.28644418955732
157,2021 Q3,Italy,112.464958632535
158,2021 Q3,US,117.76060506412365
159,2021 Q3,Canada,105.43490810492975
160,2021 Q3,Japan,99.12626707863824
161,2021 Q4,UK,90.17138045026563
162,2021 Q4,Germany,102.2624624475912
163,2021 Q4,France,117.96913075476006
164,2021 Q4,Italy,115.42283425540259
165,2021 Q4,US,117.92831305491616
166,2021 Q4,Canada,107.98352185282742
167,2021 Q4,Japan,99.71001426187502
168,2022 Q1,UK,91.22851025326322
169,2022 Q1,Germany,104.13394244545387
170,2022 Q1,France,118.28501484976093
171,2022 Q1,Italy,125.69892785565793
172,2022 Q1,US,119.32259125287734
173,2022 Q1,Canada,109.87843736125873
174,2022 Q1,Japan,99.43003986803332
175,2022 Q2,UK,96.28302410793475
176,2022 Q2,Germany,104.06547007628279
177,2022 Q2,France,118.94536983569036
178,2022 Q2,Italy,128.24546527541202
179,2022 Q2,US,117.78691219993422
180,2022 Q2,Canada,113.85157050644949
181,2022 Q2,Japan,101.54649525719715
182,2022 Q3,UK,93.88387697875886
183,2022 Q3,Germany,105.45035135314728
184,2022 Q3,France,123.21623714728585
185,2022 Q3,Italy,128.6357134193409
186,2022 Q3,US,116.75435711936863
187,2022 Q3,Canada,114.83045148266426
188,2022 Q3,Japan,103.1071208117541
189,2022 Q4,UK,92.62620158927821
190,2022 Q4,France,124.54838183751575
191,2022 Q4,US,114.75172640578756
192,2022 Q4,Japan,102.57074158889759
