,Category,Time,Country,Value,Min,Max
0,Anxiety,Jun 2020,Catalonia,15.9,13.6,18.2
1,Anxiety,Nov/Dec 2020,Catalonia,14.0,11.8,16.2
2,Anxiety,Jun 2020,Italy,24.6,22.6,26.7
3,Anxiety,Nov/Dec 2020,Italy,28.2,25.3,31.1
4,Anxiety,Jun 2020,UK,11.7,8.9,14.5
5,Anxiety,Nov/Dec 2020,UK,17.9,13.9,21.9
6,Depression,Jun 2020,Catalonia,17.4,20.0,14.799999999999997
7,Depression,Nov/Dec 2020,Catalonia,15.9,13.6,18.2
8,Depression,Jun 2020,Italy,20.1,18.2,22.0
9,Depression,Nov/Dec 2020,Italy,21.7,19.0,24.3
10,Depression,Jun 2020,UK,13.7,10.7,16.7
11,Depression,Nov/Dec 2020,UK,20.0,15.8,24.2
