,Category,Time,Type,Country,Value,Min,Max
0,Anxiety,Men,Sex,Catalonia,10.2,7.899999999999999,12.5
1,Anxiety,Women,Sex,Catalonia,17.3,15.100000000000001,19.5
2,Anxiety,Men,Sex,Italy,19.7,17.5,21.9
3,Anxiety,Women,Sex,Italy,32.4,29.799999999999997,35.0
4,Anxiety,Men,Sex,UK,12.3,14.600000000000001,10.0
5,Anxiety,Women,Sex,UK,18.3,23.1,13.5
6,Depression,Men,Sex,Catalonia,12.1,9.6,14.6
7,Depression,Women,Sex,Catalonia,19.0,16.8,21.2
8,Depression,Men,Sex,Italy,15.3,13.400000000000002,17.2
9,Depression,Women,Sex,Italy,26.3,23.900000000000002,28.7
10,Depression,Men,Sex,UK,13.8,16.6,11.0
11,Depression,Women,Sex,UK,21.2,26.299999999999997,16.1
12,Anxiety,< 60,Age,Catalonia,17.0,15.5,18.5
13,Anxiety,>= 60,Age,Catalonia,9.3,7.200000000000001,11.4
14,Anxiety,< 60,Age,Italy,29.3,27.0,31.6
15,Anxiety,>= 60,Age,Italy,21.4,18.9,23.9
16,Anxiety,< 60,Age,UK,15.6,13.0,18.2
17,Anxiety,>= 60,Age,UK,7.2,2.9000000000000004,11.5
18,Depression,< 60,Age,Catalonia,18.8,16.6,21.0
19,Depression,>= 60,Age,Catalonia,10.9,13.100000000000001,8.7
20,Depression,< 60,Age,Italy,23.9,21.699999999999996,26.1
21,Depression,>= 60,Age,Italy,16.4,14.199999999999996,18.6
22,Depression,< 60,Age,UK,18.2,15.5,20.9
23,Depression,>= 60,Age,UK,5.8,2.5,9.1
