,myr,Vacancies
0,2001-04-01,669
1,2001-05-01,689
2,2001-06-01,692
3,2001-07-01,670
4,2001-08-01,667
5,2001-09-01,733
6,2001-10-01,649
7,2001-11-01,607
8,2001-12-01,549
9,2002-01-01,531
10,2002-02-01,627
11,2002-03-01,608
12,2002-04-01,597
13,2002-05-01,620
14,2002-06-01,642
15,2002-07-01,603
16,2002-08-01,637
17,2002-09-01,666
18,2002-10-01,653
19,2002-11-01,613
20,2002-12-01,542
21,2003-01-01,521
22,2003-02-01,582
23,2003-03-01,585
24,2003-04-01,563
25,2003-05-01,605
26,2003-06-01,580
27,2003-07-01,569
28,2003-08-01,625
29,2003-09-01,659
30,2003-10-01,654
31,2003-11-01,624
32,2003-12-01,565
33,2004-01-01,524
34,2004-02-01,622
35,2004-03-01,633
36,2004-04-01,610
37,2004-05-01,657
38,2004-06-01,668
39,2004-07-01,669
40,2004-08-01,672
41,2004-09-01,697
42,2004-10-01,717
43,2004-11-01,660
44,2004-12-01,606
45,2005-01-01,591
46,2005-02-01,629
47,2005-03-01,621
48,2005-04-01,635
49,2005-05-01,659
50,2005-06-01,642
51,2005-07-01,639
52,2005-08-01,638
53,2005-09-01,661
54,2005-10-01,642
55,2005-11-01,611
56,2005-12-01,570
57,2006-01-01,536
58,2006-02-01,591
59,2006-03-01,587
60,2006-04-01,598
61,2006-05-01,601
62,2006-06-01,624
63,2006-07-01,640
64,2006-08-01,615
65,2006-09-01,649
66,2006-10-01,698
67,2006-11-01,603
68,2006-12-01,555
69,2007-01-01,571
70,2007-02-01,621
71,2007-03-01,655
72,2007-04-01,650
73,2007-05-01,646
74,2007-06-01,692
75,2007-07-01,713
76,2007-08-01,683
77,2007-09-01,722
78,2007-10-01,751
79,2007-11-01,685
80,2007-12-01,619
81,2008-01-01,608
82,2008-02-01,699
83,2008-03-01,715
84,2008-04-01,657
85,2008-05-01,668
86,2008-06-01,660
87,2008-07-01,638
88,2008-08-01,618
89,2008-09-01,648
90,2008-10-01,613
91,2008-11-01,509
92,2008-12-01,453
93,2009-01-01,416
94,2009-02-01,438
95,2009-03-01,469
96,2009-04-01,446
97,2009-05-01,424
98,2009-06-01,440
99,2009-07-01,462
100,2009-08-01,450
101,2009-09-01,447
102,2009-10-01,483
103,2009-11-01,458
104,2009-12-01,419
105,2010-01-01,406
106,2010-02-01,458
107,2010-03-01,461
108,2010-04-01,472
109,2010-05-01,513
110,2010-06-01,487
111,2010-07-01,474
112,2010-08-01,453
113,2010-09-01,484
114,2010-10-01,507
115,2010-11-01,504
116,2010-12-01,439
117,2011-01-01,437
118,2011-02-01,481
119,2011-03-01,459
120,2011-04-01,465
121,2011-05-01,466
122,2011-06-01,472
123,2011-07-01,468
124,2011-08-01,474
125,2011-09-01,491
126,2011-10-01,512
127,2011-11-01,456
128,2011-12-01,434
129,2012-01-01,434
130,2012-02-01,443
131,2012-03-01,455
132,2012-04-01,485
133,2012-05-01,477
134,2012-06-01,485
135,2012-07-01,511
136,2012-08-01,482
137,2012-09-01,510
138,2012-10-01,555
139,2012-11-01,492
140,2012-12-01,464
141,2013-01-01,447
142,2013-02-01,492
143,2013-03-01,509
144,2013-04-01,531
145,2013-05-01,533
146,2013-06-01,562
147,2013-07-01,557
148,2013-08-01,519
149,2013-09-01,606
150,2013-10-01,610
151,2013-11-01,566
152,2013-12-01,548
153,2014-01-01,525
154,2014-02-01,596
155,2014-03-01,656
156,2014-04-01,652
157,2014-05-01,657
158,2014-06-01,699
159,2014-07-01,684
160,2014-08-01,694
161,2014-09-01,721
162,2014-10-01,774
163,2014-11-01,701
164,2014-12-01,654
165,2015-01-01,665
166,2015-02-01,721
167,2015-03-01,735
168,2015-04-01,712
169,2015-05-01,743
170,2015-06-01,756
171,2015-07-01,755
172,2015-08-01,749
173,2015-09-01,761
174,2015-10-01,801
175,2015-11-01,753
176,2015-12-01,687
177,2016-01-01,694
178,2016-02-01,729
179,2016-03-01,751
180,2016-04-01,737
181,2016-05-01,759
182,2016-06-01,766
183,2016-07-01,750
184,2016-08-01,775
185,2016-09-01,782
186,2016-10-01,832
187,2016-11-01,753
188,2016-12-01,680
189,2017-01-01,693
190,2017-02-01,779
191,2017-03-01,769
192,2017-04-01,816
193,2017-05-01,786
194,2017-06-01,784
195,2017-07-01,815
196,2017-08-01,816
197,2017-09-01,821
198,2017-10-01,892
199,2017-11-01,834
200,2017-12-01,730
201,2018-01-01,765
202,2018-02-01,804
203,2018-03-01,804
204,2018-04-01,819
205,2018-05-01,857
206,2018-06-01,852
207,2018-07-01,837
208,2018-08-01,874
209,2018-09-01,881
210,2018-10-01,928
211,2018-11-01,859
212,2018-12-01,771
213,2019-01-01,807
214,2019-02-01,814
215,2019-03-01,838
216,2019-04-01,865
217,2019-05-01,827
218,2019-06-01,819
219,2019-07-01,855
220,2019-08-01,811
221,2019-09-01,844
222,2019-10-01,867
223,2019-11-01,788
224,2019-12-01,757
225,2020-01-01,759
226,2020-02-01,795
227,2020-03-01,756
228,2020-04-01,364
229,2020-05-01,327
230,2020-06-01,345
231,2020-07-01,479
232,2020-08-01,504
233,2020-09-01,541
234,2020-10-01,635
235,2020-11-01,567
236,2020-12-01,569
237,2021-01-01,577
238,2021-02-01,569
239,2021-03-01,661
240,2021-04-01,761
241,2021-05-01,913
242,2021-06-01,988
243,2021-07-01,1056
244,2021-08-01,1158
245,2021-09-01,1214
246,2021-10-01,1293
247,2021-11-01,1212
248,2021-12-01,1177
249,2022-01-01,1231
250,2022-02-01,1264
251,2022-03-01,1281
252,2022-04-01,1359
253,2022-05-01,1316
254,2022-06-01,1286
255,2022-07-01,1288
256,2022-08-01,1258
257,2022-09-01,1221
258,2022-10-01,1278
