,year,population,population_growth
0,1870,1271810072.3279037,
1,1871,1280461545.710747,0.006802488493433234
2,1872,1289171870.641728,0.006802488493433234
3,1873,1297941447.457826,0.006802488493433234
4,1874,1306770679.219308,0.006802488493433234
5,1875,1315659971.728253,0.006802488493433012
6,1876,1324609733.5472052,0.006802488493433234
7,1877,1333620376.0179496,0.006802488493433234
8,1878,1342692313.2804196,0.006802488493433234
9,1879,1351825962.2917309,0.006802488493433012
10,1880,1361021742.8453448,0.006802488493433456
11,1881,1370280077.5903625,0.006802488493433234
12,1882,1379601392.050952,0.006802488493433234
13,1883,1388986114.645903,0.006802488493433234
14,1884,1398434676.7083204,0.006802488493433234
15,1885,1407947512.505447,0.006802488493433234
16,1886,1417525059.2586231,0.006802488493433234
17,1887,1427167757.163383,0.006802488493433234
18,1888,1436876049.4096859,0.006802488493433234
19,1889,1446650382.202285,0.006802488493433234
20,1890,1456491204.781237,0.006802488493433234
21,1891,1466398969.442548,0.006802488493433234
22,1892,1476374131.5589633,0.006802488493433234
23,1893,1486417149.6008956,0.006802488493433234
24,1894,1496528485.1574974,0.006802488493433234
25,1895,1506708602.9578764,0.006802488493433234
26,1896,1516957970.8924541,0.006802488493433012
27,1897,1527277060.0344718,0.006802488493433234
28,1898,1537666344.661641,0.006802488493433234
29,1899,1548126302.2779412,0.006802488493433234
30,1900,1558657413.6355681,0.006802488493433234
31,1901,1575163376.5692453,0.010589859445236716
32,1902,1591844135.330398,0.010589859445236716
33,1903,1608701540.9822712,0.010589859445236716
34,1904,1625737464.1906092,0.010589859445236716
35,1905,1642953795.4312434,0.010589859445236716
36,1906,1660352445.1998787,0.010589859445236716
37,1907,1677935344.2241004,0.010589859445236716
38,1908,1695704443.6776288,0.010589859445236716
39,1909,1713661715.396838,0.010589859445236716
40,1910,1731809152.0995739,0.010589859445236716
41,1911,1750148767.606283,0.010589859445236716
42,1912,1768682597.0634873,0.010589859445236494
43,1913,1787412697.1696262,0.010589859445236716
44,1914,1797293704.706028,0.0055281063808310105
45,1915,1807229335.5032408,0.0055281063808310105
46,1916,1817219891.5244613,0.0055281063808310105
47,1917,1827265676.4021707,0.0055281063808310105
48,1918,1837366995.447363,0.0055281063808310105
49,1919,1847524155.658824,0.0055281063808310105
50,1920,1857737465.7324605,0.005528106380830788
51,1921,1877357734.299617,0.010561378520414832
52,1922,1897185219.9497833,0.01056137852041461
53,1923,1917222111.181009,0.01056137852041461
54,1924,1937470619.6049001,0.01056137852041461
55,1925,1957932980.1907296,0.01056137852041461
56,1926,1978611451.5121274,0.01056137852041461
57,1927,1999508315.996374,0.01056137852041461
58,1928,2020625880.1763287,0.01056137852041461
59,1929,2041966474.9450166,0.01056137852041461
60,1930,2063532455.8129077,0.01056137852041461
61,1931,2085326203.1679087,0.01056137852041461
62,1932,2107350122.5381038,0.01056137852041461
63,1933,2129606644.8572707,0.01056137852041461
64,1934,2152098226.733198,0.01056137852041461
65,1935,2174827350.7188406,0.010561378520414388
66,1936,2197796525.586333,0.01056137852041461
67,1937,2221008286.6039023,0.010561378520414832
68,1938,2244465195.815704,0.01056137852041461
69,1939,2268169842.3246098,0.01056137852041461
70,1940,2292124842.577989,0.01056137852041461
71,1941,2313970074.37815,0.009530559328344124
72,1942,2336023503.456024,0.009530559328344124
73,1943,2358287114.0481176,0.009530559328344124
74,1944,2380762909.301823,0.009530559328344124
75,1945,2403452911.455645,0.009530559328344124
76,1946,2426359162.0211544,0.009530559328344124
77,1947,2449483721.9666686,0.009530559328344124
78,1948,2472828671.902685,0.009530559328344124
79,1949,2496396112.269084,0.009530559328344124
80,1950,2520188163.5241117,0.009530559328343902
81,1951,2563756700.937922,0.01728781130091739
82,1952,2609900685.09484,0.01799858158928913
83,1953,2657763470.546892,0.01833892980119778
84,1954,2708574722.163394,0.019118048757757355
85,1955,2760560644.5256166,0.019193091457598843
86,1956,2813824334.9405923,0.019294519220435014
87,1957,2871079856.3384786,0.020347937391441695
88,1958,2930217916.6496315,0.02059784585252622
89,1959,2986698836.3119617,0.019275330800962776
90,1960,3032156070.0000005,0.015219891987559908
91,1961,3071596055.0,0.013007241081756105
92,1962,3124561005.0,0.017243462047616065
93,1963,3189655687.0,0.020833224858094912
94,1964,3255145692.0,0.020531998255145734
95,1965,3322046795.0,0.02055241434029198
96,1966,3392097729.0,0.021086678882860088
97,1967,3461619724.0,0.02049528066530537
98,1968,3532782993.0,0.020557795099968024
99,1969,3606553753.0,0.02088176945659348
100,1970,3681975908.0,0.02091252762758966
101,1971,3760516757.0,0.021331168634034503
102,1972,3836900801.0,0.0203121137162372
103,1973,3912984371.0,0.0198294336877749
104,1974,3988487336.0,0.01929549362874261
105,1975,4062507027.0,0.018558336723774937
106,1976,4135432265.0,0.017950796765477284
107,1977,4207786422.0000005,0.017496153331385766
108,1978,4281339377.9999995,0.017480201850415877
109,1979,4356778367.0,0.017620417897177054
110,1980,4432963653.0,0.01748661042229238
111,1981,4511164132.0,0.017640676784497877
112,1982,4592387213.0,0.018004904859001636
113,1983,4674330282.0,0.017843240388797588
114,1984,4755996689.0,0.017471253008047638
115,1985,4839176734.0,0.017489508601295833
116,1986,4924747934.0,0.017683007813865892
117,1987,5012556248.0,0.017830011845637594
118,1988,5101287675.0,0.017701831682268576
119,1989,5189977062.0,0.017385686252246124
120,1990,5280046096.0,0.017354418511686287
121,1991,5368139468.0,0.0166842050994096
122,1992,5452576447.0,0.01572928190546019
123,1993,5537885552.0,0.015645650424018775
124,1994,5622085788.0,0.015204401609489882
125,1995,5706753900.0,0.01505991107085558
126,1996,5789655609.0,0.014526946571149724
127,1997,5872286683.0,0.01427219157414994
128,1998,5954005906.0,0.013916081998614604
129,1999,6034491620.0,0.013517909667992045
130,2000,6114332517.0,0.013230757788342151
131,2001,6193671694.0,0.012975934295266
132,2002,6272753009.0,0.012768083118872342
