,year,entry,exit,realloc,enterprise,establish,turnover
0,2004,20.27877,18.15346,40.74351,,,
1,2005,19.26184,16.57458,36.16209,21.1034,41.40674,18.14977
2,2006,18.75529,15.6386,30.02714,20.33609,40.11448,17.32603
3,2007,20.17277,18.55052,38.55153,20.05402,38.75508,17.00511
4,2008,21.49318,20.75813,37.21509,19.03847,31.57749,14.81825
5,2009,15.69665,19.66316,33.24804,17.55405,28.86332,11.79999
6,2010,16.44289,19.5921,29.11825,16.75021,27.81662,10.70024
7,2011,19.68456,16.4044,33.80501,16.51063,26.47758,10.74398
8,2012,14.9557,15.15371,30.69582,16.32448,24.96815,10.72204
9,2013,19.99636,15.25829,31.56975,16.43271,24.59742,10.90541
10,2014,15.97591,13.48693,25.07197,17.41568,23.5832,11.75632
11,2015,19.26962,14.68892,30.9774,18.11994,21.70078,12.7185
12,2016,19.46583,15.23038,33.08881,18.41435,21.98723,12.74912
13,2017,18.55482,16.57661,31.65445,18.71089,21.29035,12.5262
14,2018,18.43317,16.13988,32.557,18.81911,21.53427,12.6281
15,2019,19.08607,16.79119,32.52116,18.77642,21.42593,12.19494
16,2020,17.27927,15.26606,28.77941,17.91185,21.55932,11.06106
17,2021,18.9258,18.66542,27.29153,17.85041,20.2794,10.39194
