,Value,Volume,time
0,101.0,100.7,2019-10-01
1,100.6,100.3,2019-11-01
2,99.2,99.0,2019-12-01
3,101.8,100.5,2020-01-01
4,100.9,100.0,2020-02-01
5,109.2,109.3,2020-03-01
6,106.0,105.8,2020-04-01
7,107.4,106.6,2020-05-01
8,107.4,106.1,2020-06-01
9,103.8,102.8,2020-07-01
10,104.7,104.1,2020-08-01
11,105.7,104.9,2020-09-01
12,104.7,103.9,2020-10-01
13,106.7,106.5,2020-11-01
14,103.0,102.9,2020-12-01
15,106.8,105.7,2021-01-01
16,107.9,107.2,2021-02-01
17,109.0,109.4,2021-03-01
18,108.4,108.4,2021-04-01
19,103.4,102.6,2021-05-01
20,108.2,106.1,2021-06-01
21,106.0,104.4,2021-07-01
22,105.3,103.3,2021-08-01
23,105.3,102.6,2021-09-01
24,106.3,103.3,2021-10-01
25,106.3,102.7,2021-11-01
26,107.8,103.4,2021-12-01
27,106.1,100.6,2022-01-01
28,105.8,100.0,2022-02-01
29,106.3,100.4,2022-03-01
30,107.0,100.0,2022-04-01
31,106.5,97.6,2022-05-01
32,111.4,100.1,2022-06-01
33,113.4,100.6,2022-07-01
34,113.1,99.8,2022-08-01
35,112.3,97.2,2022-09-01
36,113.8,97.3,2022-10-01
37,114.7,97.9,2022-11-01
38,114.6,96.6,2022-12-01
39,116.1,97.1,2023-01-01
40,117.8,97.6,2023-02-01
41,116.8,96.9,2023-03-01
42,119.7,97.3,2023-04-01
43,120.5,96.8,2023-05-01
44,123.0,97.7,2023-06-01
45,119.8,95.1,2023-07-01
46,121.7,96.4,2023-08-01
47,123.0,96.4,2023-09-01
48,122.6,96.1,2023-10-01
