"Figure 3:  Real earnings shows a positive annual growth rate for October 2023",""
"Real average weekly earnings single-month annual growth rates in Great Britain, seasonally adjusted, and CPIH annual rate, January 2001 to October 2023",""
"",""
"Notes",""
"Unit","%"
"",""
"Period","Total pay (real)","Regular pay (real)","CPIH"
"Jan 2001","4.2","2.4","1.2"
"Feb 2001","7.1","2.4","1.2"
"Mar 2001","3.4","3.3","1.3"
"Apr 2001","4.3","3.8","1.5"
"May 2001","3.1","2.9","1.9"
"Jun 2001","3.7","2.9","1.9"
"Jul 2001","3.2","3.7","1.7"
"Aug 2001","3.0","3.5","2.1"
"Sep 2001","2.8","3.1","1.7"
"Oct 2001","3.3","3.2","1.6"
"Nov 2001","3.1","3.4","1.2"
"Dec 2001","2.0","3.0","1.4"
"Jan 2002","1.6","2.7","1.8"
"Feb 2002","1.2","3.3","1.7"
"Mar 2002","0.8","3.1","1.7"
"Apr 2002","1.9","2.4","1.6"
"May 2002","2.4","2.8","1.2"
"Jun 2002","2.5","3.4","1.1"
"Jul 2002","2.5","2.5","1.4"
"Aug 2002","1.8","1.7","1.3"
"Sep 2002","1.8","2.0","1.2"
"Oct 2002","1.3","1.6","1.5"
"Nov 2002","1.3","1.4","1.6"
"Dec 2002","0.9","1.2","1.7"
"Jan 2003","0.5","1.9","1.4"
"Feb 2003","0.7","1.5","1.6"
"Mar 2003","2.7","1.1","1.6"
"Apr 2003","1.1","1.6","1.5"
"May 2003","1.5","1.9","1.3"
"Jun 2003","1.3","1.7","1.2"
"Jul 2003","1.5","1.7","1.3"
"Aug 2003","2.0","2.2","1.4"
"Sep 2003","2.4","2.3","1.3"
"Oct 2003","2.8","2.3","1.3"
"Nov 2003","2.6","2.4","1.3"
"Dec 2003","2.9","3.0","1.3"
"Jan 2004","5.9","1.9","1.5"
"Feb 2004","1.9","1.8","1.4"
"Mar 2004","2.5","2.3","1.2"
"Apr 2004","3.1","2.4","1.1"
"May 2004","2.7","2.1","1.4"
"Jun 2004","2.5","2.0","1.5"
"Jul 2004","2.4","2.3","1.4"
"Aug 2004","2.8","2.5","1.4"
"Sep 2004","2.8","2.4","1.2"
"Oct 2004","2.9","2.6","1.3"
"Nov 2004","2.6","2.2","1.5"
"Dec 2004","2.7","2.4","1.8"
"Jan 2005","2.2","2.5","1.7"
"Feb 2005","3.7","2.5","1.7"
"Mar 2005","2.1","2.6","2.0"
"Apr 2005","2.4","2.2","1.9"
"May 2005","2.6","2.3","1.9"
"Jun 2005","2.4","2.3","2.0"
"Jul 2005","2.6","2.0","2.3"
"Aug 2005","2.8","2.1","2.4"
"Sep 2005","2.3","2.0","2.5"
"Oct 2005","1.9","1.8","2.4"
"Nov 2005","2.6","2.0","2.2"
"Dec 2005","2.3","1.5","2.1"
"Jan 2006","0.9","1.8","2.2"
"Feb 2006","3.3","2.0","2.2"
"Mar 2006","3.8","1.7","2.0"
"Apr 2006","2.0","1.5","2.2"
"May 2006","2.2","1.5","2.4"
"Jun 2006","2.9","1.5","2.6"
"Jul 2006","2.2","1.1","2.5"
"Aug 2006","1.2","0.7","2.6"
"Sep 2006","1.3","1.0","2.5"
"Oct 2006","1.9","1.5","2.5"
"Nov 2006","1.7","1.3","2.8"
"Dec 2006","2.7","1.2","2.9"
"Jan 2007","3.3","1.1","2.7"
"Feb 2007","3.9","1.1","2.7"
"Mar 2007","1.7","1.1","2.9"
"Apr 2007","1.5","1.2","2.7"
"May 2007","2.2","1.7","2.5"
"Jun 2007","1.9","1.7","2.5"
"Jul 2007","2.8","2.6","2.0"
"Aug 2007","3.2","2.9","2.0"
"Sep 2007","3.5","2.5","2.0"
"Oct 2007","2.1","1.6","2.3"
"Nov 2007","2.3","1.8","2.2"
"Dec 2007","0.7","1.6","2.3"
"Jan 2008","1.2","1.7","2.4"
"Feb 2008","1.2","1.6","2.6"
"Mar 2008","2.4","1.7","2.6"
"Apr 2008","1.7","1.5","3.0"
"May 2008","0.8","0.4","3.3"
"Jun 2008","-0.3","-0.2","3.7"
"Jul 2008","-0.8","-0.8","4.2"
"Aug 2008","-1.2","-1.1","4.4"
"Sep 2008","-2.1","-1.4","4.8"
"Oct 2008","-0.8","-0.5","4.2"
"Nov 2008","-1.5","-0.5","3.8"
"Dec 2008","-0.6","0.1","3.0"
"Jan 2009","-4.2","-0.2","2.9"
"Feb 2009","-8.7","-0.5","3.1"
"Mar 2009","-3.6","-0.8","2.8"
"Apr 2009","-0.9","-0.3","2.3"
"May 2009","-1.3","0.2","2.1"
"Jun 2009","-0.6","0.3","1.7"
"Jul 2009","-1.1","-0.2","1.6"
"Aug 2009","-0.8","-0.2","1.4"
"Sep 2009","-0.1","0.5","1.0"
"Oct 2009","-0.9","-0.2","1.2"
"Nov 2009","-0.6","-0.5","1.5"
"Dec 2009","-1.1","-0.7","2.1"
"Jan 2010","0.1","-0.7","2.6"
"Feb 2010","6.6","-0.6","2.1"
"Mar 2010","-0.1","-0.3","2.4"
"Apr 2010","-1.2","-1.2","2.7"
"May 2010","-0.9","-1.3","2.5"
"Jun 2010","-1.4","-1.0","2.4"
"Jul 2010","-0.9","-0.1","2.3"
"Aug 2010","-0.8","-0.1","2.4"
"Sep 2010","-0.8","-0.2","2.4"
"Oct 2010","-0.7","-0.3","2.5"
"Nov 2010","-0.8","-0.2","2.6"
"Dec 2010","-0.8","-1.2","3.1"
"Jan 2011","1.1","-1.1","3.4"
"Feb 2011","-1.9","-1.5","3.7"
"Mar 2011","-1.0","-1.8","3.5"
"Apr 2011","-1.6","-1.7","3.8"
"May 2011","-1.6","-1.5","3.8"
"Jun 2011","-0.7","-1.6","3.6"
"Jul 2011","-1.0","-2.2","3.8"
"Aug 2011","-1.9","-2.2","3.9"
"Sep 2011","-2.5","-2.7","4.5"
"Oct 2011","-2.1","-2.4","4.3"
"Nov 2011","-2.1","-2.3","4.1"
"Dec 2011","-1.8","-1.6","3.7"
"Jan 2012","-2.8","-2.2","3.2"
"Feb 2012","-2.1","-1.4","3.1"
"Mar 2012","-2.2","-1.1","3.1"
"Apr 2012","-0.8","-1.1","2.8"
"May 2012","-1.0","-0.8","2.5"
"Jun 2012","-1.1","-0.3","2.3"
"Jul 2012","-0.9","-0.5","2.4"
"Aug 2012","-0.1","-0.2","2.3"
"Sep 2012","-0.3","-0.5","2.1"
"Oct 2012","-1.0","-1.1","2.4"
"Nov 2012","-0.9","-1.0","2.4"
"Dec 2012","-1.4","-1.2","2.4"
"Jan 2013","-1.2","-1.4","2.4"
"Feb 2013","-1.3","-1.7","2.5"
"Mar 2013","-3.2","-1.8","2.5"
"Apr 2013","1.5","-1.0","2.2"
"May 2013","-0.8","-1.4","2.4"
"Jun 2013","-1.4","-1.7","2.6"
"Jul 2013","-1.6","-1.4","2.5"
"Aug 2013","-1.8","-1.9","2.4"
"Sep 2013","-1.3","-1.7","2.4"
"Oct 2013","-1.1","-1.1","2.0"
"Nov 2013","-1.1","-1.3","1.9"
"Dec 2013","-0.6","-0.7","1.9"
"Jan 2014","-0.2","-0.1","1.8"
"Feb 2014","0.4","-0.6","1.6"
"Mar 2014","0.0","-0.8","1.5"
"Apr 2014","-3.3","-1.2","1.7"
"May 2014","-1.2","-0.9","1.5"
"Jun 2014","-1.0","-1.1","1.8"
"Jul 2014","-1.2","-1.0","1.6"
"Aug 2014","-0.7","-0.5","1.5"
"Sep 2014","0.1","0.4","1.3"
"Oct 2014","0.6","0.4","1.3"
"Nov 2014","0.7","0.5","1.1"
"Dec 2014","1.5","0.7","0.7"
"Jan 2015","0.9","1.0","0.5"
"Feb 2015","1.0","1.8","0.4"
"Mar 2015","3.7","2.5","0.3"
"Apr 2015","2.2","2.5","0.3"
"May 2015","2.1","2.3","0.4"
"Jun 2015","2.1","2.4","0.3"
"Jul 2015","3.1","2.5","0.5"
"Aug 2015","2.8","2.1","0.4"
"Sep 2015","1.8","1.6","0.2"
"Oct 2015","1.6","1.4","0.2"
"Nov 2015","1.6","1.7","0.4"
"Dec 2015","1.2","1.5","0.5"
"Jan 2016","2.0","1.6","0.6"
"Feb 2016","1.0","1.8","0.6"
"Mar 2016","1.1","1.4","0.8"
"Apr 2016","2.2","1.7","0.7"
"May 2016","1.7","1.3","0.7"
"Jun 2016","1.8","1.4","0.8"
"Jul 2016","1.7","1.3","0.9"
"Aug 2016","1.3","1.4","1.0"
"Sep 2016","1.2","1.3","1.3"
"Oct 2016","1.4","1.3","1.3"
"Nov 2016","1.3","1.2","1.5"
