,value1,value2,value3,time1,time2,time3
0,-2.603406706,0.233291053,-2.855103623,2015-01-01 13:08:14.214620687,2015-01-03 21:55:58.228398768,2015-01-03 19:20:02.507282375
1,-3.286932057,0.1766184,-3.027077729,2015-01-12 18:23:38.264132184,2015-01-13 13:40:46.019974438,2015-01-09 20:20:18.343595255
2,-3.532604326,0.074580393,-3.111241977,2015-01-21 10:57:24.712931519,2015-01-21 00:07:17.858817264,2015-01-18 04:29:56.591345903
3,-3.723814104,-0.003733561,-3.286129897,2015-01-26 16:13:34.289928983,2015-01-31 10:35:42.271165248,2015-01-22 04:01:48.261974807
4,-3.827263281,-0.012712634,-3.345645999,2015-02-02 14:47:48.822171792,2015-02-09 19:24:44.292184919,2015-01-30 14:05:45.402723671
5,-3.782528045,-0.011868254,-3.408343301,2015-02-13 11:55:41.428520472,2015-02-19 16:55:26.396838048,2015-02-02 19:28:35.038161696
6,-3.72151317,-0.0028735,-3.297982876,2015-02-22 15:26:44.032209073,2015-02-28 20:35:51.524234017,2015-02-12 16:39:32.884039151
7,-3.769972119,-0.042051309,-3.242380475,2015-03-04 07:10:03.001483849,2015-03-12 07:50:09.532879079,2015-02-22 14:00:22.854044952
8,-3.916216569,-0.050403632,-3.186778073,2015-03-12 09:34:36.291229969,2015-03-21 09:34:56.822301912,2015-03-04 11:21:12.824050752
9,-4.009471972,-0.095190937,-3.144865176,2015-03-21 03:39:39.974998103,2015-03-31 07:13:52.372494480,2015-03-14 08:44:30.827718384
10,-4.162287807,-0.021335861,-3.056386851,2015-03-27 02:37:43.216906296,2015-04-10 04:31:24.964284504,2015-03-24 11:55:41.577704328
11,-4.142299229,0.047956046,-2.967971855,2015-04-05 18:08:42.028390895,2015-04-20 01:49:46.900628472,2015-04-02 21:18:04.162215023
12,-3.92242276,0.117247954,-2.748433138,2015-04-15 14:59:55.594454712,2015-04-29 23:08:08.847491422,2015-04-08 19:09:00.894832777
13,-3.702546291,0.090776651,-2.512593671,2015-04-25 11:51:09.171037512,2015-05-10 14:32:35.174424482,2015-04-13 05:19:23.662417224
14,-3.488581988,0.064178691,-2.271067307,2015-05-04 20:00:00.356633208,2015-05-19 18:19:25.191445006,2015-04-20 02:51:27.742174270
15,-3.253180995,0.006398996,-2.067998216,2015-05-13 06:52:35.863265064,2015-05-30 04:44:07.558559738,2015-04-25 12:52:50.002064328
16,-3.04121757,0.063585866,-1.858533652,2015-05-22 02:18:22.371557978,2015-06-08 13:21:14.078287728,2015-05-01 00:51:48.533168374
17,-2.813639153,0.083118127,-1.880638809,2015-05-30 13:12:22.482378146,2015-06-18 04:52:17.823175826,2015-05-09 08:50:15.701296776
18,-2.617338971,0.122314232,-1.998971584,2015-06-08 03:35:35.832995088,2015-06-28 08:12:21.485929176,2015-05-13 00:16:54.095617704
19,-2.182648793,0.095842929,-2.043857401,2015-06-22 00:47:12.408889490,2015-07-08 23:36:47.823381216,2015-05-21 18:13:14.733425424
20,-2.076992267,0.063705838,-2.162190177,2015-06-30 06:23:52.569606554,2015-07-17 09:35:48.896806416,2015-05-25 09:39:53.138265338
21,-2.238492195,0.031779843,-2.207075993,2015-07-06 01:25:58.868455298,2015-07-28 06:57:30.493765154,2015-06-03 03:36:13.776073056
22,-2.422857221,0.016175706,-2.354584902,2015-07-11 06:40:54.423362352,2015-08-06 22:34:54.184355332,2015-06-07 03:03:09.379378298
23,-2.504487626,-0.043277067,-2.414101003,2015-07-17 05:26:07.896540408,2015-08-16 02:27:39.480060456,2015-06-15 13:07:06.520127162
24,-2.976247831,-0.082454877,-2.561609912,2015-07-23 11:17:56.371966942,2015-08-27 13:41:57.488705520,2015-06-19 12:34:02.123432400
25,-3.155137055,-0.104496705,-2.633909922,2015-07-28 16:31:52.715513068,2015-09-05 15:29:12.811790188,2015-06-27 20:41:32.081654186
