Default Dataset,,Dataset 1,,Dataset 2,
X,Y,X,Y,X,Y
0.904496082,-2.603406706,0.923933702,0.233291053,0.923044289,-2.855103623
0.996646051,-3.286932057,1.003246285,0.1766184,0.972670359,-3.027077729
1.06802428,-3.532604326,1.064316046,0.074580393,1.041173006,-3.111241977
1.110896251,-3.723814104,1.150037672,-0.003733561,1.073867387,-3.286129897
1.167903138,-3.827263281,1.226978755,-0.012712634,1.143022083,-3.345645999
1.257272283,-3.782528045,1.308264372,-0.011868254,1.169504644,-3.408343301
1.332399558,-3.72151317,1.383445124,-0.0028735,1.250677678,-3.297982876
1.411703697,-3.769972119,1.477642245,-0.042051309,1.331907003,-3.242380475
1.478238002,-3.916216569,1.552163443,-0.050403632,1.413136328,-3.186778073
1.550136931,-4.009471972,1.63349597,-0.095190937,1.494379726,-3.144865176
1.599065919,-4.162287807,1.714706531,-0.021335861,1.577607417,-3.056386851
1.678299694,-4.142299229,1.795921783,0.047956046,1.654738686,-2.967971855
1.759360143,-3.92242276,1.877137036,0.117247954,1.703284889,-2.748433138
1.840420593,-3.702546291,1.96454722,0.090776651,1.739621361,-2.512593671
1.917132487,-3.488581988,2.039764562,0.064178691,1.796273608,-2.271067307
1.986564621,-3.253180995,2.125465079,0.006398996,1.840772417,-2.067998216
2.058923939,-3.04121757,2.202338142,0.063585866,1.885942039,-1.858533652
2.128364116,-2.813639153,2.281572386,0.083118127,1.954380889,-1.880638809
2.198997682,-2.617338971,2.364850739,0.122314232,1.984307581,-1.998971584
2.313029282,-2.182648793,2.452260924,0.095842929,2.056156786,-2.043857401
2.380659403,-2.076992267,2.521387474,0.063705838,2.086083479,-2.162190177
2.428242544,-2.238492195,2.610835428,0.031779843,2.157932684,-2.207075993
2.471107478,-2.422857221,2.690105792,0.016175706,2.190598919,-2.354584902
2.519963287,-2.504487626,2.765356909,-0.043277067,2.259753615,-2.414101003
2.571252316,-2.976247831,2.85955403,-0.082454877,2.29241985,-2.561609912
2.614111621,-3.155137055,2.934089301,-0.104496705,2.360910301,-2.633909922
2.673138452,-3.246700884,3.015374918,-0.103652325,2.411779486,-2.697266544
2.738291726,-3.085007704,3.096660536,-0.102807946,2.489706348,-2.723836358
2.815073985,-2.939490928,3.183977838,-0.038928512,2.570991965,-2.722991978
2.880984856,-2.808754567,3.261131624,0.027583276,2.645550691,-2.767849649
2.976983789,-2.294395407,3.33828541,0.094095063,2.730138771,-2.684833053
3.035654104,-2.039158428,3.419514736,0.149697465,2.82079325,-2.57254885
3.080152913,-1.836089337,3.508895139,0.183481096,2.897980811,-2.538891876
3.125322535,-1.626624773,3.584022414,0.244495972,2.961413025,-2.679823067
3.193130914,-1.694368651,3.669674681,0.233651724,3.031685519,-2.791217856
3.242735406,-1.845352182,3.746537357,0.300942753,3.086035425,-2.945802666
3.315982528,-1.932205076,3.827822974,0.301787133,3.154458325,-2.95239305
3.347617213,-2.064666083,3.909108591,0.302631513,3.24513532,-2.862012056
3.417814718,-2.15018169,3.990394209,0.303475892,3.326308354,-2.751651632
3.45050347,-2.319593808,4.071679826,0.304320272,3.406184795,-2.69788857
3.519703199,-2.422916327,4.152937297,0.332543663,3.469633093,-2.85446491
3.552391951,-2.592328444,4.234152549,0.40183557,3.540587524,-2.970285455
3.621591681,-2.695650964,4.315353729,0.484816984,3.573253759,-3.117794364
3.648181197,-2.862388509,4.396597127,0.52672988,3.648486112,-3.158994463
3.698970635,-2.848171266,4.477953109,0.459126732,3.668882572,-3.231794064
3.729945296,-3.326987319,4.559309091,0.391523584,3.736414183,-3.030310999
3.770817964,-3.550160386,4.645037754,0.306364877,3.810794651,-2.901768266
3.811695322,-3.777896623,4.721978837,0.297385804,3.89049203,-2.767955196
3.852600827,-4.03301187,4.803264454,0.298230184,3.976482272,-2.636901606
3.913766753,-4.228594832,4.880185433,0.308807547,4.057653741,-2.525020126
3.993084965,-4.290743288,4.965737178,0.395745482,4.141538171,-2.416456823
4.078536189,-4.388421129,5.04695243,0.46503739,4.21074353,-2.525255145
4.162221453,-4.46264934,5.134269733,0.528916823,4.243415395,-2.678239855
4.239162536,-4.471628414,5.209397008,0.589931699,4.312581349,-2.748707561
4.320448153,-4.470784034,5.288633597,0.607182376,4.345270101,-2.918119679
4.40161415,-4.353578857,5.378014001,0.640966007,4.417096789,-2.941102286
4.391643433,-4.53849273,5.45321164,0.633533355,4.501637959,-2.812454005
4.446226548,-3.978605673,5.534497258,0.634377735,4.586179129,-2.683805724
4.486503459,-3.622256338,5.611418236,0.644955098,4.662013807,-2.651988091
4.45229804,-4.236690322,5.693573699,0.740984187,4.711616422,-2.801146354
4.526824599,-3.308931164,5.774746732,0.851344612,4.780136895,-2.902650643
4.492574951,-3.880340988,5.85319711,0.974453762,4.812825647,-3.07206276
4.564848222,-3.019880096,5.940517227,1.035595295,4.881957826,-3.109675653
4.62983825,-2.322858039,6.015768344,0.976142521,4.914601544,-3.235281352
4.613433829,-2.838671994,6.109965465,0.936964711,4.98975978,-3.204383389
4.704218718,-2.194315305,6.184402225,1.010749422,5.071045397,-3.203539009
4.78529324,-1.988128342,6.265575258,1.121109847,5.152302868,-3.175315618
4.866395908,-1.80932039,6.346748292,1.231470271,5.23341961,-3.010197172
4.947498577,-1.630512438,6.431317608,1.332739541,5.314522278,-2.83138922
5.027195956,-1.496699368,6.512490641,1.443099965,5.391260307,-2.642848284
