,wealth,current,effect
0,0,0.0,0.0
1,250,0.0,0.0
2,500,0.0,0.0
3,750,0.0,0.0
4,1000,0.0,0.0
5,1250,0.0,0.0
6,1500,0.0,0.0
7,1750,0.0,0.0
8,2000,0.0,0.0
9,2250,0.0,0.0
10,2500,0.0,0.0
11,2750,0.0,0.0
12,3000,0.0,0.0
13,3250,0.0,0.0
14,3500,0.0,0.0
15,3750,0.0,0.0
16,4000,0.0,0.0
17,4250,0.0,0.0
18,4500,0.0,0.0
19,4750,0.0,0.0
20,5000,0.0,0.0
21,5250,0.0,0.0
22,5500,0.0,0.0
23,5750,0.0,0.0
24,6000,0.0,0.0
25,6250,0.0,0.0
26,6500,0.0,0.0
27,6750,0.0,0.0
28,7000,0.0,0.0
29,7250,0.0,0.0
30,7500,0.0,0.0
31,7750,0.0,0.0
32,8000,0.0,0.0
33,8250,0.0,0.0
34,8500,0.0,0.0
35,8750,0.0,0.0
36,9000,0.0,0.0
37,9250,0.0,0.0
38,9500,0.0,0.0
39,9750,0.0,0.0
40,10000,0.0,0.0
41,10250,0.0,0.0
42,10500,0.0,0.0
43,10750,0.0,0.0
44,11000,0.0,0.0
45,11250,0.0,0.0
46,11500,0.0,0.0
47,11750,0.0,0.0
48,12000,0.0,0.0
49,12250,0.0,0.0
50,12500,0.0,0.0
51,12750,0.0,0.0
52,13000,0.0,0.0
53,13250,0.0,0.0
54,13500,0.0,0.0
55,13750,0.0,0.0
56,14000,0.0,0.0
57,14250,0.0,0.0
58,14500,1.398707,0.7521552
59,14750,2.750013,1.478814
60,15000,4.056243,2.18125
61,15250,5.319659,2.860656
62,15500,6.542339,3.518164
63,15750,7.726172,4.15478
64,16000,8.873096,4.771497
65,16250,9.984633,5.369261
66,16500,11.06251,5.948875
67,16750,12.10824,6.51124
68,17000,13.12319,7.056985
69,17250,14.10876,7.586974
70,17500,15.06605,8.101803
71,17750,15.9965,8.602146
72,18000,16.9011,9.088613
73,18250,17.78086,9.561697
74,18500,18.63687,10.02201
75,18750,19.46997,10.46998
76,19000,20.28124,10.90625
77,19250,21.07147,11.33123
78,19500,21.84141,11.74523
79,19750,22.59183,12.14877
80,20000,23.32344,12.54224
81,20250,24.03709,12.92598
82,20500,24.73329,13.3004
83,20750,25.41267,13.66573
84,21000,26.07593,14.02239
85,21250,26.72355,14.37067
86,21500,27.35616,14.71087
87,21750,27.97417,15.04315
88,22000,28.57814,15.36793
89,22250,29.16857,15.68545
90,22500,29.74584,15.99588
91,22750,30.31047,16.29948
92,23000,30.86282,16.59653
93,23250,31.86372,18.26247
94,23500,32.38707,18.53
95,23750,32.8992,18.79171
96,24000,33.84823,20.38435
97,24250,34.33407,20.61929
98,24500,35.25033,22.16466
99,24750,35.71143,22.37456
100,25000,36.16325,22.58025
101,25250,37.03471,24.06183
102,25500,37.46397,24.2447
103,25750,38.30711,25.68508
104,26000,38.71518,25.84663
105,26250,39.11541,26.005
106,26500,39.91963,27.38949
107,26750,40.30042,27.5284
108,27000,41.07992,28.87668
109,27250,41.44241,28.99729
110,27500,42.19854,30.31121
111,27750,42.54367,30.4146
112,28000,42.88268,30.51614
113,28250,43.60646,31.78316
114,28500,43.9295,31.86886
115,28750,44.63276,33.10543
116,29000,44.94067,33.17627
117,29250,45.24333,33.24585
118,29500,45.91801,34.44064
119,29750,46.2067,34.49649
120,30000,46.86321,35.66426
121,30250,47.1387,35.7071
122,30500,47.77788,36.84904
123,30750,48.04077,36.87962
124,31000,48.29942,36.90968
125,31250,48.91442,38.01588
126,31500,49.16145,38.03458
127,31750,49.76098,39.11763
128,32000,49.99689,39.12555
129,32250,50.22909,39.13332
130,32500,50.80703,40.18419
131,32750,51.02892,40.18193
132,33000,51.59306,41.21193
133,33250,51.8051,41.2002
134,33500,52.356,42.21022
135,33750,52.55865,42.18947
136,34000,52.75831,42.16902
137,34250,53.29061,43.15107
138,34500,53.48147,43.12217
139,34750,54.00193,44.08617
140,35000,54.18439,44.04929
141,35250,54.3643,44.01289
142,35500,54.86789,44.95139
143,35750,55.03988,44.90749
144,36000,55.53275,45.82959
145,36250,55.69727,45.77855
146,36500,56.1798,46.68487
147,36750,56.33711,46.62701
148,37000,56.49228,46.56995
