,region,date,value,NUTS
0,Tees Valley and Durham,2014-07-28,100.0,2
1,Tees Valley and Durham,2014-08-28,100.2,2
2,Tees Valley and Durham,2014-09-28,100.3,2
3,Tees Valley and Durham,2014-10-28,100.4,2
4,Tees Valley and Durham,2014-11-28,100.7,2
5,Tees Valley and Durham,2014-12-28,100.4,2
6,Tees Valley and Durham,2015-01-28,101.2,2
7,Tees Valley and Durham,2015-02-28,101.4,2
8,Tees Valley and Durham,2015-03-28,101.4,2
9,Tees Valley and Durham,2015-04-28,101.3,2
10,Tees Valley and Durham,2015-05-28,101.5,2
11,Tees Valley and Durham,2015-06-28,101.6,2
12,Tees Valley and Durham,2015-07-28,101.8,2
13,Tees Valley and Durham,2015-08-28,101.8,2
14,Tees Valley and Durham,2015-09-28,101.8,2
15,Tees Valley and Durham,2015-10-28,101.8,2
16,Tees Valley and Durham,2015-11-28,101.7,2
17,Tees Valley and Durham,2015-12-28,101.3,2
18,Tees Valley and Durham,2016-01-28,101.9,2
19,Tees Valley and Durham,2016-02-28,101.8,2
20,Tees Valley and Durham,2016-03-28,101.7,2
21,Tees Valley and Durham,2016-04-28,101.9,2
22,Tees Valley and Durham,2016-05-28,102.0,2
23,Tees Valley and Durham,2016-06-28,102.0,2
24,Tees Valley and Durham,2016-07-28,102.1,2
25,Tees Valley and Durham,2016-08-28,102.0,2
26,Tees Valley and Durham,2016-09-28,102.1,2
27,Tees Valley and Durham,2016-10-28,102.0,2
28,Tees Valley and Durham,2016-11-28,102.1,2
29,Tees Valley and Durham,2016-12-28,102.2,2
30,Tees Valley and Durham,2017-01-28,102.0,2
31,Tees Valley and Durham,2017-02-28,102.2,2
32,Tees Valley and Durham,2017-03-28,102.3,2
33,Tees Valley and Durham,2017-04-28,102.5,2
34,Tees Valley and Durham,2017-05-28,102.5,2
35,Tees Valley and Durham,2017-06-28,102.6,2
36,Tees Valley and Durham,2017-07-28,102.5,2
37,Tees Valley and Durham,2017-08-28,102.7,2
38,Tees Valley and Durham,2017-09-28,102.8,2
39,Tees Valley and Durham,2017-10-28,103.0,2
40,Tees Valley and Durham,2017-11-28,103.1,2
41,Tees Valley and Durham,2017-12-28,103.3,2
42,Tees Valley and Durham,2018-01-28,103.1,2
43,Tees Valley and Durham,2018-02-28,103.1,2
44,Tees Valley and Durham,2018-03-28,103.0,2
45,Tees Valley and Durham,2018-04-28,103.3,2
46,Tees Valley and Durham,2018-05-28,103.2,2
47,Tees Valley and Durham,2018-06-28,103.4,2
48,Tees Valley and Durham,2018-07-28,103.4,2
49,Tees Valley and Durham,2018-08-28,103.5,2
50,Tees Valley and Durham,2018-09-28,103.4,2
51,Tees Valley and Durham,2018-10-28,103.6,2
52,Tees Valley and Durham,2018-11-28,103.8,2
53,Tees Valley and Durham,2018-12-28,103.8,2
54,Tees Valley and Durham,2019-01-28,104.0,2
55,Tees Valley and Durham,2019-02-28,104.2,2
56,Tees Valley and Durham,2019-03-28,104.4,2
57,Tees Valley and Durham,2019-04-28,103.0,2
58,Tees Valley and Durham,2019-05-28,103.2,2
59,Tees Valley and Durham,2019-06-28,103.3,2
60,Tees Valley and Durham,2019-07-28,103.4,2
61,Tees Valley and Durham,2019-08-28,103.6,2
62,Tees Valley and Durham,2019-09-28,103.8,2
63,Tees Valley and Durham,2019-10-28,103.9,2
64,Tees Valley and Durham,2019-11-28,104.0,2
65,Tees Valley and Durham,2019-12-28,103.9,2
66,Tees Valley and Durham,2020-01-28,104.1,2
67,Tees Valley and Durham,2020-02-28,104.3,2
68,Tees Valley and Durham,2020-03-28,104.3,2
69,Tees Valley and Durham,2020-04-28,102.9,2
70,Tees Valley and Durham,2020-05-28,102.3,2
71,Tees Valley and Durham,2020-06-28,102.3,2
72,Tees Valley and Durham,2020-07-28,102.3,2
73,Tees Valley and Durham,2020-08-28,102.1,2
74,Tees Valley and Durham,2020-09-28,101.9,2
75,Tees Valley and Durham,2020-10-28,101.8,2
76,Tees Valley and Durham,2020-11-28,101.7,2
77,Tees Valley and Durham,2020-12-28,101.8,2
78,Tees Valley and Durham,2021-01-28,101.9,2
79,Tees Valley and Durham,2021-02-28,101.9,2
80,Tees Valley and Durham,2021-03-28,102.2,2
81,Tees Valley and Durham,2021-04-28,102.8,2
