,itl,region,year,gdhi_per_head
0,UK,United Kingdom,1997,10788.0
1,UK,United Kingdom,1998,11019.0
2,UK,United Kingdom,1999,11528.0
3,UK,United Kingdom,2000,12250.0
4,UK,United Kingdom,2001,12654.0
5,UK,United Kingdom,2002,13008.0
6,UK,United Kingdom,2003,13344.0
7,UK,United Kingdom,2004,13857.0
8,UK,United Kingdom,2005,14392.0
9,UK,United Kingdom,2006,14942.0
10,UK,United Kingdom,2007,15653.0
11,UK,United Kingdom,2008,16077.0
12,UK,United Kingdom,2009,16306.0
13,UK,United Kingdom,2010,16506.0
14,UK,United Kingdom,2011,16745.0
15,UK,United Kingdom,2012,17382.0
16,UK,United Kingdom,2013,17983.0
17,UK,United Kingdom,2014,18511.0
18,UK,United Kingdom,2015,19511.0
19,UK,United Kingdom,2016,19727.0
20,UK,United Kingdom,2017,20051.0
21,UK,United Kingdom,2018,20908.0
22,UK,United Kingdom,2019,21433.0
23,ITL2,North Eastern Scotland,1997,11078.0
24,ITL2,North Eastern Scotland,1998,11260.0
25,ITL2,North Eastern Scotland,1999,11201.0
26,ITL2,North Eastern Scotland,2000,12037.0
27,ITL2,North Eastern Scotland,2001,12615.0
28,ITL2,North Eastern Scotland,2002,13094.0
29,ITL2,North Eastern Scotland,2003,13328.0
30,ITL2,North Eastern Scotland,2004,14265.0
31,ITL2,North Eastern Scotland,2005,15327.0
32,ITL2,North Eastern Scotland,2006,16060.0
33,ITL2,North Eastern Scotland,2007,17114.0
34,ITL2,North Eastern Scotland,2008,17987.0
35,ITL2,North Eastern Scotland,2009,18298.0
36,ITL2,North Eastern Scotland,2010,18725.0
37,ITL2,North Eastern Scotland,2011,19644.0
38,ITL2,North Eastern Scotland,2012,20355.0
39,ITL2,North Eastern Scotland,2013,21514.0
40,ITL2,North Eastern Scotland,2014,21963.0
41,ITL2,North Eastern Scotland,2015,22025.0
42,ITL2,North Eastern Scotland,2016,20944.0
43,ITL2,North Eastern Scotland,2017,20972.0
44,ITL2,North Eastern Scotland,2018,21662.0
45,ITL2,North Eastern Scotland,2019,22151.0
46,ITL2,Highlands and Islands,1997,8888.0
47,ITL2,Highlands and Islands,1998,9062.0
48,ITL2,Highlands and Islands,1999,9289.0
49,ITL2,Highlands and Islands,2000,9856.0
50,ITL2,Highlands and Islands,2001,10326.0
51,ITL2,Highlands and Islands,2002,10812.0
52,ITL2,Highlands and Islands,2003,11004.0
53,ITL2,Highlands and Islands,2004,11441.0
54,ITL2,Highlands and Islands,2005,11878.0
55,ITL2,Highlands and Islands,2006,12801.0
56,ITL2,Highlands and Islands,2007,13550.0
57,ITL2,Highlands and Islands,2008,15018.0
58,ITL2,Highlands and Islands,2009,15403.0
59,ITL2,Highlands and Islands,2010,15800.0
60,ITL2,Highlands and Islands,2011,15835.0
61,ITL2,Highlands and Islands,2012,16511.0
