,medalType,participantType,eventId,eventGender,eventName,disciplineId,disciplineName,gameId,gameName,gameSeason,name,country,ico2,ico3,year
0,GOLD,Athlete,foil-individual-men,Men,foil individual men,fencing,Fencing,athens-1896,Athens 1896,Summer,Eugène-Henri GRAVELOTTE,France,FR,FRA,1896
1,SILVER,Athlete,foil-individual-men,Men,foil individual men,fencing,Fencing,athens-1896,Athens 1896,Summer,Henri CALLOT,France,FR,FRA,1896
2,BRONZE,Athlete,foil-individual-men,Men,foil individual men,fencing,Fencing,athens-1896,Athens 1896,Summer,Athanasios Vouros,Greece,GR,GRE,1896
3,BRONZE,Athlete,foil-individual-men,Men,foil individual men,fencing,Fencing,athens-1896,Athens 1896,Summer,Periklis Pierrakos-Mavromikhalis,Greece,GR,GRE,1896
0,GOLD,Athlete,sabre-individual-men,Men,sabre individual men,fencing,Fencing,athens-1896,Athens 1896,Summer,Ioannis GEORGIADIS,Greece,GR,GRE,1896
1,SILVER,Athlete,sabre-individual-men,Men,sabre individual men,fencing,Fencing,athens-1896,Athens 1896,Summer,Tilemakhos Karakalos,Greece,GR,GRE,1896
2,BRONZE,Athlete,sabre-individual-men,Men,sabre individual men,fencing,Fencing,athens-1896,Athens 1896,Summer,Holger NIELSEN,Denmark,DK,DEN,1896
0,GOLD,Athlete,foil-masters-men,Men,foil masters men,fencing,Fencing,athens-1896,Athens 1896,Summer,Leon Pyrgos,Greece,GR,GRE,1896
1,SILVER,Athlete,foil-masters-men,Men,foil masters men,fencing,Fencing,athens-1896,Athens 1896,Summer,Joanni Perronet,France,FR,FRA,1896
0,GOLD,Athlete,marathon-men,Men,marathon men,athletics,Athletics,athens-1896,Athens 1896,Summer,Spyridon LOUIS,Greece,GR,GRE,1896
1,SILVER,Athlete,marathon-men,Men,marathon men,athletics,Athletics,athens-1896,Athens 1896,Summer,Kharilaos VASILAKOS,Greece,GR,GRE,1896
2,BRONZE,Athlete,marathon-men,Men,marathon men,athletics,Athletics,athens-1896,Athens 1896,Summer,Gyula KELLNER,Hungary,HU,HUN,1896
0,GOLD,Athlete,100m-men,Men,100m men,athletics,Athletics,athens-1896,Athens 1896,Summer,Thomas BURKE,United States of America,US,USA,1896
1,SILVER,Athlete,100m-men,Men,100m men,athletics,Athletics,athens-1896,Athens 1896,Summer,Fritz HOFMANN,Germany,DE,GER,1896
2,BRONZE,Athlete,100m-men,Men,100m men,athletics,Athletics,athens-1896,Athens 1896,Summer,Alajos SZOKOLYI,Hungary,HU,HUN,1896
3,BRONZE,Athlete,100m-men,Men,100m men,athletics,Athletics,athens-1896,Athens 1896,Summer,Francis LANE,United States of America,US,USA,1896
0,GOLD,Athlete,1500m-men,Men,1500m men,athletics,Athletics,athens-1896,Athens 1896,Summer,Edwin FLACK,Australia,AU,AUS,1896
1,SILVER,Athlete,1500m-men,Men,1500m men,athletics,Athletics,athens-1896,Athens 1896,Summer,Arthur BLAKE,United States of America,US,USA,1896
2,BRONZE,Athlete,1500m-men,Men,1500m men,athletics,Athletics,athens-1896,Athens 1896,Summer,Albin LERMUSIAUX,France,FR,FRA,1896
0,GOLD,Athlete,discus-throw-men,Men,discus throw men,athletics,Athletics,athens-1896,Athens 1896,Summer,Bob Garrett,United States of America,US,USA,1896
1,SILVER,Athlete,discus-throw-men,Men,discus throw men,athletics,Athletics,athens-1896,Athens 1896,Summer,Panagiotis PARASKEVOPOULOS,Greece,GR,GRE,1896
2,BRONZE,Athlete,discus-throw-men,Men,discus throw men,athletics,Athletics,athens-1896,Athens 1896,Summer,Sotirios VERSIS,Greece,GR,GRE,1896
0,GOLD,Athlete,shot-put-men,Men,shot put men,athletics,Athletics,athens-1896,Athens 1896,Summer,Bob Garrett,United States of America,US,USA,1896
1,SILVER,Athlete,shot-put-men,Men,shot put men,athletics,Athletics,athens-1896,Athens 1896,Summer,Miltiadis GOUSKOS,Greece,GR,GRE,1896
2,BRONZE,Athlete,shot-put-men,Men,shot put men,athletics,Athletics,athens-1896,Athens 1896,Summer,Georgios PAPASIDERIS,Greece,GR,GRE,1896
0,GOLD,Athlete,pole-vault-men,Men,pole vault men,athletics,Athletics,athens-1896,Athens 1896,Summer,William Welles HOYT,United States of America,US,USA,1896
1,SILVER,Athlete,pole-vault-men,Men,pole vault men,athletics,Athletics,athens-1896,Athens 1896,Summer,Albert TYLER,United States of America,US,USA,1896
2,BRONZE,Athlete,pole-vault-men,Men,pole vault men,athletics,Athletics,athens-1896,Athens 1896,Summer,Evangelos DAMASKOS,Greece,GR,GRE,1896
3,BRONZE,Athlete,pole-vault-men,Men,pole vault men,athletics,Athletics,athens-1896,Athens 1896,Summer,Ioannis THEODOROPOULOS,Greece,GR,GRE,1896
