,medalType,participantType,eventId,eventGender,eventName,disciplineId,disciplineName,gameId,gameName,gameSeason,name,country,ico2,ico3,year,sport,ico3eq
0,Gold,Athlete,foil-individual-men,Men,foil individual men,fencing,Fencing,athens-1896,Athens 1896,Summer,Eugène-Henri GRAVELOTTE,France,FR,FRA,1896,Fencing,FRA
1,Silver,Athlete,foil-individual-men,Men,foil individual men,fencing,Fencing,athens-1896,Athens 1896,Summer,Henri CALLOT,France,FR,FRA,1896,Fencing,FRA
2,Bronze,Athlete,foil-individual-men,Men,foil individual men,fencing,Fencing,athens-1896,Athens 1896,Summer,Athanasios Vouros,Greece,GR,GRE,1896,Fencing,GRE
3,Bronze,Athlete,foil-individual-men,Men,foil individual men,fencing,Fencing,athens-1896,Athens 1896,Summer,Periklis Pierrakos-Mavromikhalis,Greece,GR,GRE,1896,Fencing,GRE
4,Gold,Athlete,sabre-individual-men,Men,sabre individual men,fencing,Fencing,athens-1896,Athens 1896,Summer,Ioannis GEORGIADIS,Greece,GR,GRE,1896,Fencing,GRE
5,Silver,Athlete,sabre-individual-men,Men,sabre individual men,fencing,Fencing,athens-1896,Athens 1896,Summer,Tilemakhos Karakalos,Greece,GR,GRE,1896,Fencing,GRE
6,Bronze,Athlete,sabre-individual-men,Men,sabre individual men,fencing,Fencing,athens-1896,Athens 1896,Summer,Holger NIELSEN,Denmark,DK,DEN,1896,Fencing,DEN
7,Gold,Athlete,foil-masters-men,Men,foil masters men,fencing,Fencing,athens-1896,Athens 1896,Summer,Leon Pyrgos,Greece,GR,GRE,1896,Fencing,GRE
8,Silver,Athlete,foil-masters-men,Men,foil masters men,fencing,Fencing,athens-1896,Athens 1896,Summer,Joanni Perronet,France,FR,FRA,1896,Fencing,FRA
9,Gold,Athlete,marathon-men,Men,marathon men,athletics,Athletics,athens-1896,Athens 1896,Summer,Spyridon LOUIS,Greece,GR,GRE,1896,Athletics,GRE
10,Silver,Athlete,marathon-men,Men,marathon men,athletics,Athletics,athens-1896,Athens 1896,Summer,Kharilaos VASILAKOS,Greece,GR,GRE,1896,Athletics,GRE
11,Bronze,Athlete,marathon-men,Men,marathon men,athletics,Athletics,athens-1896,Athens 1896,Summer,Gyula KELLNER,Hungary,HU,HUN,1896,Athletics,HUN
12,Gold,Athlete,100m-men,Men,100m men,athletics,Athletics,athens-1896,Athens 1896,Summer,Thomas BURKE,United States of America,US,USA,1896,Athletics,USA
13,Silver,Athlete,100m-men,Men,100m men,athletics,Athletics,athens-1896,Athens 1896,Summer,Fritz HOFMANN,Germany,DE,GER,1896,Athletics,GER
14,Bronze,Athlete,100m-men,Men,100m men,athletics,Athletics,athens-1896,Athens 1896,Summer,Alajos SZOKOLYI,Hungary,HU,HUN,1896,Athletics,HUN
15,Bronze,Athlete,100m-men,Men,100m men,athletics,Athletics,athens-1896,Athens 1896,Summer,Francis LANE,United States of America,US,USA,1896,Athletics,USA
16,Gold,Athlete,1500m-men,Men,1500m men,athletics,Athletics,athens-1896,Athens 1896,Summer,Edwin FLACK,Australia,AU,AUS,1896,Athletics,AUS
17,Silver,Athlete,1500m-men,Men,1500m men,athletics,Athletics,athens-1896,Athens 1896,Summer,Arthur BLAKE,United States of America,US,USA,1896,Athletics,USA
18,Bronze,Athlete,1500m-men,Men,1500m men,athletics,Athletics,athens-1896,Athens 1896,Summer,Albin LERMUSIAUX,France,FR,FRA,1896,Athletics,FRA
19,Gold,Athlete,discus-throw-men,Men,discus throw men,athletics,Athletics,athens-1896,Athens 1896,Summer,Bob Garrett,United States of America,US,USA,1896,Athletics,USA
20,Silver,Athlete,discus-throw-men,Men,discus throw men,athletics,Athletics,athens-1896,Athens 1896,Summer,Panagiotis PARASKEVOPOULOS,Greece,GR,GRE,1896,Athletics,GRE
21,Bronze,Athlete,discus-throw-men,Men,discus throw men,athletics,Athletics,athens-1896,Athens 1896,Summer,Sotirios VERSIS,Greece,GR,GRE,1896,Athletics,GRE
22,Gold,Athlete,shot-put-men,Men,shot put men,athletics,Athletics,athens-1896,Athens 1896,Summer,Bob Garrett,United States of America,US,USA,1896,Athletics,USA
23,Silver,Athlete,shot-put-men,Men,shot put men,athletics,Athletics,athens-1896,Athens 1896,Summer,Miltiadis GOUSKOS,Greece,GR,GRE,1896,Athletics,GRE
24,Bronze,Athlete,shot-put-men,Men,shot put men,athletics,Athletics,athens-1896,Athens 1896,Summer,Georgios PAPASIDERIS,Greece,GR,GRE,1896,Athletics,GRE
25,Gold,Athlete,pole-vault-men,Men,pole vault men,athletics,Athletics,athens-1896,Athens 1896,Summer,William Welles HOYT,United States of America,US,USA,1896,Athletics,USA
26,Silver,Athlete,pole-vault-men,Men,pole vault men,athletics,Athletics,athens-1896,Athens 1896,Summer,Albert TYLER,United States of America,US,USA,1896,Athletics,USA
27,Bronze,Athlete,pole-vault-men,Men,pole vault men,athletics,Athletics,athens-1896,Athens 1896,Summer,Evangelos DAMASKOS,Greece,GR,GRE,1896,Athletics,GRE
28,Bronze,Athlete,pole-vault-men,Men,pole vault men,athletics,Athletics,athens-1896,Athens 1896,Summer,Ioannis THEODOROPOULOS,Greece,GR,GRE,1896,Athletics,GRE
29,Gold,Athlete,high-jump-men,Men,high jump men,athletics,Athletics,athens-1896,Athens 1896,Summer,Ellery CLARK,United States of America,US,USA,1896,Athletics,USA
30,Silver,Athlete,high-jump-men,Men,high jump men,athletics,Athletics,athens-1896,Athens 1896,Summer,Bob Garrett,United States of America,US,USA,1896,Athletics,USA
31,Silver,Athlete,high-jump-men,Men,high jump men,athletics,Athletics,athens-1896,Athens 1896,Summer,James B. Connolly,United States of America,US,USA,1896,Athletics,USA
32,Gold,Athlete,triple-jump-men,Men,triple jump men,athletics,Athletics,athens-1896,Athens 1896,Summer,James B. Connolly,United States of America,US,USA,1896,Athletics,USA
33,Silver,Athlete,triple-jump-men,Men,triple jump men,athletics,Athletics,athens-1896,Athens 1896,Summer,Alexandre TUFFERI,France,FR,FRA,1896,Athletics,FRA
34,Bronze,Athlete,triple-jump-men,Men,triple jump men,athletics,Athletics,athens-1896,Athens 1896,Summer,Ioannis PERSAKIS,Greece,GR,GRE,1896,Athletics,GRE
35,Gold,Athlete,long-jump-men,Men,long jump men,athletics,Athletics,athens-1896,Athens 1896,Summer,Ellery CLARK,United States of America,US,USA,1896,Athletics,USA
36,Silver,Athlete,long-jump-men,Men,long jump men,athletics,Athletics,athens-1896,Athens 1896,Summer,Bob Garrett,United States of America,US,USA,1896,Athletics,USA
37,Bronze,Athlete,long-jump-men,Men,long jump men,athletics,Athletics,athens-1896,Athens 1896,Summer,James B. Connolly,United States of America,US,USA,1896,Athletics,USA
38,Gold,Athlete,400m-men,Men,400m men,athletics,Athletics,athens-1896,Athens 1896,Summer,Thomas BURKE,United States of America,US,USA,1896,Athletics,USA
39,Silver,Athlete,400m-men,Men,400m men,athletics,Athletics,athens-1896,Athens 1896,Summer,Herbert JAMISON,United States of America,US,USA,1896,Athletics,USA
40,Bronze,Athlete,400m-men,Men,400m men,athletics,Athletics,athens-1896,Athens 1896,Summer,Charles GMELIN,Great Britain,GB,GBR,1896,Athletics,GBR
41,Gold,Athlete,110m-hurdles-men,Men,110m hurdles men,athletics,Athletics,athens-1896,Athens 1896,Summer,Tom Curtis,United States of America,US,USA,1896,Athletics,USA
42,Silver,Athlete,110m-hurdles-men,Men,110m hurdles men,athletics,Athletics,athens-1896,Athens 1896,Summer,Grantley GOULDING,Great Britain,GB,GBR,1896,Athletics,GBR
43,Gold,Athlete,800m-men,Men,800m men,athletics,Athletics,athens-1896,Athens 1896,Summer,Edwin FLACK,Australia,AU,AUS,1896,Athletics,AUS
44,Silver,Athlete,800m-men,Men,800m men,athletics,Athletics,athens-1896,Athens 1896,Summer,Nandor DANI,Hungary,HU,HUN,1896,Athletics,HUN
45,Bronze,Athlete,800m-men,Men,800m men,athletics,Athletics,athens-1896,Athens 1896,Summer,Dimitrios GOLEMIS,Greece,GR,GRE,1896,Athletics,GRE
46,Gold,Athlete,rope-climbing-men,Men,rope climbing men,gymnastics-artistic,Gymnastics Artistic,athens-1896,Athens 1896,Summer,Nikolaos ANDRIAKOPOULOS,Greece,GR,GRE,1896,Gymnastics,GRE
47,Silver,Athlete,rope-climbing-men,Men,rope climbing men,gymnastics-artistic,Gymnastics Artistic,athens-1896,Athens 1896,Summer,Thomas Xenakis,Greece,GR,GRE,1896,Gymnastics,GRE
48,Bronze,Athlete,rope-climbing-men,Men,rope climbing men,gymnastics-artistic,Gymnastics Artistic,athens-1896,Athens 1896,Summer,Fritz HOFMANN,Germany,DE,GER,1896,Gymnastics,GER
49,Gold,Athlete,rings-men,Men,rings men,gymnastics-artistic,Gymnastics Artistic,athens-1896,Athens 1896,Summer,Ioannis MITROPOULOS,Greece,GR,GRE,1896,Gymnastics,GRE
50,Silver,Athlete,rings-men,Men,rings men,gymnastics-artistic,Gymnastics Artistic,athens-1896,Athens 1896,Summer,Hermann WEINGÄRTNER,Germany,DE,GER,1896,Gymnastics,GER
