,dim,1952,2022,delta,x,dim2
7,Women at university (000s) ,23 ,1569 ,68.21739130434783,1,Women at university
6,Men at university (000s) ,78 ,1178 ,15.102564102564102,1,Men at university
1,Real GDP per capita (£) ,"7,533 ","32,555 ",4.3216514005044475,1,Real GDP per capita
5,Unemployment rate ,2.4 ,3.8 ,1.5833333333333333,1,Unemployment rate
0,Population (m) ,50.4 ,68.3 ,1.3551587301587302,1,Population
2,Life expectancy (years) ,69.2 ,81.7 ,1.180635838150289,1,Life expectancy
11,Consumer prices index ,10.7 ,9.0 ,0.8411214953271029,1,Consumer prices index
4,National debt / GDP (%) ,165.1 ,94.9 ,0.5748031496062993,1,National debt / GDP
8,$/£ exchange rate ,2.80 ,1.23 ,0.43928571428571433,1,$/£ exchange rate
13,Top 1% wealth share ,48.5 ,21.3 ,0.43917525773195876,1,Top 1% wealth share
12,Bank of England rate (%) ,4.0 ,1.0 ,0.25,1,Bank of England rate
3,"Infant mortality (per 1,000 live births) ",29.1 ,3.4 ,0.11683848797250858,1,Infant mortality
9,Energy from coal (%) ,88.5 ,6.5 ,0.07344632768361582,1,Energy from coal
10,Coal mine employees (000s) ,716 ,1 ,0.0013966480446927375,1,Coal mine employees
7,Women at university (000s) ,23 ,1569 ,1.0,0,Women at university
6,Men at university (000s) ,78 ,1178 ,1.0,0,Men at university
1,Real GDP per capita (£) ,"7,533 ","32,555 ",1.0,0,Real GDP per capita
5,Unemployment rate ,2.4 ,3.8 ,1.0,0,Unemployment rate
0,Population (m) ,50.4 ,68.3 ,1.0,0,Population
2,Life expectancy (years) ,69.2 ,81.7 ,1.0,0,Life expectancy
11,Consumer prices index ,10.7 ,9.0 ,1.0,0,Consumer prices index
4,National debt / GDP (%) ,165.1 ,94.9 ,1.0,0,National debt / GDP
8,$/£ exchange rate ,2.80 ,1.23 ,1.0,0,$/£ exchange rate
13,Top 1% wealth share ,48.5 ,21.3 ,1.0,0,Top 1% wealth share
12,Bank of England rate (%) ,4.0 ,1.0 ,1.0,0,Bank of England rate
3,"Infant mortality (per 1,000 live births) ",29.1 ,3.4 ,1.0,0,Infant mortality
9,Energy from coal (%) ,88.5 ,6.5 ,1.0,0,Energy from coal
10,Coal mine employees (000s) ,716 ,1 ,1.0,0,Coal mine employees
