,Industry,LQ,UK
0,"Agriculture, forestry and fishing",2.0312583,1
1,Mining and quarrying,7.0519761,1
2,Manufacturing,0.9543008,1
3," Electricity, gas, etc",1.6528739,1
4,"Water supply; sewerage, waste management etc",1.0965233,1
5,Construction,0.9487016,1
6,Wholesale and retail trade,0.9631147,1
7,Transportation and storage,0.8463956,1
8,Accommodation and food,1.0263512,1
9,Information and communication,0.9303536,1
10,Financial and insurance activities,0.9304582,1
11,Real estate ,0.6924935,1
12,"Professional, scientific and technical",0.7788425,1
13,Administrative and support,0.9294049,1
14,Public administration and defence,1.3375937,1
15,Education,0.9399785,1
16,Human health and social work,1.1705261,1
17,"Arts, entertainment and recreation",1.0307157,1
18,Other service activities,0.9307135,1
19,Activities of households as employers,0.3909593,1
