"Fieldwork End Date / Pollster",Yes,No
"25 June 2016 / Survation",53%,47%
"26 June 2016 / Panelbase",52%,48%
"28 June 2016 / Survation",53%,47%
"25 July 2016 / YouGov",47%,53%
"31 August 2016 / YouGov",47%,53%
"4 September 2016 / TNS-BMRB",47%,53%
"10 September 2016 / Survation",47%,53%
"11 September 2016 / Ipsos Mori",47%,53%
"15 September 2016 / Panelbase",47%,53%
"4 October 2016 / BMG Research",45%,55%
"29 November 2016 / YouGov",44%,56%
"13 December 2016 / BMG Research",46%,54%
"26 January 2017 / Panelbase",46%,54%
"31 January 2017 / BMG Research",49%,51%
"13 February 2017 / Panelbase",46%,54%
"27 February 2017 / BMG Research",48%,52%
"6 March 2017 / Ipsos Mori",51%,49%
"13 March 2017 / Survation",47%,53%
"14 March 2017 / YouGov",44%,56%
"17 March 2017 / Panelbase",44%,56%
"11 April 2017 / TNS-BMRB",39%,61%
"11 April 2017 / BMG Research",49%,51%
"21 April 2017 / Survation",47%,53%
"21 April 2017 / Panelbase",45%,55%
"27 April 2017 / YouGov",45%,55%
"18 May 2017 / YouGov",44%,56%
"25 May 2017 / Ipsos Mori",47%,53%
"31 May 2017 / Panelbase",45%,55%
"2 June 2017 / Survation",46%,54%
"5 June 2017 / YouGov",43%,57%
"7 June 2017 / Panelbase",44%,56%
"7 June 2017 / Survation",39%,61%
"13 June 2017 / Survation",42%,58%
"7 September 2017 / Panelbase",43%,57%
"12 September 2017 / Survation",46%,54%
"5 October 2017 / YouGov",44%,56%
"30 November 2017 / Survation",47%,53%
"5 December 2017 / Survation",46%,54%
"16 January 2018 / YouGov",43%,57%
"28 January 2018 / Survation",46%,54%
"11 March 2018 / Ipsos Mori",48%,52%
"28 March 2018 / Panelbase",44%,56%
"5 June 2018 / YouGov",45%,55%
"13 June 2018 / Panelbase",44%,56%
"10 July 2018 / Survation",47%,53%
"2 October 2018 / Survation",47%,53%
"4 October 2018 / Panelbase",44%,56%
"5 October 2018 / Survation",46%,54%
"21 October 2018 / Survation",45%,55%
"7 November 2018 / Panelbase",45%,55%
"5 December 2018 / Panelbase",47%,53%
"24 April 2019 / Panelbase",47%,53%
"26 April 2019 / YouGov",49%,51%
"17 May 2019 / Panelbase",48%,52%
"20 June 2019 / Panelbase",49%,51%
"2 August 2019 / Lord Ashcroft Polls",52%,48%
"3 September 2019 / YouGov",49%,51%
"11 October 2019 / Panelbase",49%,51%
"22 November 2019 / Panelbase",49%,51%
"25 November 2019 / Ipsos Mori",50%,50%
