,isocode3,lnavg_share_trade00,avg_gvc_part_exp_int,export_intensity
1,AUS,3.8080082,0.30473438,0.0
2,AUS,3.8080082,0.4208507,1.0
3,AUT,4.6458683,0.5145165,0.0
4,AUT,4.6458683,0.6234646,1.0
5,BGD,2.7613997,0.2662118,0.0
6,BGD,2.7613997,0.29105568,1.0
7,BEL,5.4252706,0.6326741,0.0
8,BEL,5.4252706,0.7361997,1.0
9,BTN,3.0173948,0.36775312,0.0
10,BTN,3.0173948,0.24659266,1.0
11,BRA,3.0604658,0.3816484,0.0
12,BRA,3.0604658,0.3237431,1.0
13,BRN,4.317107,0.5967288,0.0
14,BRN,4.317107,0.47747016,1.0
15,BGR,3.9471467,0.60110426,0.0
16,BGR,3.9471467,0.7198648,1.0
17,KHM,3.691071,0.48264515,0.0
18,KHM,3.691071,0.45907366,1.0
19,CAN,4.277398,0.37280375,0.0
20,CAN,4.277398,0.40909564,1.0
21,CHN,3.2319202,0.33283857,0.0
22,CHN,3.2319202,0.34991214,1.0
23,HRV,4.09268,0.52753836,0.0
24,HRV,4.09268,0.47563288,1.0
25,CYP,4.209306,0.5084193,0.0
26,CYP,4.209306,0.42880875,1.0
27,CZE,4.5441804,0.57764745,0.0
28,CZE,4.5441804,0.67638683,1.0
29,DNK,4.6903586,0.53555775,0.0
30,DNK,4.6903586,0.44274807,1.0
31,EST,4.8643055,0.6291132,0.0
32,EST,4.8643055,0.7152239,1.0
33,FJI,4.1339087,0.3784337,0.0
34,FJI,4.1339087,0.38671485,1.0
35,FIN,4.51104,0.5794854,0.0
36,FIN,4.51104,0.54880124,1.0
37,FRA,4.091647,0.49179167,0.0
38,FRA,4.091647,0.51948583,1.0
39,DEU,4.532021,0.53179383,0.0
40,DEU,4.532021,0.4835658,1.0
41,GRC,3.7428746,0.3400286,0.0
42,GRC,3.7428746,0.6855961,1.0
43,HKG,5.857309,0.7164365,0.0
44,HKG,5.857309,0.7075193,1.0
45,HUN,4.6795974,0.63422245,0.0
46,HUN,4.6795974,0.79287225,1.0
47,IND,2.4302635,0.30469283,0.0
48,IND,2.4302635,0.45665884,1.0
49,IDN,3.0695682,0.4026881,0.0
50,IDN,3.0695682,0.3446972,1.0
51,IRL,4.8313336,0.54345953,0.0
52,IRL,4.8313336,0.6383426,1.0
53,ITA,3.982656,0.40805575,0.0
54,ITA,3.982656,0.504208,1.0
55,JPN,3.4824615,0.36613172,0.0
56,JPN,3.4824615,0.39555803,1.0
57,KAZ,3.563722,0.3585662,0.0
58,KAZ,3.563722,0.5155162,1.0
59,KGZ,3.1679573,0.5071938,0.0
60,KGZ,3.1679573,0.49087656,1.0
61,LAO,3.4135585,0.29638734,0.0
62,LAO,3.4135585,0.37382436,1.0
63,LVA,4.209433,0.56848633,0.0
64,LVA,4.209433,0.570899,1.0
65,LTU,4.5483565,0.5177983,0.0
66,LTU,4.5483565,0.704262,1.0
67,BEL,5.4252706,0.6992664,0.0
68,BEL,5.4252706,0.85277385,1.0
69,MYS,4.6243844,0.5898832,0.0
70,MYS,4.6243844,0.574297,1.0
71,MDV,3.6721742,0.3790478,0.0
72,MDV,3.6721742,0.3778419,1.0
73,MLT,4.9169164,0.6344176,0.0
74,MLT,4.9169164,0.6710966,1.0
75,MEX,3.7691317,0.36622214,0.0
76,MEX,3.7691317,0.5401581,1.0
77,MNG,3.5607529,0.35970807,0.0
78,MNG,3.5607529,0.49243084,1.0
79,NPL,2.5571804,0.4197189,0.0
80,NPL,2.5571804,0.32364735,1.0
81,NLD,4.9866185,0.6349866,0.0
82,NLD,4.9866185,0.635133,1.0
83,NOR,4.4934864,0.4735056,0.0
84,NOR,4.4934864,0.4811883,1.0
85,PAK,2.5544465,0.31183055,0.0
86,PAK,2.5544465,0.24102071,1.0
87,PHL,3.45202,0.45975223,0.0
88,PHL,3.45202,0.54218245,1.0
89,POL,3.8293586,0.5608968,0.0
90,POL,3.8293586,0.59688956,1.0
91,PRT,4.1651516,0.5140471,0.0
92,PRT,4.1651516,0.652972,1.0
93,KOR,4.2373066,0.5221277,0.0
94,KOR,4.2373066,0.5530873,1.0
95,ROU,3.6569042,0.46742144,0.0
96,ROU,3.6569042,0.604016,1.0
97,RUS,3.3772562,0.37334535,0.0
98,RUS,3.3772562,0.46264055,1.0
99,SGP,5.840549,0.59155065,0.0
100,SGP,5.840549,0.73027015,1.0
101,SVK,4.6935015,0.62138706,0.0
102,SVK,4.6935015,0.74471813,1.0
103,SVN,4.7953734,0.5965562,0.0
104,SVN,4.7953734,0.6740688,1.0
105,ESP,3.9362156,0.47889096,0.0
106,ESP,3.9362156,0.51352495,1.0
107,LKA,3.0632758,0.45391458,0.0
108,LKA,3.0632758,0.3478769,1.0
109,SWE,4.571584,0.56280863,0.0
110,SWE,4.571584,0.53530484,1.0
111,CHE,4.655579,0.48605222,0.0
112,CHE,4.655579,0.5281345,1.0
113,THA,3.9872057,0.53697497,0.0
114,THA,3.9872057,0.53360087,1.0
115,TUR,3.250045,0.38643935,0.0
116,TUR,3.250045,0.4594472,1.0
117,GBR,4.1097484,0.4990185,0.0
118,GBR,4.1097484,0.498062,1.0
119,ARE,4.304875,0.37968764,0.0
120,ARE,4.304875,0.43626127,1.0
121,VNM,3.9222982,0.62306505,0.0
122,VNM,3.9222982,0.5898028,1.0
