,peak,trough
0,1701,1703
1,1704,1706
2,1708,1710
3,1712,1713
4,1714,1715
5,1718,1719
6,1720,1721
7,1722,1724
8,1725,1727
9,1728,1729
10,1730,1731
11,1733,1735
12,1736,1737
13,1738,1740
14,1742,1744
15,1747,1749
16,1750,1751
17,1753,1754
18,1755,1756
19,1761,1765
20,1769,1770
21,1771,1772
22,1773,1774
23,1777,1779
24,1781,1783
25,1784,1785
26,1786,1788
27,1792,1794
28,1796,1797
29,1802,1804
30,1805,1806
31,1807,1808
32,1810,1812
33,1813,1814
34,1815,1816
35,1817,1819
36,1825,1826
37,1836,1837
38,1838,1839
39,1840,1842
40,1846,1847
41,1849,1850
42,1854,1855
43,1857,1858
44,1860,1862
45,1878,1879
46,1883,1885
47,1891,1893
48,1899,1900
49,1902,1903
50,1907,1908
51,1918,1921
52,1925,1926
53,1929,1931
54,1943,1947
55,1973,1975
56,1979,1981
57,1990,1991
58,2007,2009
