Default Dataset,,Dataset 1,,Dataset 2,,Dataset 3,,Dataset 4,,Dataset 5,,Dataset 6,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
2000.8326888513698,17.08631108167492,2000.9500390320063,127.75991425509113,2000.9000780640126,144.90889603429798,2000.7252146760345,151.76848874598073,2000.937548790008,232.79742765273312,2001,276.9560557341907,,
2001.7684113065739,17.081681996061604,2002.1491022638565,132.0471596998928,2002.0741608118658,149.19614147909965,2001.8992974238877,156.91318327974278,2002.024199843872,237.94212218649517,2002.0741608118658,282.1007502679528,,
2002.7358531670388,17.493670615632936,2003.0733801717408,138.04930332261523,2002.8985167837627,155.19828510182208,2003.1733021077284,166.3451232583065,2002.9734582357535,248.66023579849946,2002.9984387197503,294.10503751339763,,
2003.6647786068297,17.956579176948594,2003.9976580796254,150.91103965702035,2003.9726775956285,168.91747052518758,2003.872755659641,182.63665594855303,2003.872755659641,268.38156484458733,2003.872755659641,315.5412647374062,,
2004.8513515966815,19.51480061103922,2004.9968774395004,153.48338692390143,2004.9968774395004,172.34726688102893,2004.896955503513,192.92604501607715,2004.896955503513,278.6709539121115,2004.9469164715067,326.68810289389063,,
2005.9267323856725,21.45915900196934,2006.0210772833725,162.91532690246515,2006.0210772833725,182.63665594855303,2005.8462138953944,210.07502679528403,2005.9711163153786,293.24758842443725,2006.0460577673693,343.8370846730975,,
2006.8669280903364,21.04880836653814,2006.9953161592507,163.77277599142553,2006.9703356752539,182.63665594855303,2006.9703356752539,220.36441586280816,2006.895394223263,300.10718113612006,2006.9703356752539,350.6966773847803,,
2008.0058638781477,20.994233883519883,2007.969555035129,162.05787781350483,2007.969555035129,179.20685959271168,2007.8946135831382,223.79421221864953,2008.1943793911007,294.96248660235796,2007.944574551132,342.55091103965697,,
2009.259535609898,20.085958559001256,2008.943793911007,154.34083601286176,2009.0686963309915,171.4898177920686,2008.943793911007,218.64951768488746,2009.0936768149884,281.2433011789925,2008.8938329430134,318.9710610932476,,
2010.1361763157417,20.04892587409597,2009.967993754879,162.91532690246515,2010.017954722873,179.20685959271168,2009.967993754879,233.22615219721328,2010.0429352068697,293.24758842443725,2010.192818110851,330.11789924973203,,
2011.137719,20.73617454,2010.9672131147543,165.48767416934618,2010.9172521467603,183.4941050375134,2011.0421545667448,242.65809217577706,2010.9422326307572,299.2497320471597,2010.6424668227949,333.5476956055734,,
2012.092572552567,21.18566828901413,2011.8415300546449,168.91747052518758,2011.9414519906325,186.0664523043944,2012.016393442623,252.94748124330118,2011.9414519906325,305.2518756698821,2011.9914129586261,338.69239013933543,,
2013.0783544832345,21.49106408434892,2012.8657298985167,170.63236870310828,2012.9406713505075,187.7813504823151,2012.8782201405154,264.0943193997856,2012.8657298985167,312.1114683815648,2012.840749,343.8370846730975,,
2014.0174463990706,22.20289375948653,2014.0148321623733,171.4898177920686,2014.0398126463701,188.63879957127546,2013.9648711943794,274.8124330117899,2013.9648711943794,319.8285101822079,2013.9149102263857,349.8392282958199,,
2015.0314797668973,22.198562451310465,2014.864168618267,169.7749196141479,2014.9890710382515,187.7813504823151,2014.9640905542547,288.96034297963547,2015.064012490242,329.68917470525184,2014.9141295862607,357.12754555198285,,
2016.0580033767226,22.009664106426158,2015.9633099141297,172.77599142550912,2015.7135050741608,188.63879957127546,2015.9383294301329,303.1082529474812,2015.7384855581577,339.97856377277594,2016.0382513661202,366.5594855305466,,
2017.0095855345571,22.31902945878869,2016.912568306011,173.20471596998925,2016.9625292740047,189.49624866023578,2016.9625292740047,315.5412647374062,2016.8626073380171,348.9817792068595,2017.0374707259955,373.8478027867095,,
