,Date,Nation,Cumulative cases per 100k
0,2022-01-09,England,21874.6
1,2022-01-08,England,21825.27388
2,2022-01-07,England,21726.36699
3,2022-01-06,England,21590.13926
4,2022-01-05,England,21381.23799
5,2022-01-04,England,21105.43328
6,2022-01-03,England,20746.43517
7,2022-01-02,England,20447.68093
8,2022-01-01,England,20216.54453
9,2021-12-31,England,20061.26645
10,2021-12-30,England,19821.29718
11,2021-12-29,England,19518.37672
12,2021-12-28,England,19164.85517
13,2021-12-27,England,18895.13886
14,2021-12-26,England,18648.22178
15,2021-12-25,England,18489.94636
16,2021-12-24,England,18393.38961
17,2021-12-23,England,18206.07979
18,2021-12-22,England,17988.7559
19,2021-12-21,England,17769.67252
20,2021-12-20,England,17563.22394
21,2021-12-19,England,17375.19794
22,2021-12-18,England,17248.85701
23,2021-12-17,England,17121.71148
24,2021-12-16,England,16985.23794
25,2021-12-15,England,16834.28346
26,2021-12-14,England,16673.4298
27,2021-12-13,England,16526.0509
28,2021-12-12,England,16399.82668
29,2021-12-11,England,16322.26898
30,2021-12-10,England,16251.61666
31,2021-12-09,England,16175.70352
32,2021-12-08,England,16093.22276
33,2021-12-07,England,16008.5581
34,2021-12-06,England,15926.75108
35,2021-12-05,England,15839.43921
36,2021-12-04,England,15779.34566
37,2021-12-03,England,15722.00718
38,2021-12-02,England,15654.46007
39,2021-12-01,England,15580.26399
40,2021-11-30,England,15498.83539
41,2021-11-29,England,15416.68531
42,2021-11-28,England,15334.04894
43,2021-11-27,England,15275.58226
44,2021-11-26,England,15226.40114
45,2021-11-25,England,15168.21563
46,2021-11-24,England,15104.08495
47,2021-11-23,England,15035.24872
48,2021-11-22,England,14964.32761
49,2021-11-21,England,14890.21641
50,2021-11-20,England,14835.31471
51,2021-11-19,England,14783.64907
52,2021-11-18,England,14726.22571
53,2021-11-17,England,14662.14455
54,2021-11-16,England,14595.95375
55,2021-11-15,England,14529.29788
56,2021-11-14,England,14455.85865
57,2021-11-13,England,14404.72352
58,2021-11-12,England,14357.31428
59,2021-11-11,England,14303.24723
60,2021-11-10,England,14245.05642
61,2021-11-09,England,14183.91954
62,2021-11-08,England,14123.98867
63,2021-11-07,England,14061.56975
64,2021-11-06,England,14017.56634
65,2021-11-05,England,13978.53904
66,2021-11-04,England,13936.38177
67,2021-11-03,England,13890.26342
68,2021-11-02,England,13839.97886
69,2021-11-01,England,13786.18237
70,2021-10-31,England,13721.17283
71,2021-10-30,England,13670.06422
72,2021-10-29,England,13621.10768
73,2021-10-28,England,13562.2891
74,2021-10-27,England,13501.53772
75,2021-10-26,England,13438.28237
76,2021-10-25,England,13377.1844
77,2021-10-24,England,13307.98743
78,2021-10-23,England,13255.8408
79,2021-10-22,England,13204.24413
80,2021-10-21,England,13144.4618
81,2021-10-20,England,13077.63794
82,2021-10-19,England,13001.38705
83,2021-10-18,England,12924.11052
84,2021-10-17,England,12838.79334
85,2021-10-16,England,12773.76434
86,2021-10-15,England,12718.87679
