areaType,areaName,areaCode,date,cumVaccinationFirstDoseUptakeByPublishDatePercentage,cumVaccinationSecondDoseUptakeByPublishDatePercentage,cumVaccinationThirdInjectionUptakeByPublishDatePercentage
nation,England,E92000001,09/01/2022,90.3,82.8,61.8
nation,England,E92000001,08/01/2022,90.3,82.7,61.6
nation,England,E92000001,07/01/2022,90.2,82.6,61.1
nation,England,E92000001,06/01/2022,90.1,82.6,60.8
nation,England,E92000001,05/01/2022,90.1,82.5,60.4
nation,England,E92000001,04/01/2022,90.1,82.5,60
nation,England,E92000001,03/01/2022,90,82.4,59.6
nation,England,E92000001,02/01/2022,90,82.3,59.3
nation,England,E92000001,01/01/2022,90,82.3,59.1
nation,England,E92000001,31/12/2021,90,82.3,59.1
nation,England,E92000001,30/12/2021,89.9,82.3,58.8
nation,England,E92000001,29/12/2021,89.9,82.2,58.1
nation,England,E92000001,28/12/2021,89.8,82.1,57.4
nation,England,E92000001,27/12/2021,89.8,82.1,56.9
nation,England,E92000001,26/12/2021,89.7,82,56.5
nation,England,E92000001,25/12/2021,89.7,82,56.4
nation,England,E92000001,24/12/2021,89.7,82,56.4
nation,England,E92000001,23/12/2021,89.7,82,56.1
nation,England,E92000001,22/12/2021,89.6,81.9,55.1
nation,England,E92000001,21/12/2021,89.6,81.8,53.6
nation,England,E92000001,20/12/2021,89.5,81.7,51.9
nation,England,E92000001,19/12/2021,89.4,81.6,50.4
nation,England,E92000001,18/12/2021,89.3,81.5,48.9
nation,England,E92000001,17/12/2021,89.3,81.4,47.2
nation,England,E92000001,16/12/2021,89.2,81.4,45.6
nation,England,E92000001,15/12/2021,89.1,81.3,44.1
nation,England,E92000001,14/12/2021,89.1,81.2,42.8
nation,England,E92000001,13/12/2021,89,81.2,41.7
nation,England,E92000001,12/12/2021,89,81.1,40.8
nation,England,E92000001,11/12/2021,89,81,40.1
nation,England,E92000001,10/12/2021,88.9,81,39.1
nation,England,E92000001,09/12/2021,88.9,80.9,38.4
nation,England,E92000001,08/12/2021,88.8,80.9,37.6
nation,England,E92000001,07/12/2021,88.8,80.8,36.9
nation,England,E92000001,06/12/2021,88.7,80.8,36.2
nation,England,E92000001,05/12/2021,88.7,80.7,35.6
nation,England,E92000001,04/12/2021,88.7,80.7,35.2
