areaType,areaName,areaCode,date,newPeopleVaccinatedSecondDoseByPublishDate,cumPeopleVaccinatedSecondDoseByPublishDate
nation,England,E92000001,2022-02-05,25454,40755204
nation,England,E92000001,2022-02-04,26493,40729750
nation,England,E92000001,2022-02-03,24026,40703257
nation,England,E92000001,2022-02-02,25034,40679231
nation,England,E92000001,2022-02-01,24192,40654197
nation,England,E92000001,2022-01-31,20875,40630005
nation,England,E92000001,2022-01-30,22711,40609130
nation,England,E92000001,2022-01-29,34382,40586419
nation,England,E92000001,2022-01-28,30250,40552037
nation,England,E92000001,2022-01-27,26326,40521787
nation,England,E92000001,2022-01-26,27307,40495461
nation,England,E92000001,2022-01-25,24300,40468154
nation,England,E92000001,2022-01-24,24288,40443854
nation,England,E92000001,2022-01-23,24326,40419566
nation,England,E92000001,2022-01-22,38632,40395240
nation,England,E92000001,2022-01-21,29798,40356608
nation,England,E92000001,2022-01-20,27069,40326810
nation,England,E92000001,2022-01-19,25720,40299741
nation,England,E92000001,2022-01-18,25145,40274021
nation,England,E92000001,2022-01-17,21951,40248876
nation,England,E92000001,2022-01-16,24095,40226925
nation,England,E92000001,2022-01-15,39142,40202830
nation,England,E92000001,2022-01-14,25243,40163688
nation,England,E92000001,2022-01-13,26550,40138445
nation,England,E92000001,2022-01-12,25076,40111895
nation,England,E92000001,2022-01-11,23179,40086819
nation,England,E92000001,2022-01-10,21442,40063640
nation,England,E92000001,2022-01-09,25539,40042198
nation,England,E92000001,2022-01-08,41351,40016659
nation,England,E92000001,2022-01-07,27800,39975308
nation,England,E92000001,2022-01-06,26799,39947508
nation,England,E92000001,2022-01-05,29779,39920709
nation,England,E92000001,2022-01-04,33056,39890930
nation,England,E92000001,2022-01-03,22166,39857874
nation,England,E92000001,2022-01-02,15604,39835708
nation,England,E92000001,2022-01-01,2684,39820104
nation,England,E92000001,2021-12-31,19266,39817420
nation,England,E92000001,2021-12-30,39755,39798154
nation,England,E92000001,2021-12-29,39346,39758399
nation,England,E92000001,2021-12-28,26626,39719053
nation,England,E92000001,2021-12-27,18686,39692427
nation,England,E92000001,2021-12-26,1991,39673741
nation,England,E92000001,2021-12-25,916,39671750
nation,England,E92000001,2021-12-24,13540,39670834
nation,England,E92000001,2021-12-23,39323,39657294
nation,England,E92000001,2021-12-22,47314,39617971
nation,England,E92000001,2021-12-21,48491,39570657
nation,England,E92000001,2021-12-20,44655,39522166
nation,England,E92000001,2021-12-19,36136,39477511
nation,England,E92000001,2021-12-18,41112,39441375
nation,England,E92000001,2021-12-17,37693,39400263
nation,England,E92000001,2021-12-16,37626,39362570
nation,England,E92000001,2021-12-15,33399,39324944
nation,England,E92000001,2021-12-14,33130,39291545
nation,England,E92000001,2021-12-13,25394,39258415
nation,England,E92000001,2021-12-12,24900,39233021
nation,England,E92000001,2021-12-11,34061,39208121
nation,England,E92000001,2021-12-10,28294,39174060
nation,England,E92000001,2021-12-09,29840,39145766
nation,England,E92000001,2021-12-08,25110,39115926
nation,England,E92000001,2021-12-07,23206,39090816
nation,England,E92000001,2021-12-06,21622,39067610
nation,England,E92000001,2021-12-05,20872,39045988
nation,England,E92000001,2021-12-04,34276,39025116
nation,England,E92000001,2021-12-03,26469,38990840
nation,England,E92000001,2021-12-02,26919,38964371
nation,England,E92000001,2021-12-01,28070,38937452
nation,England,E92000001,2021-11-30,27933,38909382
nation,England,E92000001,2021-11-29,22601,38881449
nation,England,E92000001,2021-11-28,22482,38858848
nation,England,E92000001,2021-11-27,30616,38836366
nation,England,E92000001,2021-11-26,21923,38805750
nation,England,E92000001,2021-11-25,19615,38783827
nation,England,E92000001,2021-11-24,20048,38764212
