areaType,areaName,areaCode,date,newPeopleVaccinatedThirdInjectionByPublishDate,cumPeopleVaccinatedThirdInjectionByPublishDate
nation,England,E92000001,2022-02-05,31901,31363586
nation,England,E92000001,2022-02-04,30007,31331685
nation,England,E92000001,2022-02-03,29975,31301678
nation,England,E92000001,2022-02-02,29805,31271703
nation,England,E92000001,2022-02-01,29596,31241898
nation,England,E92000001,2022-01-31,31547,31212302
nation,England,E92000001,2022-01-30,26722,31180755
nation,England,E92000001,2022-01-29,46367,31154033
nation,England,E92000001,2022-01-28,44732,31107666
nation,England,E92000001,2022-01-27,42450,31062934
nation,England,E92000001,2022-01-26,43835,31020484
nation,England,E92000001,2022-01-25,43353,30976649
nation,England,E92000001,2022-01-24,45199,30933296
nation,England,E92000001,2022-01-23,31966,30888097
nation,England,E92000001,2022-01-22,60732,30856131
nation,England,E92000001,2022-01-21,56634,30795399
nation,England,E92000001,2022-01-20,49087,30738765
nation,England,E92000001,2022-01-19,50791,30689678
nation,England,E92000001,2022-01-18,57675,30638887
nation,England,E92000001,2022-01-17,54649,30581212
nation,England,E92000001,2022-01-16,45923,30526563
nation,England,E92000001,2022-01-15,90122,30480640
nation,England,E92000001,2022-01-14,85517,30390518
nation,England,E92000001,2022-01-13,87221,30305001
nation,England,E92000001,2022-01-12,96154,30217780
nation,England,E92000001,2022-01-11,108219,30121626
nation,England,E92000001,2022-01-10,116227,30013407
nation,England,E92000001,2022-01-09,109898,29897180
nation,England,E92000001,2022-01-08,206676,29787282
nation,England,E92000001,2022-01-07,180813,29580606
nation,England,E92000001,2022-01-06,188716,29399793
nation,England,E92000001,2022-01-05,199810,29211077
nation,England,E92000001,2022-01-04,187298,29011267
nation,England,E92000001,2022-01-03,117336,28823969
nation,England,E92000001,2022-01-02,103407,28706633
nation,England,E92000001,2022-01-01,17875,28603226
nation,England,E92000001,2021-12-31,138936,28585351
nation,England,E92000001,2021-12-30,320532,28446415
nation,England,E92000001,2021-12-29,345462,28125883
nation,England,E92000001,2021-12-28,258399,27780421
nation,England,E92000001,2021-12-27,209626,27522022
nation,England,E92000001,2021-12-26,20278,27312396
nation,England,E92000001,2021-12-25,10477,27292118
nation,England,E92000001,2021-12-24,153690,27281641
nation,England,E92000001,2021-12-23,493033,27127951
nation,England,E92000001,2021-12-22,695273,26634918
nation,England,E92000001,2021-12-21,809192,25939645
nation,England,E92000001,2021-12-20,753793,25130453
