,Date,CPI,Recession
0,1948-01-01,10.24209,-1
1,1948-02-01,9.48196,-1
2,1948-03-01,6.81818,-1
3,1948-04-01,8.27273,-1
4,1948-05-01,9.38497,-1
5,1948-06-01,9.375,-1
6,1948-07-01,9.76158,-1
7,1948-08-01,9.0625,-1
8,1948-09-01,6.65499,-1
9,1948-10-01,6.11087,-1
10,1948-11-01,4.77016,-1
11,1948-12-01,2.73387,-1
12,1949-01-01,1.39358,-1
13,1949-02-01,1.01394,-1
14,1949-03-01,1.74468,-1
15,1949-04-01,0.41982,-1
16,1949-05-01,-0.41649,-1
17,1949-06-01,-0.95238,-1
18,1949-07-01,-2.86885,-1
19,1949-08-01,-2.98813,-1
20,1949-09-01,-2.50411,-1
21,1949-10-01,-2.63266,-1
22,1949-11-01,-1.90397,-1
23,1949-12-01,-1.82952,-1
24,1950-01-01,-2.08247,-1
25,1950-02-01,-1.25471,-1
26,1950-03-01,-1.12923,-1
27,1950-04-01,-1.12876,-1
28,1950-05-01,-0.58553,-1
29,1950-06-01,-0.16722,-1
30,1950-07-01,1.56118,-1
31,1950-08-01,2.1097,-1
32,1950-09-01,2.48421,-1
33,1950-10-01,3.50655,-1
34,1950-11-01,3.79747,-1
35,1950-12-01,5.80263,-1
36,1951-01-01,7.95406,-1
37,1951-02-01,9.4028,-1
38,1951-03-01,9.47547,-1
39,1951-04-01,9.59831,-1
40,1951-05-01,9.3395,-1
41,1951-06-01,8.58459,-1
42,1951-07-01,7.64437,-1
43,1951-08-01,6.8595,-1
44,1951-09-01,6.9433,-1
45,1951-10-01,6.77551,-1
46,1951-11-01,6.99187,-1
47,1951-12-01,5.96477,-1
48,1952-01-01,4.21592,-1
49,1952-02-01,2.24545,-1
50,1952-03-01,1.97063,-1
51,1952-04-01,2.08333,-1
52,1952-05-01,1.84686,-1
53,1952-06-01,2.31392,-1
54,1952-07-01,2.97183,-1
55,1952-08-01,3.20959,-1
56,1952-09-01,2.30503,-1
57,1952-10-01,2.02599,-1
58,1952-11-01,1.40578,-1
59,1952-12-01,0.90669,-1
60,1953-01-01,0.71834,-1
61,1953-02-01,0.68156,-1
62,1953-03-01,0.90944,-1
63,1953-04-01,0.86924,-1
64,1953-05-01,0.86891,-1
65,1953-06-01,0.90464,-1
66,1953-07-01,0.41229,1
67,1953-08-01,0.59948,1
68,1953-09-01,0.97634,1
69,1953-10-01,0.97415,1
70,1953-11-01,0.59948,1
71,1953-12-01,0.59903,1
72,1954-01-01,1.12613,1
73,1954-02-01,1.50432,1
74,1954-03-01,1.12655,1
75,1954-04-01,0.63694,1
76,1954-05-01,0.86142,1
77,1954-06-01,0.63504,-1
78,1954-07-01,0.26129,-1
79,1954-08-01,0.0,-1
80,1954-09-01,-0.29751,-1
81,1954-10-01,-0.85343,-1
82,1954-11-01,-0.26071,-1
83,1954-12-01,-0.37216,-1
84,1955-01-01,-0.63103,-1
85,1955-02-01,-0.62986,-1
86,1955-03-01,-0.51987,-1
87,1955-04-01,-0.26061,-1
88,1955-05-01,-0.59413,-1
89,1955-06-01,-0.85375,-1
90,1955-07-01,-0.3723,-1
91,1955-08-01,-0.48417,-1
92,1955-09-01,0.1492,-1
93,1955-10-01,0.37425,-1
94,1955-11-01,0.37341,-1
95,1955-12-01,0.37355,-1
96,1956-01-01,0.22413,-1
97,1956-02-01,0.14914,-1
98,1956-03-01,0.37327,-1
99,1956-04-01,0.52258,-1
100,1956-05-01,0.97124,-1
101,1956-06-01,1.64732,-1
102,1956-07-01,1.98057,-1
103,1956-08-01,2.20808,-1
104,1956-09-01,1.8622,-1
105,1956-10-01,2.57271,-1
106,1956-11-01,2.34375,-1
107,1956-12-01,2.82843,-1
108,1957-01-01,3.13082,-1
109,1957-02-01,3.49963,-1
110,1957-03-01,3.60729,-1
111,1957-04-01,3.71333,-1
112,1957-05-01,3.58861,-1
113,1957-06-01,3.53591,-1
114,1957-07-01,3.29791,-1
115,1957-08-01,3.55181,1
116,1957-09-01,3.54662,1
117,1957-10-01,2.94438,1
118,1957-11-01,3.27154,1
119,1957-12-01,3.04017,1
120,1958-01-01,3.5056,1
121,1958-02-01,3.23741,1
122,1958-03-01,3.62527,1
123,1958-04-01,3.61618,1
124,1958-05-01,3.35714,-1
125,1958-06-01,2.84596,-1
126,1958-07-01,2.48315,-1
127,1958-08-01,2.3338,-1
128,1958-09-01,2.08333,-1
129,1958-10-01,2.08333,-1
130,1958-11-01,1.90074,-1
131,1958-12-01,1.75623,-1
132,1959-01-01,1.2919,-1
133,1959-02-01,1.0453,-1
134,1959-03-01,0.34638,-1
135,1959-04-01,0.13822,-1
136,1959-05-01,0.34554,-1
137,1959-06-01,0.6918,-1
138,1959-07-01,0.89997,-1
139,1959-08-01,0.8293,-1
140,1959-09-01,1.17606,-1
141,1959-10-01,1.52196,-1
142,1959-11-01,1.38169,-1
143,1959-12-01,1.51881,-1
144,1960-01-01,1.24095,-1
145,1960-02-01,1.41379,-1
146,1960-03-01,1.51881,-1
147,1960-04-01,1.93237,1
148,1960-05-01,1.82507,1
149,1960-06-01,1.71762,1
150,1960-07-01,1.37221,1
151,1960-08-01,1.47361,1
152,1960-09-01,1.23077,1
153,1960-10-01,1.36286,1
154,1960-11-01,1.46508,1
155,1960-12-01,1.36008,1
156,1961-01-01,1.60027,1
157,1961-02-01,1.46209,1
158,1961-03-01,1.46209,-1
159,1961-04-01,0.91401,-1
160,1961-05-01,0.91309,-1
161,1961-06-01,0.77676,-1
162,1961-07-01,1.25212,-1
163,1961-08-01,1.11449,-1
164,1961-09-01,1.24958,-1
165,1961-10-01,0.77311,-1
166,1961-11-01,0.67159,-1
167,1961-12-01,0.67092,-1
168,1962-01-01,0.67024,-1
169,1962-02-01,0.90483,-1
170,1962-03-01,1.1059,-1
171,1962-04-01,1.34183,-1
172,1962-05-01,1.34048,-1
173,1962-06-01,1.23995,-1
174,1962-07-01,1.00267,-1
175,1962-08-01,1.1356,-1
176,1962-09-01,1.46765,-1
177,1962-10-01,1.33422,-1
178,1962-11-01,1.33422,-1
179,1962-12-01,1.23292,-1
180,1963-01-01,1.33156,-1
181,1963-02-01,1.22883,-1
182,1963-03-01,1.12695,-1
183,1963-04-01,0.89374,-1
184,1963-05-01,0.89286,-1
185,1963-06-01,1.32406,-1
186,1963-07-01,1.55526,-1
187,1963-08-01,1.55218,-1
188,1963-09-01,0.98619,-1
189,1963-10-01,1.21791,-1
190,1963-11-01,1.31666,-1
191,1963-12-01,1.64582,-1
192,1964-01-01,1.64258,-1
193,1964-02-01,1.41076,-1
194,1964-03-01,1.40937,-1
195,1964-04-01,1.54199,-1
196,1964-05-01,1.54048,-1
197,1964-06-01,1.30676,-1
198,1964-07-01,1.07527,-1
199,1964-08-01,0.97561,-1
200,1964-09-01,1.17188,-1
201,1964-10-01,1.20325,-1
202,1964-11-01,1.39701,-1
203,1964-12-01,1.19819,-1
204,1965-01-01,1.0989,-1
205,1965-02-01,1.19702,-1
206,1965-03-01,1.19586,-1
207,1965-04-01,1.38934,-1
208,1965-05-01,1.61394,-1
209,1965-06-01,1.93486,-1
210,1965-07-01,1.80529,-1
211,1965-08-01,1.61031,-1
212,1965-09-01,1.73745,-1
213,1965-10-01,1.70308,-1
214,1965-11-01,1.73021,-1
215,1965-12-01,1.92,-1
216,1966-01-01,1.91816,-1
217,1966-02-01,2.55754,-1
218,1966-03-01,2.77866,-1
219,1966-04-01,2.86807,-1
220,1966-05-01,2.76366,-1
221,1966-06-01,2.43594,-1
222,1966-07-01,2.75491,-1
223,1966-08-01,3.48653,-1
224,1966-09-01,3.57369,-1
225,1966-10-01,3.79147,-1
226,1966-11-01,3.55906,-1
227,1966-12-01,3.3595,-1
228,1967-01-01,3.1995,-1
229,1967-02-01,2.86783,-1
230,1967-03-01,2.54817,-1
231,1967-04-01,2.54027,-1
232,1967-05-01,2.31839,-1
233,1967-06-01,2.84126,-1
234,1967-07-01,2.92758,-1
235,1967-08-01,2.60337,-1
236,1967-09-01,2.59542,-1
237,1967-10-01,2.58752,-1
238,1967-11-01,3.10219,-1
239,1967-12-01,3.28068,-1
240,1968-01-01,3.64742,-1
241,1968-02-01,3.63636,-1
242,1968-03-01,3.93939,-1
243,1968-04-01,3.92749,-1
244,1968-05-01,4.22961,-1
245,1968-06-01,4.2042,-1
246,1968-07-01,4.49102,-1
247,1968-08-01,4.47761,-1
248,1968-09-01,4.46429,-1
249,1968-10-01,4.74777,-1
250,1968-11-01,4.42478,-1
251,1968-12-01,4.70588,-1
252,1969-01-01,4.69208,-1
253,1969-02-01,4.67836,-1
254,1969-03-01,5.24781,-1
255,1969-04-01,5.52326,-1
256,1969-05-01,5.50725,-1
257,1969-06-01,5.4755,-1
258,1969-07-01,5.44413,-1
259,1969-08-01,5.42857,-1
260,1969-09-01,5.69801,-1
261,1969-10-01,5.66572,-1
262,1969-11-01,5.9322,1
263,1969-12-01,5.89888,1
264,1970-01-01,6.16246,1
265,1970-02-01,6.42458,1
266,1970-03-01,6.09418,1
267,1970-04-01,6.06061,1
268,1970-05-01,6.04396,1
269,1970-06-01,6.01093,1
270,1970-07-01,5.70652,1
271,1970-08-01,5.69106,1
272,1970-09-01,5.66038,1
273,1970-10-01,5.63003,1
274,1970-11-01,5.6,1
275,1970-12-01,5.57029,-1
276,1971-01-01,5.27704,-1
277,1971-02-01,4.72441,-1
278,1971-03-01,4.43864,-1
279,1971-04-01,4.15584,-1
280,1971-05-01,4.40415,-1
281,1971-06-01,4.38144,-1
